timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
1            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
2            12           24           -1              0               0                   14           12           17           15           15           15           17           13      
3            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
4            11           24           -1              0               0                   14           11           17           14           16           15           16           13      
5            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
6            10           24           -1              0               0                   13           11           17           13           17           15           15           13      
7            10           24           -1              0               0                   12           11           17           13           17           15           15           13      
8            9            24           -1              0               0                   12           11           16           13           17           14           14           13      
9            9            24           -1              0               0                   11           11           16           13           17           14           14           13      
10           8            24           -1              0               0                   11           11           15           13           17           13           13           13      
11           8            24           -1              0               0                   10           11           15           13           17           13           13           13      
12           7            24           -1              0               0                   10           11           14           12           16           13           12           13      
13           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
14           6            24           -1              0               0                   9            11           14           11           15           13           12           14      
15           6            24           0               1               0                   9            12           14           11           15           13           12           14      
16           6            24           0               1               0                   9            12           13           11           14           13           12           15      
17           6            25           0               1               0                   9            12           13           11           14           13           12           15      
18           6            25           0               1               0                   9            13           13           11           14           13           12           15      
19           6            25           0               1               0                   9            13           12           11           13           13           13           15      
20           6            26           0               1               0                   9            14           12           11           13           13           13           15      
21           6            26           0               1               0                   9            14           11           11           12           13           14           15      
22           6            26           0               1               0                   8            14           11           11           12           13           14           15      
23           6            27           0               1               0                   8            14           11           11           12           13           14           15      
24           6            27           -1              0               0                   8            14           10           11           12           14           15           15      
25           6            27           -1              0               0                   7            14           10           11           12           14           15           15      
26           5            27           -1              0               0                   7            14           10           11           12           14           15           15      
27           5            27           -1              0               0                   7            14           9            11           12           15           16           15      
28           5            27           -1              0               0                   6            14           9            11           12           15           16           15      
29           4            27           -1              0               0                   6            14           9            11           12           15           16           15      
30           4            27           -1              0               0                   6            14           9            12           13           15           17           15      
31           4            27           -1              0               0                   5            14           9            12           13           15           17           15      
32           3            27           -1              0               0                   5            14           9            13           14           15           17           14      
33           3            27           -1              0               0                   4            14           9            13           14           15           17           14      
34           2            27           -1              0               0                   4            14           9            14           15           15           17           13      
35           2            27           -1              0               0                   3            14           9            14           15           15           17           13      
36           1            27           -1              0               0                   3            14           9            14           15           15           17           13      
37           1            27           0               1               0                   3            14           9            15           16           15           16           13      
38           1            27           0               1               0                   2            14           9            15           16           15           16           13      
39           1            28           0               1               0                   2            14           9            15           16           15           16           13      
40           1            28           0               1               0                   2            14           9            16           17           15           15           13      
41           1            28           0               1               0                   1            14           9            16           17           15           15           13      
42           1            29           0               1               0                   1            14           9            16           17           15           15           13      
43           1            29           0               1               0                   1            14           9            17           17           14           14           13      
44           1            29           0               1               0                   0            14           9            17           17           14           14           13      
45           1            30           0               1               0                   0            14           9            17           17           14           14           13      
46           1            30           0               1               0                   0            14           9            18           17           13           13           13      
47           1            30           1               0               0                   29           14           9            18           17           13           13           13      
48           2            30           1               0               0                   29           14           9            19           16           13           12           13      
49           2            30           1               0               0                   28           14           9            19           16           13           12           13      
50           3            30           1               0               0                   28           14           9            20           15           13           12           14      
51           3            30           1               0               0                   27           14           9            20           15           13           12           14      
52           4            30           1               0               0                   27           14           9            21           14           12           12           15      
53           4            30           1               0               0                   26           14           9            21           14           12           12           15      
54           5            30           1               0               0                   26           14           8            21           14           11           13           15      
55           5            30           1               0               0                   25           14           8            21           14           11           13           15      
56           6            30           1               0               0                   25           14           7            21           15           11           14           15      
57           6            30           1               0               0                   24           14           7            21           15           11           14           15      
58           7            30           1               0               0                   24           14           6            21           16           11           15           15      
59           7            30           1               0               0                   23           14           6            21           16           11           15           15      
60           8            30           1               0               0                   23           14           6            22           17           11           16           15      
61           8            30           1               0               0                   23           15           6            22           17           11           16           15      
62           9            30           1               0               0                   23           15           6            23           18           11           17           15      
63           9            30           1               0               0                   23           16           6            23           18           11           17           15      
64           10           30           1               0               0                   23           16           6            24           19           11           17           14      
65           10           30           1               0               0                   23           17           6            24           19           11           17           14      
66           11           30           1               0               0                   23           17           7            24           20           11           17           13      
67           11           30           1               0               0                   23           18           7            24           20           11           17           13      
68           12           30           1               0               0                   23           18           8            24           20           12           16           13      
69           12           30           1               0               0                   23           19           8            24           20           12           16           13      
70           13           30           1               0               0                   23           19           9            24           20           13           15           13      
71           13           30           1               0               0                   23           20           9            24           20           13           15           13      
72           14           30           1               0               0                   23           20           9            25           20           14           14           12      
73           14           30           1               0               0                   23           21           9            25           20           14           14           12      
74           15           30           1               0               0                   23           21           9            26           20           15           14           11      
75           15           30           1               0               0                   22           21           9            26           20           15           14           11      
76           16           30           1               0               0                   22           21           9            27           20           16           15           11      
77           16           30           1               0               0                   21           21           9            27           20           16           15           11      
78           17           30           1               0               0                   21           21           10           27           20           17           16           11      
79           17           30           1               0               0                   20           21           10           27           20           17           16           11      
80           18           30           1               0               0                   20           21           11           27           20           18           17           11      
81           18           30           1               0               0                   19           21           11           27           20           18           17           11      
82           19           30           1               0               0                   19           21           12           27           19           18           18           11      
83           19           30           1               0               0                   18           21           12           27           19           18           18           11      
84           19           30           1               0               0                   18           21           13           27           18           18           19           11      
85           20           30           1               0               0                   17           21           13           27           18           18           19           11      
86           20           30           1               0               0                   17           21           13           28           17           18           20           11      
87           21           30           1               0               0                   16           21           13           28           17           18           20           11      
88           21           30           1               0               0                   16           21           13           29           16           18           20           12      
89           22           30           1               0               0                   16           22           13           29           16           18           20           12      
90           22           30           1               0               0                   16           22           13           30           15           18           20           13      
91           23           30           1               0               0                   16           23           13           30           15           18           20           13      
92           23           30           1               0               0                   16           23           14           30           14           18           20           14      
93           24           30           1               0               0                   16           24           14           30           14           18           20           14      
94           24           30           1               0               0                   16           24           15           30           13           18           21           14      
95           25           30           1               0               0                   17           24           15           30           13           18           21           14      
96           25           30           1               0               0                   17           24           16           30           12           18           22           14      
97           26           30           1               0               0                   18           24           16           30           12           18           22           14      
98           26           30           1               0               0                   18           24           17           30           11           18           23           14      
99           27           30           1               0               0                   19           24           17           30           11           18           23           14      
100          27           30           1               0               0                   19           24           18           30           10           18           23           15      
101          28           30           1               0               0                   20           24           18           30           10           18           23           15      
102          28           30           0               -1              0                   20           24           18           30           10           18           23           15      
103          28           30           0               -1              0                   20           24           19           30           9            18           23           16      
104          28           29           0               -1              0                   21           24           19           30           9            18           23           16      
105          28           29           0               -1              0                   21           24           20           30           9            19           23           17      
106          28           28           0               -1              0                   22           24           20           30           9            19           23           17      
107          28           28           0               -1              0                   22           24           21           30           9            20           23           18      
108          28           27           0               -1              0                   23           24           21           30           9            20           23           18      
109          28           27           -1              0               0                   23           24           21           30           9            20           23           18      
110          28           27           -1              0               0                   23           24           22           30           9            21           23           19      
111          27           27           -1              0               0                   23           25           22           30           9            21           23           19      
112          27           27           -1              0               0                   23           25           23           30           10           21           23           20      
113          26           27           -1              0               0                   23           26           23           30           10           21           23           20      
114          26           27           0               -1              0                   23           26           23           30           10           21           23           20      
115          26           26           0               -1              0                   23           27           24           30           11           21           23           21      
116          26           25           0               -1              0                   24           27           25           30           12           21           24           21      
117          26           24           0               -1              0                   25           27           26           30           13           21           25           21      
118          26           24           1               0               0                   25           27           26           30           13           21           25           21      
119          26           24           1               0               0                   26           27           27           30           13           22           26           21      
120          27           24           1               0               0                   26           27           27           30           13           22           26           21      
121          27           24           1               0               0                   26           26           28           30           13           23           27           21      
122          28           24           1               0               1                   26           26           28           30           13           23           27           21      
123          28           24           0               -1              1                   26           26           28           30           13           23           27           21      
124          28           23           0               -1              1                   26           26           28           30           13           23           27           21      
125          28           23           0               -1              1                   26           26           28           30           13           23           16           15      
126          28           22           0               -1              1                   26           26           28           30           13           23           16           15      
127          28           22           0               -1              1                   26           25           28           29           13           24           16           15      
128          28           22           0               -1              1                   26           25           28           29           13           24           17           15      
129          28           21           0               -1              1                   26           25           28           29           13           24           17           15      
130          28           21           0               1               1                   26           25           28           29           13           24           17           15      
131          28           21           0               1               1                   26           25           28           29           13           24           17           14      
132          28           22           0               1               1                   26           25           28           29           13           24           17           14      
133          28           22           0               1               1                   26           25           28           29           13           24           17           13      
134          28           23           0               1               1                   26           24           28           28           12           24           17           13      
135          28           23           0               1               1                   26           24           28           28           12           24           16           13      
136          28           24           0               1               1                   26           24           28           28           12           24           16           13      
137          28           24           -1              0               1                   26           24           28           28           12           24           16           13      
138          28           24           -1              0               1                   15           14           28           28           12           24           16           13      
139          28           24           -1              0               1                   15           14           28           28           12           24           15           13      
140          27           24           -1              0               1                   15           14           28           28           12           24           15           13      
141          27           24           -1              0               1                   15           13           28           28           12           24           15           13      
142          27           24           -1              0               1                   15           13           28           27           11           24           14           13      
143          26           24           -1              0               1                   15           13           28           27           11           24           14           13      
144          26           24           0               1               1                   15           13           28           27           11           24           14           13      
145          26           24           0               1               1                   14           13           28           27           11           24           14           13      
146          26           24           0               1               1                   14           13           28           27           11           24           13           13      
147          26           25           0               1               1                   14           13           28           27           11           24           13           13      
148          26           25           0               1               1                   13           13           28           27           11           24           13           13      
149          26           25           0               1               1                   13           13           28           27           11           24           12           13      
150          26           26           0               1               1                   13           13           28           27           11           24           12           13      
151          26           26           0               1               1                   12           13           14           15           11           24           12           13      
152          26           26           0               1               1                   12           13           14           15           10           24           12           14      
153          26           27           0               1               1                   12           13           14           15           10           24           12           14      
154          26           27           1               0               1                   12           13           14           15           10           24           12           14      
155          26           27           1               0               1                   12           14           15           15           10           24           12           14      
156          26           27           1               0               1                   12           14           15           15           10           24           12           15      
157          27           27           1               0               1                   12           14           15           15           10           24           12           15      
158          27           27           -1              0               1                   12           14           15           15           10           24           12           15      
159          27           27           -1              0               1                   12           15           16           15           10           24           12           15      
160          27           27           -1              0               1                   12           15           16           15           10           24           13           15      
161          26           27           -1              0               1                   12           15           16           15           10           24           13           15      
162          26           27           -1              0               1                   13           15           16           15           10           24           13           15      
163          26           27           -1              0               1                   13           15           17           15           9            24           14           15      
164          25           27           -1              0               1                   13           15           17           15           9            24           14           15      
165          25           27           -1              0               1                   13           15           17           14           9            24           14           15      
166          24           27           -1              0               1                   14           15           17           14           9            24           15           15      
167          24           27           -1              0               1                   15           15           17           13           9            24           16           15      
168          23           27           -1              0               1                   15           15           17           13           9            24           16           15      
169          23           27           0               -1              1                   15           15           17           13           9            24           16           15      
170          23           27           0               -1              1                   15           15           17           13           8            24           16           15      
171          23           27           0               -1              1                   16           15           16           13           8            24           17           15      
172          23           26           0               -1              1                   16           15           16           13           8            24           17           15      
173          23           26           0               -1              1                   17           15           15           13           8            24           17           14      
174          23           25           0               -1              1                   17           15           15           13           8            24           17           14      
175          23           25           0               -1              1                   17           14           14           13           8            24           17           13      
176          23           24           0               -1              1                   17           14           14           13           8            24           17           13      
177          23           24           -1              0               1                   17           14           14           13           7            24           17           13      
178          23           24           -1              0               1                   17           13           13           13           7            24           16           13      
179          22           24           -1              0               1                   17           13           13           13           7            24           16           13      
180          22           24           -1              0               1                   16           13           12           13           7            24           15           13      
181          21           24           -1              0               1                   16           13           12           13           7            24           15           13      
182          21           24           -1              0               1                   15           13           12           14           7            24           14           13      
183          20           24           -1              0               1                   15           13           12           14           6            24           14           13      
184          20           24           -1              0               1                   14           12           12           15           6            24           13           13      
185          19           24           -1              0               1                   14           12           12           15           6            24           13           13      
186          19           24           -1              0               1                   14           11           13           15           6            24           12           13      
187          18           24           -1              0               1                   14           11           13           15           6            24           12           13      
188          18           24           -1              0               1                   15           11           14           15           6            24           12           14      
189          17           24           -1              0               1                   15           11           14           15           6            23           12           14      
190          17           24           1               0               1                   15           11           14           15           6            23           12           14      
191          17           24           1               0               1                   16           11           15           15           6            23           12           15      
192          18           24           1               0               1                   16           11           15           15           6            23           12           15      
193          18           24           1               0               1                   17           11           16           15           6            23           13           15      
194          19           24           1               0               1                   17           11           16           15           6            23           13           15      
195          19           24           1               0               1                   18           11           16           15           6            23           14           15      
196          20           24           1               0               1                   18           11           17           15           6            22           14           15      
197          20           24           0               1               1                   18           11           17           15           6            22           14           15      
198          20           25           0               1               1                   19           11           17           14           6            22           15           15      
199          20           25           0               1               1                   20           11           17           14           6            22           16           15      
200          20           26           0               1               1                   20           11           17           13           6            22           16           15      
201          20           26           0               1               1                   20           12           17           13           6            21           17           15      
202          20           27           0               1               1                   20           12           16           13           6            21           17           15      
203          20           27           -1              0               1                   20           12           16           13           6            21           17           15      
204          20           27           -1              0               1                   20           13           16           13           6            21           17           14      
205          19           27           -1              0               1                   20           13           15           13           6            21           17           14      
206          19           27           -1              0               1                   20           14           15           13           6            21           17           13      
207          18           27           -1              0               1                   20           14           14           12           6            21           17           13      
208          18           27           -1              0               1                   20           14           14           12           6            20           17           13      
209          18           27           -1              0               1                   20           15           14           12           6            20           16           13      
210          17           27           -1              0               1                   20           15           14           11           6            20           16           13      
211          17           27           -1              0               1                   20           16           14           11           6            20           15           13      
212          16           27           -1              0               1                   20           16           15           11           6            20           15           13      
213          16           27           0               1               1                   20           16           15           11           6            20           15           13      
214          16           27           0               1               1                   20           17           15           11           6            20           14           13      
215          16           28           0               1               1                   20           17           16           11           6            20           14           13      
