timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   13           11           17           14           16           15           16           13      
7            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
8            11           24           -1              0               0                   12           11           17           13           17           15           15           13      
9            10           24           -1              0               0                   12           11           17           13           17           15           15           13      
10           10           24           -1              0               0                   11           11           16           13           17           14           14           13      
11           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
12           9            24           -1              0               0                   10           11           15           13           17           13           13           13      
13           8            24           -1              0               0                   10           11           15           13           17           13           13           13      
14           8            24           -1              0               0                   9            11           14           12           16           13           12           13      
15           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
16           7            24           -1              0               0                   9            12           14           11           15           13           12           14      
17           6            24           -1              0               0                   9            12           14           11           15           13           12           14      
18           6            24           0               1               0                   9            12           14           11           15           13           12           14      
19           6            24           0               1               0                   9            13           13           11           14           13           12           15      
20           6            25           0               1               0                   9            13           13           11           14           13           12           15      
21           6            26           0               1               0                   9            14           12           11           13           13           13           15      
22           6            26           0               1               0                   8            14           11           11           12           13           14           15      
23           6            27           0               1               0                   8            14           11           11           12           13           14           15      
24           6            27           -1              0               0                   8            14           11           11           12           13           14           15      
25           6            27           -1              0               0                   7            14           10           11           12           14           15           15      
26           5            27           -1              0               0                   7            14           10           11           12           14           15           15      
27           5            27           -1              0               0                   6            14           9            11           12           15           16           15      
28           4            27           -1              0               0                   6            14           9            11           12           15           16           15      
29           3            27           -1              0               0                   6            15           9            12           13           15           17           15      
30           3            27           -1              0               0                   6            16           9            13           14           15           17           14      
31           2            27           -1              0               0                   6            16           9            13           14           15           17           14      
32           2            27           -1              0               0                   6            17           9            14           15           15           17           13      
33           1            27           -1              0               0                   6            17           9            14           15           15           17           13      
34           1            27           0               1               0                   6            17           9            14           15           15           17           13      
35           1            27           0               1               0                   6            18           8            14           16           15           16           13      
36           1            28           0               1               0                   6            18           8            14           16           15           16           13      
37           1            28           0               1               0                   6            19           7            14           17           15           15           13      
38           1            29           0               1               0                   6            19           7            14           17           15           15           13      
39           1            29           0               1               0                   6            20           6            14           17           14           14           13      
40           1            30           0               1               0                   6            20           6            14           17           14           14           13      
41           1            30           1               0               0                   6            20           6            14           17           14           14           13      
42           1            30           1               0               0                   6            21           6            15           17           13           13           13      
43           2            30           1               0               0                   6            21           6            15           17           13           13           13      
44           2            30           1               0               0                   5            21           6            16           16           13           12           13      
45           3            30           1               0               0                   5            21           6            16           16           13           12           13      
46           3            30           1               0               0                   4            21           6            17           15           13           12           14      
47           4            30           1               0               0                   4            21           6            17           15           13           12           14      
48           4            30           1               0               0                   3            21           6            18           14           12           12           15      
49           5            30           1               0               0                   3            21           6            18           14           12           12           15      
50           5            30           1               0               0                   2            21           6            19           14           11           13           15      
51           6            30           1               0               0                   2            21           6            19           14           11           13           15      
52           6            30           1               0               0                   1            21           6            20           13           11           14           15      
53           7            30           1               0               0                   1            21           6            20           13           11           14           15      
54           7            30           1               0               0                   1            22           6            21           12           11           15           15      
55           8            30           1               0               0                   1            22           6            21           12           11           15           15      
56           8            30           1               0               0                   1            23           7            21           11           11           16           15      
57           9            30           1               0               0                   1            23           7            21           11           11           16           15      
58           9            30           1               0               0                   1            24           8            21           10           11           17           15      
59           10           30           1               0               0                   1            24           8            21           10           11           17           15      
60           10           30           1               0               0                   2            24           9            21           9            11           17           14      
61           11           30           1               0               0                   2            24           9            21           9            11           17           14      
62           11           30           1               0               0                   3            24           10           21           9            12           17           13      
63           12           30           1               0               0                   3            24           10           21           9            12           17           13      
64           12           30           1               0               0                   3            25           11           21           9            13           16           13      
65           13           30           1               0               0                   3            25           11           21           9            13           16           13      
66           13           30           1               0               0                   3            26           12           21           9            14           15           13      
67           14           30           1               0               0                   3            26           12           21           9            14           15           13      
68           14           30           1               0               0                   3            27           13           21           9            15           14           12      
69           15           30           1               0               0                   3            27           13           21           9            15           14           12      
70           16           30           1               0               0                   4            27           13           22           9            16           14           11      
71           16           30           1               0               0                   5            27           13           23           9            17           15           11      
72           17           30           1               0               0                   5            27           13           23           9            17           15           11      
73           17           30           1               0               0                   6            27           13           24           9            18           16           11      
74           18           30           1               0               0                   6            27           13           24           9            18           16           11      
75           18           30           1               0               0                   6            26           14           24           9            19           17           11      
76           19           30           1               0               0                   6            26           14           24           9            19           17           11      
77           19           30           1               0               0                   6            25           15           24           9            20           18           11      
78           20           30           1               0               0                   6            25           15           24           9            20           18           11      
79           20           30           1               0               0                   6            24           16           24           9            21           19           11      
80           21           30           1               0               0                   6            24           16           24           9            21           19           11      
81           21           30           1               0               0                   7            24           17           24           10           21           20           11      
82           22           30           1               0               0                   7            24           17           24           10           21           20           11      
83           22           30           1               0               0                   8            24           18           24           11           21           20           12      
84           23           30           1               0               0                   8            24           18           24           11           21           20           12      
85           24           30           1               0               0                   9            24           19           24           12           21           20           13      
86           24           30           1               0               0                   10           24           20           24           13           21           20           14      
87           25           30           1               0               0                   10           24           20           24           13           21           20           14      
88           25           30           1               0               0                   11           24           20           25           13           22           20           15      
89           26           30           1               0               0                   11           24           20           25           13           22           20           15      
90           26           30           1               0               0                   12           24           20           26           13           23           20           16      
91           27           30           1               0               0                   12           24           20           26           13           23           20           16      
92           28           30           1               0               0                   13           24           20           27           13           24           20           17      
93           28           30           1               0               0                   14           24           19           27           14           24           20           18      
94           28           30           -1              0               0                   14           24           19           27           14           24           20           18      
95           27           30           -1              0               0                   15           24           18           27           15           24           20           19      
96           26           30           -1              0               0                   16           24           17           27           16           24           20           20      
97           25           30           -1              0               0                   17           24           16           27           17           24           20           21      
98           25           30           1               0               0                   17           24           16           27           17           24           20           21      
99           26           30           1               0               0                   18           24           16           28           18           24           21           21      
100          27           30           1               0               0                   19           24           16           29           19           24           22           21      
101          28           30           1               0               0                   20           24           16           30           20           24           23           21      
102          28           30           0               -1              0                   20           24           16           30           20           24           23           21      
103          28           29           0               -1              0                   20           24           16           30           20           24           23           21      
104          28           29           0               -1              0                   20           25           17           30           20           25           23           22      
105          28           28           0               -1              0                   20           26           18           30           20           26           23           23      
106          28           27           0               -1              0                   20           27           19           30           20           27           23           24      
107          28           27           -1              0               0                   20           27           19           30           20           27           23           24      
108          27           27           -1              0               0                   19           27           20           30           19           27           23           25      
109          26           27           -1              0               0                   18           27           21           30           18           27           23           26      
110          26           27           0               -1              0                   18           27           21           30           18           27           23           26      
111          26           26           0               -1              0                   17           27           22           30           17           27           23           27      
112          26           25           0               -1              0                   16           27           23           30           16           27           24           27      
113          26           24           0               -1              0                   16           28           24           30           16           28           25           27      
114          26           24           1               0               0                   16           28           24           30           16           28           25           27      
115          27           24           1               0               0                   16           29           25           30           16           29           26           27      
116          28           24           1               0               1                   16           29           25           30           16           29           26           27      
117          28           24           -1              0               1                   16           29           25           30           16           29           26           27      
118          28           24           -1              0               1                   16           30           26           30           16           30           26           26      
119          27           24           -1              0               1                   16           30           26           30           16           30           26           26      
120          26           24           -1              0               1                   16           30           26           30           16           30           26           26      
121          26           24           0               1               1                   16           30           26           30           16           30           26           26      
122          26           24           0               1               1                   16           30           26           30           16           30           16           15      
123          26           25           0               1               1                   16           30           26           30           16           30           16           15      
124          26           25           0               1               1                   15           30           27           30           15           30           17           15      
125          26           26           0               1               1                   15           30           27           30           15           30           17           15      
126          26           26           0               1               1                   15           30           27           30           15           30           17           14      
127          26           27           0               1               1                   15           30           27           30           15           30           17           14      
128          26           27           -1              0               1                   15           30           27           30           15           30           17           14      
129          26           27           -1              0               1                   15           30           27           30           15           30           17           13      
130          25           27           -1              0               1                   15           30           27           30           15           30           17           13      
131          25           27           -1              0               1                   14           30           28           30           14           30           16           13      
132          24           27           -1              0               1                   14           30           28           30           14           30           16           13      
133          24           27           -1              0               1                   14           30           28           30           14           30           15           13      
134          23           27           -1              0               1                   14           30           28           30           14           30           15           13      
135          23           27           0               -1              1                   14           30           28           30           14           30           15           13      
136          23           27           0               -1              1                   14           30           28           30           14           30           14           13      
137          23           26           0               -1              1                   14           30           28           30           14           30           14           13      
138          23           26           0               -1              1                   13           30           28           29           13           30           14           13      
139          23           26           0               -1              1                   13           30           28           29           13           30           13           13      
140          23           25           0               -1              1                   13           30           28           29           13           30           13           13      
141          23           25           0               -1              1                   13           30           28           29           13           30           12           13      
142          23           24           0               -1              1                   13           30           28           29           13           30           12           13      
143          23           24           0               -1              1                   13           30           28           29           13           30           12           14      
144          23           23           0               -1              1                   12           30           28           28           12           30           12           14      
145          23           23           0               -1              1                   12           30           28           28           12           30           12           15      
146          23           22           0               -1              1                   12           30           28           28           12           30           12           15      
147          23           22           0               -1              1                   12           30           28           28           12           30           13           15      
148          23           21           0               -1              1                   12           30           28           28           12           30           13           15      
149          23           21           0               -1              1                   12           30           28           28           12           30           14           15      
150          23           20           0               -1              1                   11           30           28           27           11           30           14           15      
151          23           20           0               -1              1                   11           30           28           27           11           30           15           15      
152          23           19           0               -1              1                   11           30           28           27           11           30           15           15      
153          23           19           0               -1              1                   11           30           28           27           11           30           16           15      
154          23           18           0               -1              1                   11           30           28           27           11           30           16           15      
155          23           18           0               -1              1                   11           30           28           27           11           30           17           15      
156          23           18           0               -1              1                   10           30           27           27           10           30           17           15      
157          23           17           0               -1              1                   10           30           27           27           10           30           17           15      
158          23           17           0               -1              1                   10           30           27           27           10           30           17           14      
159          23           16           0               -1              1                   10           30           27           27           10           30           17           14      
160          23           16           0               -1              1                   10           30           27           27           10           30           17           13      
161          23           15           0               -1              1                   10           30           27           27           10           30           17           13      
162          23           15           0               -1              1                   10           30           27           27           10           30           16           13      
163          23           15           0               -1              1                   9            30           26           27           9            30           16           13      
164          23           14           0               -1              1                   9            30           26           27           9            30           16           13      
165          23           14           0               -1              1                   9            30           26           27           9            30           15           13      
166          23           13           0               -1              1                   9            30           26           27           9            30           15           13      
167          23           13           0               -1              1                   9            30           26           27           9            30           14           13      
168          23           12           0               -1              1                   9            30           26           27           9            30           14           13      
169          23           12           0               -1              1                   8            30           26           26           8            30           13           13      
170          23           11           0               -1              1                   8            30           26           26           8            30           13           13      
171          23           11           0               -1              1                   8            30           26           26           8            30           12           13      
172          23           10           0               -1              1                   8            30           26           26           8            30           12           13      
173          23           10           0               -1              1                   8            30           26           26           8            30           12           14      
174          23           9            0               -1              1                   8            30           26           26           8            30           12           14      
175          23           9            0               -1              1                   7            30           26           25           7            30           12           15      
176          23           8            0               -1              1                   7            30           26           25           7            30           12           15      
177          23           8            0               -1              1                   7            30           26           25           7            30           13           15      
178          23           7            0               -1              1                   7            30           26           25           7            30           13           15      
179          23           7            0               -1              1                   7            30           26           25           7            30           14           15      
180          23           6            0               -1              1                   7            30           26           25           7            30           14           15      
181          23           6            0               -1              1                   6            30           26           24           6            30           14           15      
182          23           6            0               -1              1                   6            30           26           24           6            30           15           15      
183          23           5            0               -1              1                   6            30           26           24           6            30           15           15      
184          23           5            0               -1              1                   6            30           26           24           6            30           16           15      
185          23           4            0               -1              1                   6            30           26           24           6            30           16           15      
186          23           4            0               -1              1                   6            30           26           24           6            30           17           15      
187          23           3            0               -1              1                   5            30           27           24           5            30           17           15      
188          23           3            0               -1              1                   5            30           27           24           5            30           17           14      
189          23           2            0               -1              1                   5            30           27           24           5            30           17           14      
190          23           2            0               -1              1                   5            30           27           24           5            30           17           13      
191          23           1            0               -1              1                   5            30           27           24           5            30           17           13      
192          23           1            -1              0               1                   5            30           27           24           5            30           17           13      
193          23           1            -1              0               1                   5            30           27           24           5            30           16           13      
194          22           1            -1              0               1                   4            30           28           24           4            30           16           13      
195          22           1            -1              0               1                   4            30           28           24           4            30           15           13      
196          21           1            -1              0               1                   4            30           28           24           4            30           15           13      
197          21           1            -1              0               1                   4            30           28           24           4            30           14           13      
198          20           1            -1              0               1                   4            30           28           24           4            30           14           13      
199          20           1            -1              0               1                   4            30           28           24           4            30           13           13      
200          20           1            -1              0               1                   3            30           28           23           3            30           13           13      
201          19           1            -1              0               1                   3            30           28           23           3            30           13           13      
202          19           1            -1              0               1                   3            30           28           23           3            30           12           13      
203          18           1            -1              0               1                   3            30           28           23           3            30           12           13      
204          18           1            -1              0               1                   3            30           28           23           3            30           12           14      
205          17           1            -1              0               1                   3            30           28           23           3            30           12           14      
206          17           1            -1              0               1                   3            30           28           23           3            30           12           15      
207          17           1            -1              0               1                   2            30           28           22           2            30           12           15      
208          16           1            -1              0               1                   2            30           28           22           2            30           12           15      
209          16           1            0               1               1                   2            30           28           22           2            30           12           15      
210          16           1            0               1               1                   2            30           28           22           2            30           13           15      
211          16           2            0               1               1                   2            30           28           22           2            30           13           15      
212          16           2            0               1               1                   2            30           28           22           2            30           14           15      
213          16           3            0               1               1                   2            30           28           22           2            30           14           15      
214          16           3            0               1               1                   1            30           28           21           1            30           15           15      
215          16           4            0               1               1                   1            30           28           21           1            30           15           15      
216          16           4            0               1               1                   1            30           28           21           1            30           16           15      
217          16           5            0               1               1                   1            30           28           21           1            30           16           15      
218          16           5            -1              0               1                   1            30           28           21           1            30           16           15      
219          16           5            -1              0               1                   1            30           28           21           1            30           17           15      
220          15           5            -1              0               1                   1            30           28           21           1            30           17           15      
221          15           5            -1              0               1                   1            29           27           21           1            29           17           14      
222          14           5            -1              0               1                   1            29           27           21           1            29           17           14      
223          14           5            -1              0               1                   1            29           27           21           1            29           17           13      
224          13           5            -1              0               1                   1            29           27           21           1            29           17           13      
225          13           5            0               -1              1                   1            29           27           21           1            29           17           13      
226          13           5            0               -1              1                   1            29           27           21           1            29           16           13      
227          13           4            0               -1              1                   1            29           27           21           1            29           16           13      
228          13           4            0               -1              1                   1            28           26           21           1            28           16           13      
229          13           4            0               -1              1                   1            28           26           21           1            28           15           13      
230          13           3            0               -1              1                   1            28           26           21           1            28           15           13      
231          13           3            0               -1              1                   1            28           26           21           1            28           14           12      
232          13           2            0               -1              1                   1            28           26           21           1            28           14           12      
233          13           2            0               -1              1                   1            28           26           21           1            28           14           11      
234          13           1            0               -1              1                   1            27           25           21           1            27           14           11      
