timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
1            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
2            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
3            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
4            10           24           -1              0               0                   12           11           17           13           17           15           15           13      
5            9            24           -1              0               0                   11           11           16           13           17           14           14           13      
6            8            24           -1              0               0                   10           11           15           13           17           13           13           13      
7            7            24           -1              0               0                   9            11           14           12           16           13           12           13      
8            6            24           -1              0               0                   9            12           14           11           15           13           12           14      
9            6            24           0               1               0                   9            12           14           11           15           13           12           14      
10           6            25           0               1               0                   9            13           13           11           14           13           12           15      
11           6            26           0               1               0                   9            14           12           11           13           13           13           15      
12           6            27           0               1               0                   8            14           11           11           12           13           14           15      
13           6            27           -1              0               0                   8            14           11           11           12           13           14           15      
14           5            27           -1              0               0                   7            14           10           11           12           14           15           15      
15           4            27           -1              0               0                   6            14           9            11           12           15           16           15      
16           3            27           -1              0               0                   6            15           9            12           13           15           17           15      
17           2            27           -1              0               0                   6            16           9            13           14           15           17           14      
18           1            27           -1              0               0                   6            17           9            14           15           15           17           13      
19           1            27           0               1               0                   6            17           9            14           15           15           17           13      
20           1            28           0               1               0                   6            18           9            15           16           15           16           13      
21           1            29           0               1               0                   6            19           9            16           17           15           15           13      
22           1            30           0               1               0                   6            20           9            17           17           14           14           13      
23           1            30           1               0               0                   6            20           9            17           17           14           14           13      
24           2            30           1               0               0                   6            21           9            18           17           13           13           13      
25           3            30           1               0               0                   6            22           9            19           16           13           12           13      
26           4            30           1               0               0                   6            23           9            20           15           13           12           14      
27           5            30           1               0               0                   6            24           9            21           14           12           12           15      
28           6            30           1               0               0                   6            25           8            21           14           11           13           15      
29           7            30           1               0               0                   6            26           7            21           13           11           14           15      
30           8            30           1               0               0                   6            27           6            21           12           11           15           15      
31           9            30           1               0               0                   5            27           6            22           11           11           16           15      
32           10           30           1               0               0                   4            27           6            23           10           11           17           15      
33           11           30           1               0               0                   3            27           6            24           9            11           17           14      
34           12           30           1               0               0                   2            27           6            25           9            12           17           13      
35           13           30           1               0               0                   1            27           6            26           9            13           16           13      
36           14           30           1               0               0                   1            28           6            27           9            14           15           13      
37           15           30           1               0               0                   1            29           5            27           9            15           14           12      
38           16           30           1               0               0                   1            30           4            27           9            16           14           11      
39           16           30           0               -1              0                   1            30           4            27           9            16           14           11      
40           16           29           0               -1              0                   2            30           3            27           9            17           15           11      
41           16           28           0               -1              0                   3            30           3            26           9            18           16           11      
42           16           27           0               -1              0                   4            30           3            25           9            19           16           10      
43           16           27           1               0               0                   4            30           3            25           9            19           16           10      
44           17           27           1               0               0                   5            30           3            24           9            20           16           9       
45           18           27           1               0               0                   6            30           2            24           9            21           16           8       
46           19           27           1               0               0                   7            30           1            24           10           21           17           8       
47           20           27           1               0               0                   8            30           1            23           11           21           18           8       
48           20           27           0               -1              0                   8            30           1            23           11           21           18           8       
49           20           26           0               -1              0                   9            30           1            22           12           21           19           8       
50           20           25           0               -1              0                   10           30           1            21           13           21           20           8       
51           20           24           0               -1              0                   11           30           2            21           13           22           20           7       
52           20           24           1               0               0                   11           30           2            21           13           22           20           7       
53           21           24           1               0               0                   12           30           3            21           13           23           20           6       
54           22           24           1               0               0                   13           30           4            21           13           24           20           5       
55           23           24           1               0               0                   13           29           5            21           12           24           21           5       
56           23           24           0               1               0                   13           29           5            21           12           24           21           5       
57           23           25           0               1               0                   13           28           6            21           11           24           22           5       
58           23           26           0               1               0                   13           27           6            22           10           24           23           5       
59           23           27           0               1               0                   12           27           6            23           9            24           23           6       
60           23           27           1               0               0                   12           27           6            23           9            24           23           6       
61           24           27           1               0               0                   11           27           6            24           9            25           23           7       
62           25           27           1               0               0                   10           27           6            25           9            26           23           8       
63           26           27           1               0               0                   9            27           6            26           9            27           24           8       
64           27           27           1               0               0                   9            26           6            27           10           27           25           8       
65           28           27           1               0               0                   9            25           5            27           11           27           26           8       
66           28           27           0               1               0                   9            25           5            27           11           27           26           8       
67           28           28           0               1               0                   9            24           4            27           12           27           27           8       
68           28           29           0               1               0                   10           24           3            27           13           27           28           8       
69           28           30           0               1               0                   11           24           2            27           13           28           28           7       
70           28           30           0               -1              0                   11           24           2            27           13           28           28           7       
71           28           29           0               -1              0                   12           24           1            27           13           29           28           6       
72           28           28           0               -1              0                   13           24           1            28           13           30           28           5       
73           28           27           0               -1              0                   14           24           1            29           14           30           27           5       
74           28           27           -1              0               0                   14           24           1            29           14           30           27           5       
75           27           27           -1              0               0                   15           24           1            30           15           30           26           5       
76           26           27           -1              0               0                   16           24           2            30           16           30           25           5       
77           26           27           0               -1              0                   16           24           2            30           16           30           25           5       
78           26           26           0               -1              0                   17           24           3            30           16           29           24           5       
79           26           25           0               -1              0                   18           24           4            30           16           28           23           5       
80           26           24           0               -1              0                   19           24           5            30           16           27           22           5       
81           26           24           0               1               0                   19           24           5            30           16           27           22           5       
82           26           25           0               1               0                   20           24           6            30           17           27           21           5       
83           26           26           0               1               0                   21           24           7            30           18           27           20           5       
84           26           27           0               1               0                   22           24           8            30           19           27           19           5       
85           26           27           0               -1              0                   22           24           8            30           19           27           19           5       
86           26           26           0               -1              0                   23           24           9            30           20           27           18           5       
87           26           25           0               -1              0                   23           25           10           30           20           26           17           5       
88           26           24           0               -1              0                   23           26           11           30           20           25           16           5       
89           26           24           1               0               0                   23           26           11           30           20           25           16           5       
90           27           24           1               0               0                   23           27           12           30           20           24           16           4       
91           28           24           1               0               1                   23           27           12           30           20           24           16           4       
92           28           24           -1              0               1                   23           27           12           30           20           24           16           4       
93           28           24           -1              0               1                   24           27           13           30           21           24           16           3       
94           27           24           -1              0               1                   24           27           13           30           21           24           16           3       
95           26           24           -1              0               1                   24           27           13           30           21           24           16           3       
96           26           24           0               1               1                   24           27           13           30           21           24           16           3       
97           26           25           0               1               1                   24           27           13           30           21           24           16           3       
98           26           25           0               1               1                   25           27           13           29           22           24           16           2       
99           26           26           0               1               1                   25           27           13           29           22           24           16           2       
100          26           26           0               1               1                   15           14           13           29           22           24           16           2       
101          26           27           0               1               1                   15           14           13           29           22           24           16           2       
102          26           27           -1              0               1                   15           13           13           29           22           24           16           2       
103          25           27           -1              0               1                   15           13           13           29           22           24           16           2       
104          25           27           -1              0               1                   14           13           13           29           22           24           16           2       
105          25           27           -1              0               1                   14           13           13           28           23           24           16           1       
106          24           27           -1              0               1                   14           13           13           28           23           24           16           1       
107          24           27           -1              0               1                   13           13           13           28           23           24           16           1       
108          23           27           -1              0               1                   13           13           13           28           23           24           16           1       
109          23           27           0               -1              1                   12           13           13           28           23           24           16           1       
110          23           26           0               -1              1                   12           13           13           28           23           24           16           1       
111          23           26           0               -1              1                   12           14           13           27           23           23           17           1       
112          23           25           0               -1              1                   12           14           13           27           23           23           17           1       
113          23           25           0               -1              1                   12           15           13           27           23           23           17           1       
114          23           24           0               -1              1                   12           15           13           27           23           23           17           1       
115          23           24           -1              0               1                   13           15           13           27           23           23           17           1       
116          22           24           -1              0               1                   13           15           12           27           23           22           18           1       
117          22           24           -1              0               1                   14           15           12           27           23           22           18           1       
118          21           24           -1              0               1                   14           15           12           27           23           22           18           1       
119          21           24           -1              0               1                   15           15           12           27           23           22           18           1       
120          20           24           -1              0               1                   15           15           12           27           23           22           18           1       
121          20           24           -1              0               1                   16           15           12           27           23           22           18           1       
122          19           24           -1              0               1                   16           15           11           27           23           21           19           1       
123          19           24           -1              0               1                   17           15           11           27           23           21           19           1       
124          18           24           -1              0               1                   17           15           11           27           23           21           19           1       
125          18           24           -1              0               1                   17           14           11           27           23           21           19           1       
126          17           24           -1              0               1                   17           14           11           27           23           21           19           1       
127          17           24           -1              0               1                   17           13           11           27           23           21           19           1       
128          17           24           -1              0               1                   17           13           10           27           24           21           20           1       
129          16           24           -1              0               1                   17           13           10           27           24           21           20           1       
130          16           24           0               -1              1                   16           13           10           27           24           21           20           1       
131          16           23           0               -1              1                   16           13           10           27           24           21           20           1       
132          16           23           0               -1              1                   15           13           10           27           24           21           20           1       
133          16           22           0               -1              1                   15           13           10           27           24           21           20           1       
134          16           22           0               -1              1                   14           12           10           27           24           21           20           1       
135          16           22           0               -1              1                   14           12           9            27           25           21           21           1       
136          16           21           0               -1              1                   14           12           9            27           25           21           21           1       
137          16           21           1               0               1                   14           11           9            27           25           21           21           1       
138          17           21           1               0               1                   14           11           9            27           25           21           21           1       
139          17           21           1               0               1                   15           11           9            27           25           21           21           1       
140          18           21           1               0               1                   15           11           9            27           25           21           21           1       
141          18           21           1               0               1                   16           11           9            27           25           21           21           1       
142          18           21           1               0               1                   16           11           9            26           26           21           22           1       
143          19           21           1               0               1                   16           11           9            26           26           21           22           1       
144          19           21           1               0               1                   17           11           9            26           26           21           22           1       
145          20           21           1               0               1                   17           11           9            26           26           21           22           1       
146          20           21           1               0               1                   18           11           9            26           26           21           22           1       
147          21           21           1               0               1                   18           11           9            26           26           21           22           1       
148          21           21           1               0               1                   19           11           9            26           26           21           22           1       
149          21           21           1               0               1                   19           11           9            25           27           21           23           1       
150          22           21           1               0               1                   19           11           9            25           27           21           23           1       
151          22           21           1               0               1                   20           11           9            25           27           21           23           1       
152          23           21           1               0               1                   20           11           9            25           27           21           23           1       
153          23           21           0               1               1                   20           12           9            25           27           21           23           1       
154          23           22           0               1               1                   20           12           9            25           27           21           23           1       
155          23           22           0               1               1                   20           13           9            24           28           21           24           1       
156          23           23           0               1               1                   20           13           9            24           28           21           24           1       
157          23           23           0               -1              1                   20           14           9            24           28           21           24           1       
158          23           22           0               -1              1                   20           14           9            24           28           21           24           1       
159          23           22           0               -1              1                   21           14           9            24           28           21           24           1       
160          23           21           0               -1              1                   21           14           8            24           28           22           25           1       
161          23           21           1               0               1                   22           14           8            24           28           22           25           1       
162          24           21           1               0               1                   22           14           8            24           28           22           25           1       
163          24           21           1               0               1                   23           14           8            24           28           22           25           1       
164          25           21           1               0               1                   23           14           8            24           28           22           25           1       
165          25           21           1               0               1                   23           15           8            24           28           22           25           1       
166          26           21           1               0               1                   23           15           7            24           28           23           26           1       
167          26           21           1               0               1                   23           16           7            24           28           23           26           1       
168          27           21           1               0               1                   23           16           7            24           28           23           26           1       
169          27           21           1               0               1                   23           17           7            24           28           23           26           1       
170          28           21           1               0               1                   23           17           7            24           28           23           26           1       
171          28           21           0               1               1                   23           18           7            24           28           23           26           1       
172          28           21           0               1               1                   23           18           6            24           28           24           27           1       
173          28           22           0               1               1                   23           18           6            24           28           24           27           1       
174          28           22           0               1               1                   23           19           6            24           28           24           27           1       
175          28           22           0               1               1                   23           19           6            24           12           15           27           1       
176          28           23           0               1               1                   23           19           6            24           12           15           27           1       
177          28           23           0               1               1                   23           20           6            24           12           15           27           1       
178          28           23           0               1               1                   23           20           6            24           13           15           27           1       
179          28           24           0               1               1                   23           20           6            24           13           15           27           1       
180          28           24           -1              0               1                   23           21           6            24           13           15           27           1       
181          28           24           -1              0               1                   23           21           6            25           14           15           28           1       
182          27           24           -1              0               1                   23           21           6            25           14           15           28           1       
183          27           24           -1              0               1                   24           21           6            25           14           15           28           1       
184          27           24           -1              0               1                   24           21           6            25           15           15           28           1       
185          26           24           -1              0               1                   24           21           6            25           15           15           28           1       
186          26           24           0               1               1                   25           21           6            25           15           15           28           1       
187          26           24           0               1               1                   25           21           6            25           16           15           28           1       
188          26           25           0               1               1                   25           21           6            25           16           15           28           1       
189          26           25           0               1               1                   26           21           6            25           16           15           28           1       
190          26           25           0               1               1                   26           21           6            26           16           15           28           2       
191          26           25           0               1               1                   26           21           6            26           17           15           28           2       
192          26           26           0               1               1                   26           21           6            26           17           15           28           2       
193          26           26           0               1               1                   27           21           6            26           17           15           28           2       
194          26           26           0               1               1                   27           21           6            26           17           14           28           2       
195          26           27           0               1               1                   27           21           6            26           17           14           28           2       
196          26           27           1               0               1                   28           21           6            26           17           14           28           2       
197          26           27           1               0               1                   28           21           6            26           17           13           28           2       
198          27           27           1               0               1                   28           21           6            26           17           13           28           2       
199          27           27           1               0               1                   28           22           6            26           17           13           28           2       
200          27           27           1               0               1                   28           22           6            27           17           13           28           3       
201          27           27           1               0               1                   28           22           6            27           16           13           28           3       
202          28           27           1               0               1                   28           22           6            27           16           13           28           3       
203          28           27           0               1               1                   28           23           6            27           16           13           28           3       
204          28           27           0               1               1                   28           23           6            27           15           13           28           3       
205          28           28           0               1               1                   28           23           6            27           15           13           28           3       
206          28           28           0               1               1                   28           24           6            27           15           13           28           3       
207          28           28           0               1               1                   28           24           6            27           14           13           28           3       
208          28           29           0               1               1                   28           24           6            27           14           13           28           3       
209          28           29           0               1               1                   27           24           5            27           14           13           28           4       
210          28           29           0               1               1                   27           24           5            27           13           13           28           4       
211          28           30           0               1               1                   27           24           5            27           13           13           28           4       
212          28           30           -1              0               1                   26           24           5            27           13           13           28           4       
213          28           30           -1              0               1                   26           24           5            27           12           13           28           4       
214          27           30           -1              0               1                   26           24           5            27           12           13           28           4       
215          27           30           -1              0               1                   26           25           5            27           12           13           28           4       
