timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           14           15           15           12           15           16           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            13           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
7            12           24           -1              0               0                   14           11           17           14           15           15           17           13      
8            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
9            11           24           -1              0               0                   13           11           17           13           16           15           16           13      
10           10           24           -1              0               0                   12           11           17           13           17           15           15           13      
11           10           24           -1              0               0                   11           11           16           13           17           14           14           13      
12           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
13           9            24           -1              0               0                   10           11           15           13           17           13           13           13      
14           8            24           -1              0               0                   10           11           15           13           17           13           13           13      
15           8            24           -1              0               0                   10           11           14           12           17           13           13           13      
16           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
17           7            24           -1              0               0                   9            11           14           11           16           13           12           13      
18           6            24           -1              0               0                   9            12           14           11           15           13           12           14      
19           6            24           0               -1              0                   9            12           14           11           15           13           12           14      
20           6            24           0               -1              0                   9            13           13           11           14           13           12           15      
21           6            23           0               -1              0                   9            13           13           11           14           13           12           15      
22           6            23           0               -1              0                   9            14           12           11           13           13           13           15      
23           6            22           0               -1              0                   9            14           12           11           13           13           13           15      
24           6            22           0               -1              0                   9            14           11           11           13           13           13           15      
25           6            21           0               -1              0                   8            14           11           11           12           13           14           15      
26           6            21           0               -1              0                   8            14           10           11           12           13           14           15      
27           6            20           0               -1              0                   7            14           10           11           12           14           15           15      
28           6            20           0               -1              0                   6            14           9            11           12           15           16           15      
29           6            19           0               -1              0                   6            14           9            11           12           15           16           15      
30           6            19           0               -1              0                   6            15           9            12           13           15           17           15      
31           6            18           0               -1              0                   6            15           9            12           13           15           17           15      
32           6            18           0               1               0                   6            15           9            12           13           15           17           15      
33           6            18           0               1               0                   6            15           9            13           13           15           17           15      
34           6            19           0               1               0                   6            16           9            13           14           15           17           14      
35           6            19           0               1               0                   6            16           9            14           14           15           17           14      
36           6            20           0               1               0                   6            17           9            14           15           15           17           13      
37           6            20           0               1               0                   6            18           8            14           16           15           16           13      
38           6            21           0               1               0                   6            18           8            14           16           15           16           13      
39           6            21           -1              0               0                   6            18           8            14           16           15           16           13      
40           6            21           -1              0               0                   6            19           7            14           17           15           15           13      
41           5            21           -1              0               0                   6            19           7            14           17           15           15           13      
42           5            21           -1              0               0                   6            19           6            14           17           15           15           13      
43           4            21           -1              0               0                   6            20           6            14           17           14           14           13      
44           4            21           -1              0               0                   6            20           6            15           17           14           14           13      
45           3            21           -1              0               0                   6            21           6            15           17           13           13           13      
46           3            21           -1              0               0                   5            21           6            16           16           13           12           13      
47           2            21           -1              0               0                   5            21           6            16           16           13           12           13      
48           2            21           -1              0               0                   4            21           6            17           15           13           12           14      
49           1            21           -1              0               0                   4            21           6            17           15           13           12           14      
50           1            21           0               1               0                   4            21           6            17           15           13           12           14      
51           1            21           0               1               0                   4            21           6            18           15           13           12           14      
52           1            22           0               1               0                   3            21           6            18           14           12           12           15      
53           1            22           0               1               0                   3            21           6            19           14           12           12           15      
54           1            23           0               1               0                   2            21           6            19           14           11           13           15      
55           1            23           0               1               0                   1            21           6            20           13           11           14           15      
56           1            24           0               1               1                   1            21           6            20           13           11           14           15      
57           1            24           1               0               1                   1            21           6            20           13           11           14           15      
58           2            24           1               0               1                   1            21           6            20           13           11           14           15      
59           3            24           1               0               1                   1            21           6            20           13           11           14           15      
60           3            24           1               0               1                   1            22           6            21           12           11           15           15      
61           3            24           0               1               1                   1            22           6            21           12           11           15           15      
62           3            25           0               1               1                   1            22           6            21           12           11           15           15      
63           3            26           0               1               1                   1            22           6            21           12           11           15           15      
64           3            27           0               1               1                   1            23           7            21           11           11           16           15      
65           3            27           1               0               1                   1            23           7            21           11           11           16           15      
66           4            27           1               0               1                   1            23           7            21           11           11           16           15      
67           5            27           1               0               1                   1            23           7            21           11           11           16           15      
68           5            27           1               0               1                   1            24           8            21           10           11           17           15      
69           6            27           1               0               1                   1            24           8            21           10           11           17           15      
70           6            27           0               -1              1                   1            24           8            21           10           11           17           15      
71           6            26           0               -1              1                   1            24           8            21           10           11           17           15      
72           6            25           0               -1              1                   1            24           8            21           10           11           17           15      
73           6            25           0               1               1                   1            24           8            21           10           11           17           15      
74           6            25           0               1               1                   2            24           9            21           9            11           17           14      
75           6            26           0               1               1                   2            24           9            21           9            11           17           14      
76           6            27           0               1               1                   2            24           9            21           9            11           17           14      
77           6            27           -1              0               1                   2            24           9            21           9            11           17           14      
78           6            27           -1              0               1                   3            24           9            20           9            12           17           13      
79           5            27           -1              0               1                   3            24           9            20           9            12           17           13      
80           4            27           -1              0               1                   3            24           9            20           9            12           17           13      
81           3            27           -1              0               1                   3            24           9            20           9            12           17           13      
82           3            27           -1              0               1                   3            25           9            19           9            13           16           13      
83           2            27           -1              0               1                   3            25           9            19           9            13           16           13      
84           1            27           -1              0               1                   3            25           9            19           9            13           16           13      
85           1            27           0               1               1                   3            25           9            19           9            13           16           13      
86           1            27           0               1               1                   3            26           9            18           9            14           15           13      
87           1            28           0               1               1                   3            26           9            18           9            14           15           13      
88           1            29           0               1               1                   3            26           9            18           9            14           15           13      
89           1            30           0               1               1                   3            26           9            18           9            14           15           13      
90           1            30           0               1               1                   3            27           10           18           8            14           14           12      
91           1            30           1               0               1                   3            27           10           18           8            14           14           12      
92           2            30           1               0               1                   3            27           10           18           8            14           14           12      
93           3            30           1               0               1                   3            27           10           18           8            14           14           12      
94           4            30           1               0               1                   4            27           11           18           7            14           14           11      
95           5            30           1               0               1                   4            27           11           18           7            14           14           11      
96           6            30           1               0               1                   4            27           11           18           7            14           14           11      
97           6            30           1               0               1                   5            27           12           18           6            14           15           11      
98           7            30           1               0               1                   5            27           12           18           6            14           15           11      
99           8            30           1               0               1                   5            27           12           18           6            14           15           11      
100          9            30           1               0               1                   5            27           12           18           6            14           15           11      
101          9            30           1               0               1                   6            27           13           18           6            13           16           11      
102          10           30           1               0               1                   6            27           13           18           6            13           16           11      
103          11           30           1               0               1                   6            27           13           18           6            13           16           11      
104          12           30           1               0               1                   6            27           13           18           6            13           16           11      
105          12           30           1               0               1                   6            26           14           18           6            12           16           10      
106          13           30           1               0               1                   6            26           14           18           6            12           16           10      
107          14           30           1               0               1                   6            26           14           18           6            12           16           10      
108          15           30           1               0               1                   6            26           14           18           6            12           16           10      
109          15           30           1               0               1                   6            25           15           18           6            11           16           9       
110          16           30           1               0               1                   6            25           15           18           6            11           16           9       
111          17           30           1               0               1                   6            25           15           18           6            11           16           9       
112          18           30           1               0               1                   6            25           15           18           6            11           16           9       
113          18           30           1               0               1                   6            24           16           18           6            10           16           8       
114          19           30           1               0               1                   6            24           16           18           6            10           16           8       
115          20           30           1               0               1                   6            24           16           18           6            10           16           8       
116          21           30           1               0               1                   6            23           17           18           6            9            17           8       
117          22           30           1               0               1                   6            23           17           18           6            9            17           8       
118          23           30           1               0               1                   6            23           17           18           6            9            17           8       
119          24           30           1               0               1                   6            22           18           18           6            8            18           8       
120          25           30           1               0               1                   6            22           18           18           6            8            18           8       
121          26           30           1               0               1                   6            22           18           18           6            8            18           8       
122          26           30           1               0               1                   6            21           19           18           5            8            19           8       
123          27           30           1               0               1                   6            21           19           18           5            8            19           8       
124          28           30           1               0               1                   6            21           19           18           5            8            19           8       
125          28           30           0               -1              1                   6            21           19           18           5            8            19           8       
126          28           30           0               -1              1                   5            21           20           18           4            8            20           8       
127          28           29           0               -1              1                   5            21           20           18           4            8            20           8       
128          28           28           0               -1              1                   5            21           20           18           4            8            20           8       
129          28           27           0               -1              1                   5            21           20           18           4            8            20           8       
130          28           27           -1              0               1                   5            21           20           18           4            8            20           8       
131          28           27           -1              0               1                   4            21           20           17           3            8            20           7       
132          27           27           -1              0               1                   4            21           20           17           3            8            20           7       
133          26           27           -1              0               1                   4            21           20           17           3            8            20           7       
134          25           27           -1              0               1                   4            21           20           17           3            8            20           7       
135          25           27           -1              0               1                   3            21           20           16           2            8            20           6       
136          24           27           -1              0               0                   3            21           20           16           2            8            20           6       
137          24           27           -1              0               0                   2            21           20           15           1            8            20           5       
138          23           27           -1              0               0                   2            21           20           15           1            8            20           5       
139          23           27           0               -1              0                   2            21           20           15           1            8            20           5       
140          23           27           0               -1              0                   1            21           20           14           1            7            21           5       
141          23           26           0               -1              0                   1            21           20           14           1            7            21           5       
142          23           26           0               -1              0                   1            22           20           13           1            6            22           5       
143          23           25           0               -1              0                   1            22           20           13           1            6            22           5       
144          23           24           0               -1              0                   1            23           20           12           1            5            23           5       
145          23           23           0               -1              0                   1            24           20           11           2            5            23           6       
146          23           23           0               -1              0                   2            24           19           11           3            5            23           7       
147          23           22           0               -1              0                   2            24           19           11           3            5            23           7       
148          23           22           0               -1              0                   3            24           18           11           4            5            23           8       
149          23           21           0               -1              0                   3            24           18           11           4            5            23           8       
150          23           21           1               0               0                   3            24           18           11           4            5            23           8       
151          24           21           1               0               0                   3            25           17           11           5            5            23           9       
152          25           21           1               0               0                   3            26           16           11           6            5            23           10      
153          25           21           1               0               0                   3            27           16           10           6            6            23           11      
154          26           21           1               0               0                   3            27           16           10           6            6            23           11      
155          26           21           1               0               0                   4            27           16           9            6            7            23           12      
156          27           21           1               0               0                   4            27           16           9            6            7            23           12      
157          28           21           1               0               0                   5            27           16           8            6            8            23           13      
158          28           21           0               1               0                   5            27           16           8            6            8            23           13      
159          28           21           0               1               0                   6            27           17           8            6            9            23           14      
160          28           22           0               1               0                   6            27           17           8            6            9            23           14      
161          28           22           0               1               0                   6            26           18           8            6            10           24           14      
162          28           23           0               1               0                   6            26           18           8            6            10           24           14      
163          28           23           0               1               0                   6            25           19           8            6            11           25           14      
164          28           24           0               1               1                   6            25           19           8            6            11           25           14      
165          28           24           -1              0               1                   6            25           19           8            6            11           25           14      
166          27           24           -1              0               1                   6            25           19           8            6            11           25           14      
167          26           24           -1              0               1                   6            25           19           8            6            11           25           14      
168          26           24           -1              0               1                   6            24           20           8            6            12           26           14      
169          26           24           0               1               1                   6            24           20           8            6            12           26           14      
