timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            13           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
7            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
8            11           24           -1              0               0                   12           11           17           13           17           15           15           13      
9            10           24           -1              0               0                   12           11           17           13           17           15           15           13      
10           10           24           -1              0               0                   11           11           16           13           17           14           14           13      
11           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
12           9            24           -1              0               0                   10           11           15           13           17           13           13           13      
13           8            24           -1              0               0                   10           11           15           13           17           13           13           13      
14           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
15           7            24           -1              0               0                   9            12           14           11           15           13           12           14      
16           6            24           -1              0               0                   9            12           14           11           15           13           12           14      
17           6            24           -1              0               0                   9            13           13           11           14           13           12           15      
18           6            24           -1              0               0                   9            14           12           11           13           13           13           15      
19           6            24           -1              0               0                   8            14           11           11           12           13           14           15      
20           6            24           -1              0               0                   7            14           10           11           12           14           15           15      
21           6            24           -1              0               0                   6            14           9            11           12           15           16           15      
22           6            24           0               1               0                   6            14           9            11           12           15           16           15      
23           6            24           0               1               0                   6            15           9            12           13           15           17           15      
24           6            25           0               1               0                   6            15           9            12           13           15           17           15      
25           6            26           0               1               0                   6            16           9            13           14           15           17           14      
26           6            26           0               1               0                   6            17           9            14           15           15           17           13      
27           6            27           0               1               0                   6            17           9            14           15           15           17           13      
28           6            27           -1              0               0                   6            17           9            14           15           15           17           13      
29           6            27           -1              0               0                   6            18           8            14           16           15           16           13      
30           5            27           -1              0               0                   6            18           8            14           16           15           16           13      
31           5            27           -1              0               0                   6            19           7            14           17           15           15           13      
32           4            27           -1              0               0                   6            19           7            14           17           15           15           13      
33           3            27           -1              0               0                   6            20           6            14           17           14           14           13      
34           3            27           -1              0               0                   6            21           6            15           17           13           13           13      
35           2            27           -1              0               0                   6            21           6            15           17           13           13           13      
36           2            27           -1              0               0                   5            21           6            16           16           13           12           13      
37           1            27           -1              0               0                   5            21           6            16           16           13           12           13      
38           1            27           -1              0               0                   4            21           6            17           15           13           12           14      
39           1            27           -1              0               0                   3            21           6            18           14           12           12           15      
40           1            27           0               1               0                   2            21           6            19           14           11           13           15      
41           1            28           0               1               0                   2            21           6            19           14           11           13           15      
42           1            28           0               1               0                   1            21           6            20           13           11           14           15      
43           1            29           0               1               0                   1            21           6            20           13           11           14           15      
44           1            29           0               1               0                   1            22           6            21           12           11           15           15      
45           1            30           0               1               0                   1            22           6            21           12           11           15           15      
46           1            30           0               1               0                   1            23           6            22           11           11           16           15      
47           1            30           0               1               0                   1            24           6            23           10           11           17           15      
48           1            30           1               0               0                   2            24           6            24           9            11           17           14      
49           2            30           1               0               0                   2            24           6            24           9            11           17           14      
50           2            30           1               0               0                   3            24           6            25           9            12           17           13      
51           3            30           1               0               0                   3            24           6            25           9            12           17           13      
52           3            30           1               0               0                   3            25           6            26           9            13           16           13      
53           4            30           1               0               0                   3            25           6            26           9            13           16           13      
54           4            30           1               0               0                   3            26           6            27           9            14           15           13      
55           5            30           1               0               0                   3            26           6            27           9            14           15           13      
56           5            30           1               0               0                   3            27           5            27           8            14           14           12      
57           6            30           1               0               0                   3            27           5            27           8            14           14           12      
58           6            30           1               0               0                   4            27           4            27           7            14           14           11      
59           7            30           1               0               0                   4            27           4            27           7            14           14           11      
60           7            30           1               0               0                   5            27           3            27           6            14           13           11      
61           8            30           1               0               0                   5            27           3            27           6            14           13           11      
62           8            30           1               0               0                   6            27           3            26           6            15           12           11      
63           9            30           1               0               0                   6            27           3            26           6            15           12           11      
64           9            30           1               0               0                   6            26           3            25           6            16           11           11      
65           10           30           1               0               0                   6            26           3            25           6            16           11           11      
66           10           30           1               0               0                   6            25           3            24           6            17           10           11      
67           11           30           1               0               0                   6            25           3            24           6            17           10           11      
68           11           30           1               0               0                   6            24           2            24           6            18           9            11      
69           12           30           1               0               0                   6            24           2            24           6            18           9            11      
70           12           30           1               0               0                   7            24           1            24           6            19           9            12      
71           13           30           1               0               0                   7            24           1            24           6            19           9            12      
72           13           30           1               0               0                   8            24           1            23           6            20           9            13      
73           14           30           1               0               0                   8            24           1            23           6            20           9            13      
74           14           30           1               0               0                   9            24           1            22           6            21           9            14      
75           15           30           1               0               0                   9            24           1            22           6            21           9            14      
76           15           30           1               0               0                   9            25           1            21           7            21           9            15      
77           16           30           1               0               0                   9            25           1            21           7            21           9            15      
78           16           30           1               0               0                   9            26           2            21           8            21           9            16      
79           17           30           1               0               0                   9            26           2            21           8            21           9            16      
80           17           30           1               0               0                   9            27           3            21           9            21           9            17      
81           18           30           1               0               0                   9            27           3            21           9            21           9            17      
82           18           30           1               0               0                   10           27           4            21           10           21           9            18      
83           19           30           1               0               0                   10           27           4            21           10           21           9            18      
84           19           30           1               0               0                   11           27           5            21           11           21           10           18      
85           20           30           1               0               0                   11           27           5            21           11           21           10           18      
86           20           30           1               0               0                   12           27           6            21           12           21           11           18      
87           21           30           1               0               0                   12           27           6            21           12           21           11           18      
88           21           30           1               0               0                   13           27           7            21           13           21           12           18      
89           22           30           1               0               0                   13           27           7            21           13           21           12           18      
90           22           30           1               0               0                   13           28           8            21           13           22           13           18      
91           23           30           1               0               0                   13           28           8            21           13           22           13           18      
92           23           30           1               0               0                   13           29           9            21           13           23           14           18      
93           24           30           1               0               0                   13           29           9            21           13           23           14           18      
94           24           30           1               0               0                   13           30           10           21           13           24           15           18      
95           25           30           1               0               0                   13           30           10           21           13           24           15           18      
96           25           30           1               0               0                   14           30           11           21           14           24           16           18      
97           26           30           1               0               0                   14           30           11           21           14           24           16           18      
98           26           30           1               0               0                   15           30           12           21           15           24           17           18      
99           27           30           1               0               0                   15           30           12           21           15           24           17           18      
100          27           30           1               0               0                   16           30           13           21           16           24           18           18      
101          28           30           1               0               0                   16           30           13           21           16           24           18           18      
102          28           30           0               -1              0                   17           30           13           22           17           24           19           18      
103          28           29           0               -1              0                   17           30           13           22           17           24           19           18      
104          28           29           0               -1              0                   18           30           13           23           18           24           20           18      
105          28           28           0               -1              0                   18           30           13           23           18           24           20           18      
106          28           28           0               -1              0                   19           30           13           24           19           24           20           19      
107          28           27           0               -1              0                   19           30           13           24           19           24           20           19      
108          28           27           -1              0               0                   19           30           13           24           19           24           20           19      
109          28           27           -1              0               0                   20           30           14           24           20           24           20           20      
110          27           27           -1              0               0                   20           30           14           24           20           24           20           20      
111          27           27           -1              0               0                   21           30           15           24           21           24           20           21      
112          26           27           -1              0               0                   21           30           15           24           21           24           20           21      
113          26           27           0               -1              0                   22           30           16           24           22           24           21           21      
114          26           26           0               -1              0                   22           30           16           24           22           24           21           21      
115          26           26           0               -1              0                   23           30           17           24           23           24           22           21      
116          26           25           0               -1              0                   23           30           17           24           23           24           22           21      
117          26           25           0               -1              0                   24           30           18           24           23           25           23           21      
118          26           24           0               -1              0                   24           30           18           24           23           25           23           21      
119          26           24           1               0               0                   25           30           19           24           23           26           24           21      
120          27           24           1               0               0                   25           30           19           24           23           26           24           21      
121          27           24           1               0               0                   26           30           20           24           23           27           25           21      
122          28           24           1               0               1                   26           30           20           24           23           27           25           21      
123          28           24           0               -1              1                   27           30           21           24           24           27           26           21      
124          28           23           0               -1              1                   27           30           21           24           24           27           26           21      
125          28           22           0               -1              1                   27           30           21           24           24           27           26           21      
126          28           22           0               -1              1                   27           30           21           24           24           27           16           15      
127          28           21           0               -1              1                   28           30           22           24           25           27           16           15      
128          28           21           -1              0               1                   28           30           22           24           25           27           16           15      
129          28           21           -1              0               1                   28           30           22           24           25           27           17           15      
130          27           21           -1              0               1                   28           30           22           24           25           27           17           15      
131          27           21           -1              0               1                   28           30           22           24           25           27           17           14      
132          26           21           -1              0               1                   28           30           22           24           25           27           17           14      
133          26           21           -1              0               1                   28           30           22           24           25           27           17           13      
134          25           21           -1              0               1                   28           29           23           24           26           27           17           13      
135          25           21           -1              0               1                   28           29           23           24           26           27           16           13      
136          24           21           -1              0               1                   28           29           23           24           26           27           16           13      
137          24           21           -1              0               1                   28           29           23           24           26           27           15           13      
138          23           21           -1              0               1                   28           29           23           24           26           27           15           13      
139          23           21           0               1               1                   28           29           23           24           26           27           15           13      
140          23           21           0               1               1                   28           29           23           24           26           27           14           13      
141          23           21           0               1               1                   28           28           23           25           27           27           14           13      
142          23           22           0               1               1                   28           28           23           25           27           27           14           13      
143          23           22           0               1               1                   28           28           23           25           27           27           13           13      
144          23           23           0               1               1                   28           28           23           25           27           27           13           13      
145          23           23           0               1               1                   28           28           23           25           27           27           12           13      
146          23           24           0               1               1                   28           28           23           25           27           27           12           13      
147          23           24           0               1               1                   28           27           14           15           28           27           12           14      
148          23           25           0               1               1                   28           27           14           15           28           27           12           14      
149          23           25           0               1               1                   28           27           15           15           28           27           12           15      
150          23           26           0               1               1                   28           27           15           15           28           27           12           15      
151          23           26           0               1               1                   28           27           16           15           28           27           13           15      
152          23           27           0               1               1                   28           27           16           15           28           27           13           15      
153          23           27           1               0               1                   28           27           16           15           28           27           13           15      
154          23           27           1               0               1                   27           27           17           15           28           28           14           15      
155          24           27           1               0               1                   27           27           17           15           28           28           14           15      
156          24           27           1               0               1                   27           27           17           14           28           28           15           15      
157          25           27           1               0               1                   27           27           17           14           28           28           15           15      
158          25           27           1               0               1                   15           14           17           14           28           28           15           15      
159          25           27           1               0               1                   15           14           17           13           28           28           16           15      
160          26           27           1               0               1                   15           14           17           13           28           28           16           15      
161          26           27           1               0               1                   15           13           17           13           28           29           16           15      
162          26           27           1               0               1                   15           13           16           13           28           29           17           15      
163          27           27           1               0               1                   15           13           16           13           28           29           17           15      
164          27           27           1               0               1                   14           13           16           13           28           29           17           15      
165          27           27           1               0               1                   14           13           15           13           28           29           17           14      
166          28           27           1               0               1                   14           13           15           13           28           29           17           14      
167          28           27           0               1               1                   13           13           15           13           28           29           17           14      
168          28           27           0               1               1                   13           13           14           13           28           29           17           13      
169          28           28           0               1               1                   13           13           14           13           28           29           17           13      
170          28           28           0               1               1                   12           13           14           13           28           30           17           13      
171          28           28           0               1               1                   12           13           13           13           28           30           16           13      
172          28           28           0               1               0                   12           13           13           13           12           15           16           13      
173          28           29           0               1               0                   12           13           13           13           12           15           16           13      
174          28           29           0               1               0                   12           14           13           13           12           15           16           13      
175          28           29           0               1               0                   12           14           12           13           12           15           15           13      
176          28           29           0               1               0                   12           14           12           13           13           15           15           13      
177          28           30           0               1               0                   12           14           12           13           13           15           15           13      
178          28           30           0               1               0                   12           15           12           13           13           15           15           13      
179          28           30           0               1               0                   12           15           12           14           13           15           14           13      
180          28           30           0               1               0                   12           15           12           14           14           15           14           13      
181          28           30           0               1               0                   13           15           12           14           14           15           14           13      
182          28           30           0               1               0                   13           15           12           15           14           15           13           13      
183          28           30           -1              0               0                   13           15           12           15           15           15           13           13      
184          28           30           -1              0               0                   14           15           12           15           15           15           13           13      
185          27           30           -1              0               0                   14           15           13           15           15           15           12           13      
186          27           30           -1              0               0                   14           15           13           15           16           15           12           13      
187          27           30           -1              0               0                   15           15           13           15           16           15           12           13      
188          26           30           -1              0               0                   15           15           14           15           16           15           12           14      
189          26           30           -1              0               0                   15           15           14           15           17           15           12           14      
190          26           30           -1              0               0                   16           15           14           15           17           15           12           14      
191          25           30           -1              0               0                   16           15           15           15           17           15           12           15      
192          25           30           -1              0               0                   16           15           15           15           17           14           12           15      
193          25           30           -1              0               0                   17           15           15           15           17           14           12           15      
194          24           30           -1              0               0                   17           15           16           15           17           14           13           15      
195          24           30           -1              0               0                   17           15           16           15           17           13           13           15      
196          24           30           -1              0               0                   17           14           16           15           17           13           13           15      
197          23           30           -1              0               0                   17           14           17           15           17           13           14           15      
198          23           30           -1              0               0                   17           14           17           15           16           13           14           15      
199          23           30           -1              0               0                   17           13           17           15           16           13           14           15      
200          22           30           -1              0               0                   17           13           17           14           16           13           15           15      
201          22           30           -1              0               0                   17           13           17           14           15           13           15           15      
202          22           30           -1              0               0                   16           13           17           14           15           13           15           15      
203          21           30           -1              0               0                   16           13           17           13           15           13           16           15      
204          21           30           -1              0               0                   16           13           17           13           14           13           16           15      
205          21           30           -1              0               0                   15           13           17           13           14           13           16           15      
206          20           30           -1              0               0                   15           13           16           13           14           13           17           15      
207          20           30           -1              0               0                   15           13           16           13           13           13           17           15      
208          20           30           -1              0               0                   14           12           16           13           13           13           17           15      
209          19           30           -1              0               0                   14           12           15           13           13           13           17           14      
210          19           30           -1              0               0                   14           12           15           13           12           13           17           14      
211          19           30           -1              0               0                   14           11           15           13           12           13           17           14      
212          18           30           -1              0               0                   14           11           14           12           12           13           17           13      
213          18           30           -1              0               0                   14           11           14           12           12           14           17           13      
214          18           30           -1              0               0                   15           11           14           12           12           14           17           13      
215          17           30           -1              0               0                   15           11           14           11           12           14           16           13      
216          17           30           -1              0               0                   15           11           14           11           12           15           16           13      
217          17           30           -1              0               0                   16           11           14           11           12           15           16           13      
218          16           30           -1              0               0                   16           11           15           11           12           15           15           13      
219          16           30           0               -1              0                   16           11           15           11           13           15           15           13      
220          16           30           0               -1              0                   17           11           15           11           13           15           15           13      
221          16           29           0               -1              0                   17           11           16           11           13           15           14           13      
222          16           29           0               -1              0                   17           11           16           11           14           15           14           13      
223          16           29           0               -1              0                   18           11           16           11           14           15           14           13      
224          16           28           0               -1              0                   18           11           16           10           14           15           13           13      
225          16           28           0               -1              0                   18           11           16           10           15           15           13           13      
226          16           28           0               -1              0                   19           11           16           10           15           15           13           13      
227          16           27           0               -1              0                   19           11           16           9            15           15           12           13      
228          16           27           0               -1              0                   19           11           16           9            16           15           12           13      
229          16           27           1               0               0                   19           11           16           9            16           15           12           13      
230          16           27           1               0               0                   20           11           16           9            16           15           12           13      
231          16           27           1               0               0                   20           11           16           8            16           15           12           14      
232          17           27           1               0               0                   20           11           16           8            17           15           12           14      
233          17           27           1               0               0                   20           12           16           8            17           15           12           14      
234          17           27           1               0               0                   20           12           17           8            17           15           12           15      
235          18           27           1               0               0                   20           12           17           8            17           14           12           15      
236          18           27           1               0               0                   20           13           17           8            17           14           12           15      
237          18           27           1               0               0                   20           13           18           8            17           14           13           15      
238          19           27           1               0               0                   20           13           18           8            17           13           13           15      
239          19           27           1               0               0                   20           14           18           8            17           13           13           15      
240          19           27           1               0               0                   20           14           19           8            17           13           14           15      
241          20           27           1               0               0                   20           14           19           8            16           13           14           15      
242          20           27           1               0               0                   20           15           19           8            16           13           14           15      
243          20           27           1               0               0                   20           15           20           8            16           13           15           15      
244          20           27           0               -1              0                   20           15           20           8            15           13           15           15      
245          20           27           0               -1              0                   20           16           20           8            15           13           15           15      
