timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            13           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
7            12           24           -1              0               0                   13           11           17           14           16           15           16           13      
8            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
9            11           24           -1              0               0                   12           11           17           13           17           15           15           13      
10           10           24           -1              0               0                   12           11           17           13           17           15           15           13      
11           10           24           -1              0               0                   11           11           16           13           17           14           14           13      
12           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
13           9            24           -1              0               0                   10           11           15           13           17           13           13           13      
14           8            24           -1              0               0                   10           11           15           13           17           13           13           13      
15           8            24           -1              0               0                   9            11           14           12           16           13           12           13      
16           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
17           7            24           -1              0               0                   9            12           14           11           15           13           12           14      
18           6            24           -1              0               0                   9            12           14           11           15           13           12           14      
19           6            24           0               -1              0                   9            12           14           11           15           13           12           14      
20           6            24           0               -1              0                   9            13           13           11           14           13           12           15      
21           6            23           0               -1              0                   9            13           13           11           14           13           12           15      
22           6            23           0               -1              0                   9            14           12           11           13           13           13           15      
23           6            22           0               -1              0                   9            14           12           11           13           13           13           15      
24           6            22           0               -1              0                   8            14           11           11           12           13           14           15      
25           6            21           0               -1              0                   8            14           11           11           12           13           14           15      
26           6            21           1               0               0                   8            14           11           11           12           13           14           15      
27           6            21           1               0               0                   7            14           10           11           12           14           15           15      
28           7            21           1               0               0                   7            14           10           11           12           14           15           15      
29           7            21           1               0               0                   6            14           9            11           12           15           16           15      
30           8            21           1               0               0                   6            14           9            11           12           15           16           15      
31           8            21           1               0               0                   6            15           9            12           13           15           17           15      
32           9            21           1               0               0                   6            15           9            12           13           15           17           15      
33           9            21           1               0               0                   6            16           9            13           14           15           17           14      
34           10           21           1               0               0                   6            16           9            13           14           15           17           14      
35           10           21           1               0               0                   6            17           9            14           15           15           17           13      
36           11           21           1               0               0                   6            17           9            14           15           15           17           13      
37           11           21           1               0               0                   6            18           9            15           16           15           16           13      
38           12           21           1               0               0                   6            18           9            15           16           15           16           13      
39           12           21           1               0               0                   6            19           9            16           17           15           15           13      
40           13           21           1               0               0                   6            19           9            16           17           15           15           13      
41           13           21           0               1               0                   6            19           9            16           17           15           15           13      
42           13           21           0               1               0                   6            20           9            17           17           14           14           13      
43           13           22           0               1               0                   6            20           9            17           17           14           14           13      
44           13           22           0               1               0                   6            21           9            18           17           13           13           13      
45           13           23           0               1               0                   6            21           9            18           17           13           13           13      
46           13           23           0               1               0                   6            22           9            19           16           13           12           13      
47           13           24           0               1               0                   6            22           9            19           16           13           12           13      
48           13           24           -1              0               0                   6            22           9            19           16           13           12           13      
49           13           24           -1              0               0                   6            23           9            20           15           13           12           14      
50           12           24           -1              0               0                   6            23           9            20           15           13           12           14      
51           12           24           -1              0               0                   6            24           9            21           14           12           12           15      
52           11           24           -1              0               0                   6            24           9            21           14           12           12           15      
53           11           24           -1              0               0                   6            25           10           21           14           11           13           15      
54           10           24           -1              0               0                   6            25           10           21           14           11           13           15      
55           10           24           1               0               0                   6            25           10           21           14           11           13           15      
56           10           24           1               0               0                   6            26           11           21           13           11           14           15      
57           11           24           1               0               0                   6            26           11           21           13           11           14           15      
58           11           24           1               0               0                   6            27           12           21           12           11           15           15      
59           12           24           1               0               0                   6            27           12           21           12           11           15           15      
60           12           24           1               0               0                   5            27           13           21           11           11           16           15      
61           13           24           1               0               0                   5            27           13           21           11           11           16           15      
62           13           24           1               0               0                   4            27           13           22           10           11           17           15      
63           14           24           1               0               0                   4            27           13           22           10           11           17           15      
64           14           24           1               0               0                   3            27           13           23           9            11           17           14      
65           15           24           1               0               0                   3            27           13           23           9            11           17           14      
66           15           24           1               0               0                   3            26           13           24           9            12           17           13      
67           16           24           1               0               0                   3            26           13           24           9            12           17           13      
68           16           24           1               0               0                   3            25           14           24           9            13           16           13      
69           17           24           1               0               0                   3            25           14           24           9            13           16           13      
70           17           24           1               0               0                   3            24           15           24           9            14           15           13      
71           18           24           1               0               0                   3            24           15           24           9            14           15           13      
72           18           24           1               0               0                   2            24           16           24           9            15           14           12      
73           19           24           1               0               0                   2            24           16           24           9            15           14           12      
74           19           24           1               0               0                   1            24           16           23           9            16           14           11      
75           20           24           1               0               0                   1            24           16           23           9            16           14           11      
76           20           24           0               1               0                   1            24           16           23           9            16           14           11      
77           20           24           0               1               0                   1            23           16           22           9            17           15           11      
78           20           25           0               1               0                   1            23           16           22           9            17           15           11      
79           20           25           0               1               0                   1            22           16           21           9            18           16           11      
80           20           26           0               1               0                   1            22           16           21           9            18           16           11      
81           20           26           0               1               0                   1            21           17           21           10           18           17           11      
82           20           27           0               1               0                   1            21           17           21           10           18           17           11      
83           20           27           -1              0               0                   1            21           17           21           10           18           17           11      
84           20           27           -1              0               0                   2            21           18           21           11           18           18           11      
85           19           27           -1              0               0                   2            21           18           21           11           18           18           11      
86           19           27           -1              0               0                   3            21           19           21           12           18           19           11      
87           18           27           -1              0               0                   3            21           19           21           12           18           19           11      
88           18           27           -1              0               0                   4            21           20           21           13           18           20           11      
89           17           27           -1              0               0                   4            21           20           21           13           18           20           11      
90           17           27           -1              0               0                   5            21           20           20           14           18           20           12      
91           16           27           -1              0               0                   5            21           20           20           14           18           20           12      
92           16           27           0               1               0                   5            21           20           20           14           18           20           12      
93           16           27           0               1               0                   6            21           20           19           15           18           20           13      
94           16           28           0               1               0                   6            21           20           19           15           18           20           13      
95           16           28           0               1               0                   6            22           20           18           16           18           20           14      
96           16           29           0               1               0                   6            22           20           18           16           18           20           14      
97           16           29           0               1               0                   6            23           19           18           17           18           20           15      
98           16           30           0               1               0                   6            23           19           18           17           18           20           15      
99           16           30           -1              0               0                   6            23           19           18           17           18           20           15      
100          16           30           -1              0               0                   6            24           18           18           18           18           20           16      
101          15           30           -1              0               0                   6            24           18           18           18           18           20           16      
102          15           30           -1              0               0                   7            24           17           18           19           18           20           17      
103          14           30           -1              0               0                   7            24           17           18           19           18           20           17      
104          14           30           -1              0               0                   8            24           16           18           20           18           20           18      
105          13           30           -1              0               0                   8            24           16           18           20           18           20           18      
106          13           30           0               -1              0                   8            24           16           18           20           18           20           18      
107          13           30           0               -1              0                   9            24           15           18           20           19           20           19      
108          13           29           0               -1              0                   9            24           15           18           20           19           20           19      
109          13           29           0               -1              0                   10           24           14           18           20           20           20           20      
110          13           28           0               -1              0                   10           24           14           18           20           20           20           20      
111          13           28           0               1               0                   10           24           14           18           20           20           20           20      
112          13           28           0               1               0                   11           24           13           18           20           21           20           21      
113          13           29           0               1               0                   11           24           13           18           20           21           20           21      
114          13           29           0               1               0                   12           24           12           18           19           21           21           21      
115          13           30           0               1               0                   12           24           12           18           19           21           21           21      
116          13           30           -1              0               0                   12           24           12           18           19           21           21           21      
117          13           30           -1              0               0                   13           24           11           18           18           21           22           21      
118          12           30           -1              0               0                   13           24           11           18           18           21           22           21      
119          12           30           -1              0               0                   14           24           10           18           17           21           23           21      
120          11           30           -1              0               0                   14           24           10           18           17           21           23           21      
121          11           30           -1              0               0                   15           24           9            18           16           21           23           22      
122          10           30           -1              0               0                   15           24           9            18           16           21           23           22      
123          10           30           -1              0               0                   16           24           9            19           16           22           23           23      
124          9            30           -1              0               0                   16           24           9            19           16           22           23           23      
125          9            30           -1              0               0                   16           23           9            20           16           23           23           24      
126          8            30           -1              0               0                   16           23           9            20           16           23           23           24      
127          8            30           -1              0               0                   16           22           9            21           16           24           22           24      
128          7            30           -1              0               0                   16           22           9            21           16           24           22           24      
129          7            30           -1              0               0                   16           21           8            21           15           24           21           24      
130          6            30           -1              0               0                   16           21           8            21           15           24           21           24      
131          6            30           -1              0               0                   17           21           7            21           14           24           20           24      
132          5            30           -1              0               0                   17           21           7            21           14           24           20           24      
133          5            30           -1              0               0                   18           21           6            21           13           24           19           24      
134          4            30           -1              0               0                   18           21           6            21           13           24           19           24      
135          4            30           -1              0               0                   19           21           6            22           12           24           18           24      
136          3            30           -1              0               0                   19           21           6            22           12           24           18           24      
137          3            30           -1              0               0                   20           21           6            23           11           24           17           24      
138          2            30           -1              0               0                   20           21           6            23           11           24           17           24      
139          2            30           -1              0               0                   20           20           6            24           10           24           16           24      
140          1            30           -1              0               0                   20           20           6            24           10           24           16           24      
141          1            30           0               -1              0                   20           20           6            24           10           24           16           24      
142          1            30           0               -1              0                   20           19           6            25           9            24           15           24      
143          1            29           0               -1              0                   20           19           6            25           9            24           15           24      
144          1            29           0               -1              0                   20           18           6            26           8            24           14           24      
145          1            28           0               -1              0                   20           18           6            26           8            24           14           24      
146          1            28           0               -1              0                   19           18           6            27           7            24           13           24      
147          1            27           0               -1              0                   19           18           6            27           7            24           13           24      
148          1            27           0               1               0                   19           18           6            27           7            24           13           24      
149          1            27           0               1               0                   18           18           5            27           6            24           12           24      
150          1            28           0               1               0                   18           18           5            27           6            24           12           24      
151          1            28           0               1               0                   17           18           4            27           6            25           11           24      
152          1            29           0               1               0                   17           18           4            27           6            25           11           24      
153          1            29           0               1               0                   16           18           3            27           6            26           10           24      
154          1            30           0               1               0                   16           18           3            27           6            26           10           24      
155          1            30           1               0               0                   16           18           3            27           6            26           10           24      
156          1            30           1               0               0                   15           18           2            27           6            27           9            24      
157          2            30           1               0               0                   15           18           2            27           6            27           9            24      
158          2            30           1               0               0                   14           18           1            27           5            27           9            25      
159          3            30           1               0               0                   14           18           1            27           5            27           9            25      
160          3            30           1               0               0                   13           18           1            28           4            27           9            26      
161          4            30           1               0               0                   13           18           1            28           4            27           9            26      
162          4            30           1               0               0                   12           18           1            29           3            27           9            27      
163          5            30           1               0               0                   12           18           1            29           3            27           9            27      
164          5            30           1               0               0                   11           18           1            30           3            26           10           27      
165          6            30           1               0               0                   11           18           1            30           3            26           10           27      
166          6            30           1               0               0                   10           18           2            30           3            25           11           27      
167          7            30           1               0               0                   10           18           2            30           3            25           11           27      
168          7            30           1               0               0                   9            18           3            30           3            24           12           27      
169          8            30           1               0               0                   9            18           3            30           3            24           12           27      
170          8            30           1               0               0                   9            19           4            30           2            24           13           27      
171          9            30           1               0               0                   9            19           4            30           2            24           13           27      
172          9            30           -1              0               0                   9            19           4            30           2            24           13           27      
173          9            30           -1              0               0                   9            20           5            30           1            24           13           28      
174          8            30           -1              0               0                   9            20           5            30           1            24           13           28      
175          8            30           -1              0               0                   9            21           6            30           1            23           13           29      
