timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            13           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
7            12           24           -1              0               0                   13           11           17           14           16           15           17           13      
8            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
9            11           24           -1              0               0                   12           11           17           13           17           15           16           13      
10           10           24           -1              0               0                   12           11           17           13           17           15           15           13      
11           10           24           -1              0               0                   11           11           16           13           17           14           15           13      
12           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
13           9            24           -1              0               0                   10           11           15           13           17           13           14           13      
14           8            24           -1              0               0                   10           11           15           13           17           13           13           13      
15           8            24           -1              0               0                   9            11           14           12           16           13           13           13      
16           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
17           7            24           -1              0               0                   9            12           14           11           15           13           12           13      
18           6            24           -1              0               0                   9            12           14           11           15           13           12           14      
19           6            24           0               -1              0                   9            12           14           11           15           13           12           14      
20           6            24           0               -1              0                   9            13           13           11           14           13           12           14      
21           6            23           0               -1              0                   9            13           13           11           14           13           12           15      
22           6            23           0               -1              0                   9            14           12           11           13           13           12           15      
23           6            22           0               -1              0                   9            14           12           11           13           13           13           15      
24           6            22           0               -1              0                   9            15           11           11           12           13           13           15      
25           6            21           0               -1              0                   9            15           11           11           12           13           13           15      
26           6            21           0               -1              0                   9            15           11           11           12           13           14           15      
27           6            21           0               -1              0                   9            16           10           11           12           14           14           15      
28           6            20           0               -1              0                   9            16           10           11           12           14           14           15      
29           6            20           0               -1              0                   9            16           10           11           12           14           15           15      
30           6            19           0               -1              0                   9            17           9            11           12           15           15           15      
31           6            19           0               -1              0                   9            17           9            11           12           15           16           15      
32           6            18           0               -1              0                   9            18           9            12           13           15           16           15      
33           6            18           0               -1              0                   9            18           9            12           13           15           17           15      
34           6            17           0               -1              0                   10           18           9            13           14           15           17           15      
35           6            17           0               -1              0                   10           18           9            13           14           15           17           14      
36           6            16           0               -1              0                   11           18           9            14           15           15           17           14      
37           6            16           0               -1              0                   11           18           9            14           15           15           17           13      
38           6            15           0               -1              0                   12           18           9            15           16           15           17           13      
39           6            15           0               -1              0                   12           18           9            15           16           15           16           13      
40           6            14           0               -1              0                   13           18           9            16           17           15           16           13      
41           6            14           -1              0               0                   13           18           9            16           17           15           15           13      
42           5            14           -1              0               0                   14           18           9            17           17           14           15           13      
43           5            14           -1              0               0                   14           18           9            17           17           14           14           13      
44           4            14           -1              0               0                   15           18           9            18           17           13           14           13      
45           4            14           -1              0               0                   15           18           9            18           17           13           13           13      
46           3            14           -1              0               0                   16           18           10           18           16           13           13           13      
47           3            14           -1              0               0                   16           18           10           18           16           13           12           13      
48           2            14           -1              0               0                   17           18           11           18           15           13           12           13      
49           2            14           -1              0               0                   17           18           11           18           15           13           12           14      
50           1            14           -1              0               0                   18           18           12           18           14           12           12           14      
51           1            14           -1              0               0                   18           18           12           18           14           12           12           15      
52           0            14           -1              0               0                   19           18           13           18           14           11           12           15      
53           0            14           -1              0               0                   19           18           13           18           14           11           13           15      
54           0            14           -1              0               0                   20           18           14           18           13           11           13           15      
55           29           14           -1              0               0                   20           18           14           18           13           11           14           15      
56           29           14           -1              0               0                   20           17           15           18           12           11           14           15      
57           28           14           -1              0               0                   20           17           15           18           12           11           15           15      
58           28           14           -1              0               0                   20           16           16           18           11           11           15           15      
59           27           14           -1              0               0                   20           16           16           18           11           11           16           15      
60           27           14           -1              0               0                   20           15           17           18           10           11           16           15      
61           26           14           -1              0               0                   20           15           17           18           10           11           16           15      
62           26           14           -1              0               0                   20           15           17           18           10           11           17           15      
63           26           14           -1              0               0                   20           14           18           18           9            11           17           15      
64           25           14           -1              0               0                   20           14           18           18           9            11           17           15      
65           25           14           -1              0               0                   20           14           18           18           9            11           17           14      
66           25           14           -1              0               0                   21           14           19           18           9            12           17           14      
67           24           14           -1              0               0                   21           14           19           18           9            12           17           14      
68           24           14           1               0               0                   21           14           19           18           9            12           17           13      
69           24           14           1               0               0                   22           14           20           18           9            13           17           13      
70           25           14           1               0               0                   22           14           20           18           9            13           17           13      
71           25           14           1               0               0                   22           14           20           18           9            13           16           13      
72           25           14           1               0               0                   23           14           20           17           9            14           16           13      
73           26           14           1               0               0                   23           14           20           17           9            14           16           13      
74           26           14           1               0               0                   23           14           20           17           9            14           15           13      
75           26           14           1               0               0                   24           14           20           16           8            14           15           13      
76           27           14           1               0               0                   24           14           20           16           8            14           15           13      
77           27           14           1               0               0                   24           14           20           16           8            14           14           12      
78           27           14           1               0               0                   25           14           20           15           7            14           14           12      
79           28           14           1               0               0                   25           14           20           15           7            14           14           12      
80           28           14           1               0               0                   25           14           20           15           7            14           14           11      
81           28           14           1               0               0                   26           14           20           14           6            14           14           11      
82           29           14           1               0               0                   26           14           20           14           6            14           14           11      
83           29           14           1               0               0                   26           14           20           14           6            14           15           11      
84           29           14           1               0               0                   27           14           21           14           6            13           15           11      
85           0            14           1               0               0                   27           14           21           14           6            13           15           11      
86           0            14           1               0               0                   27           14           21           14           6            13           16           11      
87           0            14           1               0               0                   28           14           22           14           6            12           16           11      
88           1            14           1               0               0                   28           14           22           14           6            12           16           11      
89           1            14           1               0               0                   28           14           22           14           6            12           17           11      
90           1            14           1               0               0                   29           14           23           14           6            11           17           11      
91           2            14           1               0               0                   29           14           23           14           6            11           17           11      
92           2            14           1               0               0                   29           14           23           14           6            11           18           11      
93           2            14           1               0               0                   0            14           23           13           6            10           18           11      
94           3            14           1               0               0                   0            14           23           13           6            10           18           11      
95           3            14           1               0               0                   0            14           23           13           6            10           19           11      
96           3            14           1               0               0                   1            14           23           12           6            9            19           11      
97           4            14           1               0               0                   1            14           23           12           6            9            19           11      
98           4            14           1               0               0                   1            14           23           12           6            9            20           11      
99           4            14           1               0               0                   2            14           23           11           6            8            20           11      
100          5            14           1               0               0                   2            14           23           11           6            8            20           11      
101          5            14           1               0               0                   2            14           23           11           6            8            20           12      
102          5            14           1               0               0                   3            14           23           10           5            8            20           12      
103          6            14           1               0               0                   3            14           23           10           5            8            20           12      
104          6            14           0               -1              0                   3            14           23           10           5            8            20           13      
105          6            14           0               -1              0                   4            14           23           9            4            8            20           13      
106          6            13           0               -1              0                   4            14           23           9            4            8            20           13      
107          6            13           0               -1              0                   4            14           23           9            4            8            20           14      
108          6            13           0               -1              0                   5            14           23           8            3            8            20           14      
109          6            12           0               -1              0                   5            14           23           8            3            8            20           14      
110          6            12           0               -1              0                   5            14           23           8            3            8            21           14      
111          6            12           0               -1              0                   6            14           24           8            2            8            21           14      
112          6            11           0               -1              0                   6            14           24           8            2            8            21           14      
113          6            11           0               -1              0                   6            14           24           8            2            8            22           14      
114          6            11           0               -1              0                   6            13           25           8            1            8            22           14      
115          6            10           0               -1              0                   6            13           25           8            1            8            22           14      
116          6            10           0               -1              0                   6            13           25           8            1            8            23           14      
117          6            10           0               -1              0                   6            12           26           8            1            7            23           14      
118          6            9            0               -1              0                   6            12           26           8            1            7            23           14      
119          6            9            0               -1              0                   6            12           26           8            1            7            23           13      
120          6            9            0               -1              0                   6            11           27           8            1            6            23           13      
121          6            8            0               -1              0                   6            11           27           8            1            6            23           13      
122          6            8            0               -1              0                   6            11           27           8            1            6            23           12      
123          6            8            0               -1              0                   6            10           28           8            1            5            23           12      
124          6            7            0               -1              0                   6            10           28           8            1            5            23           12      
125          6            7            0               -1              0                   6            10           28           8            1            5            23           11      
126          6            7            0               -1              0                   6            9            28           7            2            5            23           11      
127          6            6            0               -1              0                   6            9            28           7            2            5            23           11      
128          6            6            0               -1              0                   6            9            28           7            2            5            23           10      
129          6            6            0               -1              0                   6            8            28           6            3            5            23           10      
130          6            5            0               -1              0                   6            8            28           6            3            5            23           10      
131          6            5            0               -1              0                   6            8            28           6            3            5            23           9       
132          6            5            0               -1              0                   6            7            28           5            4            5            23           9       
133          6            4            0               -1              0                   6            7            28           5            4            5            23           9       
134          6            4            0               -1              0                   6            7            28           5            4            5            23           8       
135          6            4            0               -1              0                   6            6            27           5            5            5            23           8       
136          6            3            0               -1              0                   6            6            27           5            5            5            23           8       
137          6            3            0               -1              0                   6            6            27           5            5            5            23           7       
138          6            3            0               -1              0                   6            5            26           5            6            5            23           7       
139          6            2            0               -1              0                   6            5            26           5            6            5            23           7       
140          6            2            0               -1              0                   6            5            26           5            6            5            23           6       
141          6            2            0               -1              0                   6            4            25           5            6            4            23           6       
142          6            1            0               -1              0                   6            4            25           5            6            4            23           5       
143          6            1            -1              0               0                   6            4            25           5            6            4            23           5       
144          6            1            -1              0               0                   6            3            24           5            6            3            23           5       
145          5            1            -1              0               0                   6            3            24           5            6            3            23           4       
146          5            1            -1              0               0                   6            2            23           5            6            2            23           4       
147          4            1            -1              0               0                   6            2            23           5            6            2            23           3       
148          4            1            -1              0               0                   6            1            23           4            6            1            23           3       
149          3            1            -1              0               0                   6            1            23           4            6            1            23           2       
150          3            1            -1              0               0                   5            1            23           3            5            1            23           2       
151          2            1            -1              0               0                   5            1            23           3            5            1            23           1       
152          2            1            -1              0               0                   4            1            23           2            4            1            23           1       
153          1            1            -1              0               0                   4            1            23           2            4            1            22           1       
154          1            1            0               1               0                   4            1            23           2            4            1            22           1       
155          1            1            0               1               0                   3            1            23           1            3            1            22           1       
156          1            2            0               1               0                   3            1            23           1            3            1            21           1       
157          1            2            0               1               0                   2            1            22           1            2            1            21           1       
158          1            3            0               1               1                   2            1            22           1            2            1            21           1       
159          1            3            0               1               1                   2            1            22           1            2            1            20           1       
160          1            4            0               1               1                   2            1            22           1            2            1            20           1       
161          1            5            0               1               1                   1            1            21           1            1            1            20           1       
162          1            5            1               0               1                   1            1            21           1            1            1            20           1       
163          2            5            1               0               1                   1            1            21           1            1            1            20           1       
164          2            5            1               0               1                   1            1            21           1            1            1            19           1       
165          3            5            1               0               1                   1            1            21           1            1            1            19           1       
166          3            5            1               0               1                   1            2            20           1            1            2            19           1       
167          4            5            1               0               1                   1            2            20           1            1            2            19           1       
168          5            5            1               0               1                   1            2            20           1            1            2            19           1       
169          5            5            -1              0               1                   1            2            20           1            1            2            18           1       
170          4            5            -1              0               1                   1            2            20           1            1            2            18           1       
171          4            5            -1              0               1                   1            3            19           1            1            3            18           1       
172          3            5            -1              0               1                   1            3            19           1            1            3            18           1       
173          2            5            -1              0               1                   1            3            19           1            1            3            17           1       
174          1            5            -1              0               1                   15           14           19           1            12           15           17           1       
175          1            5            -1              0               1                   15           14           18           1            12           15           17           1       
176          1            5            0               1               1                   15           14           18           1            12           15           17           1       
177          1            5            0               1               1                   15           13           18           1            13           15           17           1       
178          1            6            0               1               1                   15           13           18           1            13           15           17           1       
179          1            6            0               1               1                   14           13           18           1            14           15           16           1       
180          1            7            0               1               1                   14           13           18           1            14           15           16           1       
181          1            7            0               1               1                   13           13           18           1            15           15           16           1       
182          1            7            0               1               1                   13           13           17           1            15           15           16           1       
183          1            8            0               1               1                   13           13           17           1            15           15           16           1       
184          1            8            1               0               1                   13           13           17           1            15           15           16           1       
185          1            8            1               0               1                   13           13           17           1            16           15           16           1       
186          1            8            1               0               1                   12           13           17           1            16           15           16           1       
187          2            8            1               0               1                   12           13           17           1            16           15           16           1       
188          2            8            1               0               1                   12           13           17           1            16           15           16           2       
189          2            8            1               0               1                   12           13           17           1            17           15           16           2       
190          2            8            1               0               1                   12           14           17           1            17           15           16           2       
191          3            8            1               0               1                   12           14           17           1            17           15           16           2       
192          3            8            1               0               1                   12           14           17           1            17           14           16           2       
193          3            8            1               0               1                   12           15           16           1            17           14           16           2       
194          4            8            1               0               1                   12           15           16           1            17           14           16           2       
195          4            8            1               0               1                   12           15           16           1            17           13           16           2       
196          4            8            1               0               1                   13           15           16           1            17           13           16           2       
197          5            8            1               0               1                   13           15           16           1            17           13           16           3       
198          5            8            1               0               1                   13           15           16           1            16           13           16           3       
199          5            8            1               0               1                   14           15           16           1            16           13           16           3       
200          6            8            1               0               1                   14           15           16           1            16           13           16           3       
201          6            8            0               -1              1                   14           15           16           1            16           13           16           3       
202          6            8            0               -1              1                   14           15           16           2            16           13           16           3       
203          6            8            0               -1              1                   15           15           16           2            15           13           16           3       
204          6            7            0               -1              1                   15           15           16           2            15           13           16           3       
205          6            7            0               -1              1                   16           15           16           2            14           13           16           3       
206          6            6            0               -1              1                   16           15           16           2            14           13           16           4       
207          6            5            0               -1              1                   17           15           16           2            13           13           16           4       
208          6            5            1               0               1                   17           15           16           3            13           13           16           4       
209          6            5            1               0               1                   17           14           16           3            12           13           16           4       
210          7            5            1               0               1                   17           14           16           3            12           13           16           4       
211          7            5            1               0               1                   17           13           16           3            12           14           16           5       
212          8            5            1               0               1                   17           13           16           3            12           14           16           5       
213          8            5            1               0               1                   16           13           16           3            12           15           16           5       
214          9            5            1               0               1                   16           13           16           3            12           15           16           5       
215          9            5            1               0               1                   16           13           16           4            12           15           16           5       
216          9            5            1               0               1                   15           13           16           4            13           15           16           5       
217          10           5            1               0               1                   15           13           16           4            13           15           16           5       
218          10           5            1               0               1                   15           13           16           4            13           15           17           5       
219          10           5            1               0               1                   14           12           16           4            14           15           17           5       
220          11           5            1               0               1                   14           12           16           4            14           15           17           5       
221          11           5            1               0               1                   14           11           16           4            15           15           17           5       
222          12           5            1               0               1                   14           11           16           5            15           15           17           5       
223          12           5            1               0               1                   13           11           16           5            16           15           17           5       
224          13           5            1               0               1                   13           11           16           5            16           15           17           5       
225          13           5            1               0               1                   13           11           16           5            16           15           18           5       
226          13           5            1               0               1                   13           10           16           5            17           15           18           5       
227          14           5            1               0               1                   13           10           16           5            17           15           18           5       
228          14           5            1               0               1                   13           9            16           5            17           14           18           5       
229          15           5            1               0               1                   13           9            17           5            17           14           18           5       
230          15           5            1               0               1                   13           8            14           15           17           13           18           5       
231          16           5            1               0               1                   13           8            14           15           17           13           18           5       
232          16           5            1               0               1                   13           8            14           15           17           13           19           5       
233          16           5            1               0               1                   12           8            15           15           16           13           19           5       
234          17           5            1               0               1                   12           8            15           15           16           13           19           5       
235          17           5            1               0               1                   11           8            16           15           15           13           19           5       
236          18           5            1               0               1                   11           8            16           15           15           13           19           5       
237          18           5            1               0               0                   11           8            16           15           15           13           16           15      
238          18           5            1               0               0                   10           8            17           15           14           13           16           15      
239          19           5            1               0               0                   10           8            17           15           14           13           16           15      
240          19           5            1               0               0                   10           8            17           15           14           13           17           15      
241          20           5            1               0               0                   9            8            17           14           13           13           17           15      
242          20           5            0               1               0                   9            8            17           14           13           13           17           14      
243          20           5            0               1               0                   9            7            17           13           12           13           17           14      
244          20           6            0               1               0                   9            7            17           13           12           13           17           14      
