timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            13           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
7            12           24           -1              0               0                   13           11           17           14           16           15           16           13      
8            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
9            11           24           -1              0               0                   12           11           17           13           17           15           15           13      
10           10           24           -1              0               0                   12           11           17           13           17           15           15           13      
11           10           24           -1              0               0                   11           11           16           13           17           14           14           13      
12           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
13           9            24           0               1               0                   11           11           16           13           17           14           14           13      
14           9            24           0               1               0                   10           11           15           13           17           13           13           13      
15           9            25           0               1               0                   10           11           15           13           17           13           13           13      
16           9            25           0               1               0                   9            11           14           12           16           13           12           13      
17           9            26           0               1               0                   9            11           14           12           16           13           12           13      
18           9            26           0               1               0                   9            12           14           11           15           13           12           14      
19           9            27           0               1               0                   9            12           14           11           15           13           12           14      
20           9            27           1               0               0                   9            12           14           11           15           13           12           14      
21           9            27           1               0               0                   9            13           13           11           14           13           12           15      
22           10           27           1               0               0                   9            13           13           11           14           13           12           15      
23           10           27           1               0               0                   9            14           12           11           13           13           13           15      
24           11           27           1               0               0                   9            14           12           11           13           13           13           15      
25           11           27           1               0               0                   9            15           11           11           12           13           14           15      
26           12           27           1               0               0                   9            15           11           11           12           13           14           15      
27           12           27           1               0               0                   9            16           10           11           12           14           15           15      
28           13           27           1               0               0                   9            16           10           11           12           14           15           15      
29           13           27           0               1               0                   9            16           10           11           12           14           15           15      
30           13           27           0               1               0                   9            17           9            11           12           15           16           15      
31           13           28           0               1               0                   9            17           9            11           12           15           16           15      
32           13           28           0               1               0                   9            18           9            12           13           15           17           15      
33           13           29           0               1               0                   9            18           9            12           13           15           17           15      
34           13           29           0               1               0                   10           18           9            13           14           15           17           14      
35           13           30           0               1               0                   10           18           9            13           14           15           17           14      
36           13           30           -1              0               0                   10           18           9            13           14           15           17           14      
37           13           30           -1              0               0                   11           18           9            14           15           15           17           13      
38           12           30           -1              0               0                   11           18           9            14           15           15           17           13      
39           12           30           -1              0               0                   12           18           9            15           16           15           16           13      
40           11           30           -1              0               0                   12           18           9            15           16           15           16           13      
41           11           30           -1              0               0                   13           18           9            16           17           15           15           13      
42           10           30           -1              0               0                   13           18           9            16           17           15           15           13      
43           10           30           -1              0               0                   14           18           9            17           17           14           14           13      
44           9            30           -1              0               0                   14           18           9            17           17           14           14           13      
45           9            30           -1              0               0                   15           18           9            18           17           13           13           13      
46           8            30           -1              0               0                   15           18           9            18           17           13           13           13      
47           8            30           -1              0               0                   16           18           9            19           16           13           12           13      
48           7            30           -1              0               0                   16           18           9            19           16           13           12           13      
49           7            30           -1              0               0                   17           18           9            20           15           13           12           14      
50           6            30           -1              0               0                   17           18           9            20           15           13           12           14      
51           6            30           -1              0               0                   18           18           9            21           14           12           12           15      
52           5            30           -1              0               0                   18           18           9            21           14           12           12           15      
53           5            30           -1              0               0                   19           18           8            21           14           11           13           15      
54           4            30           -1              0               0                   19           18           8            21           14           11           13           15      
55           4            30           -1              0               0                   20           18           7            21           13           11           14           15      
56           3            30           -1              0               0                   20           18           7            21           13           11           14           15      
57           3            30           -1              0               0                   20           19           6            21           12           11           15           15      
58           2            30           -1              0               0                   20           19           6            21           12           11           15           15      
59           2            30           -1              0               0                   20           20           5            21           11           11           16           15      
60           1            30           -1              0               0                   20           20           5            21           11           11           16           15      
61           1            30           0               -1              0                   20           20           5            21           11           11           16           15      
62           1            30           0               -1              0                   20           21           4            21           10           11           17           15      
63           1            29           0               -1              0                   20           21           4            21           10           11           17           15      
64           1            29           0               -1              0                   19           21           3            21           9            11           17           14      
65           1            28           0               -1              0                   19           21           3            21           9            11           17           14      
66           1            28           0               -1              0                   18           21           2            21           9            12           17           13      
67           1            27           0               -1              0                   18           21           2            21           9            12           17           13      
68           1            27           1               0               0                   18           21           2            21           9            12           17           13      
69           1            27           1               0               0                   17           21           1            21           9            13           16           13      
70           2            27           1               0               0                   17           21           1            21           9            13           16           13      
71           2            27           1               0               0                   16           21           1            22           9            14           15           13      
72           3            27           1               0               0                   16           21           1            22           9            14           15           13      
73           3            27           0               -1              0                   16           21           1            22           9            14           15           13      
74           3            27           0               -1              0                   16           22           1            23           9            15           14           12      
75           3            26           0               -1              0                   16           22           1            23           9            15           14           12      
76           3            26           0               -1              0                   16           23           1            24           9            16           14           11      
77           3            25           0               -1              0                   16           23           1            24           9            16           14           11      
