timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            13           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
7            12           24           -1              0               0                   13           11           17           14           16           15           16           13      
8            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
9            11           24           -1              0               0                   12           11           17           13           17           15           15           13      
10           10           24           -1              0               0                   12           11           17           13           17           15           15           13      
11           10           24           -1              0               0                   11           11           16           13           17           14           14           13      
12           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
13           9            24           -1              0               0                   10           11           15           13           17           13           13           13      
14           8            24           -1              0               0                   10           11           15           13           17           13           13           13      
15           8            24           -1              0               0                   9            11           14           12           16           13           12           13      
16           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
17           7            24           -1              0               0                   9            12           14           11           15           13           12           14      
18           6            24           -1              0               0                   9            12           14           11           15           13           12           14      
19           6            24           0               -1              0                   9            12           14           11           15           13           12           14      
20           6            24           0               -1              0                   9            13           13           11           14           13           12           15      
21           6            23           0               -1              0                   9            13           13           11           14           13           12           15      
22           6            23           0               -1              0                   9            14           12           11           13           13           13           15      
23           6            22           0               -1              0                   9            14           12           11           13           13           13           15      
24           6            22           0               -1              0                   9            15           11           11           12           13           14           15      
25           6            21           0               -1              0                   9            15           11           11           12           13           14           15      
26           6            21           0               -1              0                   9            16           10           11           12           14           15           15      
27           6            20           0               -1              0                   9            16           10           11           12           14           15           15      
28           6            20           0               -1              0                   9            17           9            11           12           15           16           15      
29           6            19           0               -1              0                   9            17           9            11           12           15           16           15      
30           6            19           0               -1              0                   9            18           9            12           13           15           17           15      
31           6            18           0               -1              0                   9            18           9            12           13           15           17           15      
32           6            18           0               1               0                   9            18           9            12           13           15           17           15      
33           6            18           0               1               0                   9            19           9            13           14           15           17           14      
34           6            19           0               1               0                   9            19           9            13           14           15           17           14      
35           6            19           0               1               0                   9            20           9            14           15           15           17           13      
36           6            20           0               1               0                   9            20           9            14           15           15           17           13      
37           6            20           0               1               0                   9            21           8            14           16           15           16           13      
38           6            21           0               1               0                   9            21           8            14           16           15           16           13      
39           6            21           -1              0               0                   9            21           8            14           16           15           16           13      
40           6            21           -1              0               0                   8            21           7            14           17           15           15           13      
41           5            21           -1              0               0                   8            21           7            14           17           15           15           13      
42           5            21           -1              0               0                   7            21           6            14           17           14           14           13      
43           4            21           -1              0               0                   7            21           6            14           17           14           14           13      
44           4            21           -1              0               0                   6            21           6            15           17           13           13           13      
45           3            21           -1              0               0                   6            21           6            15           17           13           13           13      
46           3            21           -1              0               0                   5            21           6            16           16           13           12           13      
47           2            21           -1              0               0                   5            21           6            16           16           13           12           13      
48           2            21           -1              0               0                   4            21           6            17           15           13           12           14      
49           1            21           -1              0               0                   4            21           6            17           15           13           12           14      
50           1            21           0               1               0                   4            21           6            17           15           13           12           14      
51           1            21           0               1               0                   3            21           6            18           14           12           12           15      
52           1            22           0               1               0                   3            21           6            18           14           12           12           15      
53           1            22           0               1               0                   2            21           6            19           14           11           13           15      
54           1            23           0               1               0                   2            21           6            19           14           11           13           15      
55           1            23           0               1               0                   1            21           6            20           13           11           14           15      
56           1            24           0               1               1                   1            21           6            20           13           11           14           15      
57           1            24           0               -1              1                   1            21           6            20           13           11           14           15      
58           1            23           0               -1              1                   1            21           6            20           13           11           14           15      
59           1            23           0               -1              1                   15           14           6            20           13           11           14           15      
60           1            22           0               -1              1                   15           14           6            20           13           11           14           15      
61           1            22           0               -1              1                   15           13           6            20           13           11           14           15      
62           1            21           0               -1              1                   15           13           6            21           12           11           15           15      
63           1            21           1               0               1                   15           13           6            21           12           11           15           15      
64           1            21           1               0               1                   14           13           6            21           12           11           15           15      
65           2            21           1               0               1                   14           13           6            21           12           11           15           15      
66           2            21           1               0               1                   13           13           6            21           12           11           15           15      
67           3            21           1               0               1                   13           13           6            21           12           11           15           15      
68           3            21           1               0               1                   12           13           6            21           12           11           15           15      
69           4            21           1               0               1                   12           13           6            21           12           11           15           15      
70           4            21           1               0               1                   12           14           7            21           11           11           16           15      
71           5            21           1               0               1                   12           14           7            21           11           11           16           15      
72           5            21           1               0               1                   12           15           7            21           11           11           16           15      
73           6            21           1               0               1                   12           15           7            21           11           11           16           15      
74           6            21           1               0               1                   12           15           14           15           11           11           16           15      
75           6            21           1               0               1                   13           15           14           15           11           11           16           15      
76           7            21           1               0               1                   13           15           14           15           11           11           16           15      
77           7            21           1               0               1                   13           15           15           15           10           11           17           15      
78           7            21           1               0               1                   14           15           15           15           10           11           17           15      
79           8            21           1               0               1                   14           15           15           15           10           11           17           15      
80           8            21           1               0               1                   14           15           16           15           10           11           17           15      
81           8            21           1               0               1                   15           15           16           15           10           11           17           15      
82           9            21           1               0               1                   15           15           16           15           10           11           17           15      
83           9            21           1               0               1                   15           15           17           15           10           11           17           15      
84           9            21           1               0               1                   16           15           17           15           10           11           17           15      
85           10           21           1               0               1                   16           15           17           15           10           11           17           15      
86           10           21           1               0               1                   17           15           17           14           10           11           17           15      
87           10           21           1               0               1                   17           15           17           14           9            11           17           14      
88           11           21           1               0               1                   17           15           17           14           9            11           17           14      
89           11           21           1               0               1                   17           14           17           13           9            11           17           14      
90           12           21           1               0               1                   17           14           17           13           9            11           17           14      
91           12           21           1               0               1                   17           13           16           13           9            11           17           14      
92           13           21           1               0               1                   17           13           16           13           9            11           17           14      
93           13           21           0               1               1                   17           13           16           13           9            11           17           14      
94           13           21           0               1               1                   16           13           16           13           9            11           17           14      
95           13           21           0               1               1                   16           13           15           13           9            12           17           13      
96           13           22           0               1               1                   16           13           15           13           9            12           17           13      
97           13           22           0               1               1                   15           13           15           13           9            12           17           13      
98           13           22           0               1               1                   15           13           14           13           9            12           17           13      
99           13           23           0               1               1                   15           13           14           13           9            12           17           13      
100          13           23           0               1               1                   14           12           14           13           9            12           17           13      
101          13           23           0               1               1                   14           12           13           13           9            12           17           13      
102          13           24           0               1               1                   14           12           13           13           9            12           17           13      
103          13           24           1               0               1                   14           11           13           13           9            13           16           13      
104          13           24           1               0               1                   14           11           12           13           9            13           16           13      
105          14           24           1               0               1                   14           11           12           13           9            13           16           13      
106          14           24           1               0               1                   13           11           12           13           9            13           16           13      
107          14           24           1               0               1                   13           11           12           14           9            13           16           13      
108          15           24           1               0               1                   13           11           12           14           9            13           16           13      
109          15           24           1               0               1                   13           10           12           14           9            13           16           13      
110          15           24           1               0               1                   13           10           12           15           9            13           16           13      
111          16           24           1               0               1                   13           10           12           15           9            13           16           13      
112          16           24           0               -1              1                   13           9            12           15           9            13           16           13      
113          16           24           0               -1              1                   13           9            13           15           9            13           16           13      
114          16           23           0               -1              1                   13           9            13           15           9            13           16           13      
115          16           23           0               -1              1                   13           8            13           15           9            13           16           13      
116          16           23           0               -1              1                   13           8            13           15           9            14           15           13      
117          16           23           0               -1              1                   13           8            14           15           9            14           15           13      
118          16           22           0               -1              1                   13           8            14           15           9            14           15           13      
119          16           22           0               -1              1                   12           8            14           15           9            14           15           13      
120          16           22           0               -1              1                   12           8            15           15           9            14           15           13      
121          16           21           0               -1              1                   12           8            15           15           9            14           15           13      
122          16           21           1               0               1                   11           8            15           15           9            14           15           13      
123          16           21           1               0               1                   11           8            16           15           9            14           15           13      
124          17           21           1               0               1                   11           8            16           15           9            14           15           13      
125          17           21           1               0               1                   10           8            16           15           9            14           15           13      
126          17           21           1               0               1                   10           8            17           15           9            14           15           13      
127          18           21           1               0               1                   10           8            17           15           9            14           15           13      
128          18           21           1               0               1                   9            8            17           15           9            15           14           12      
129          18           21           1               0               1                   9            8            17           14           9            15           14           12      
130          19           21           1               0               1                   9            8            17           14           9            15           14           12      
131          19           21           1               0               1                   9            7            17           14           9            15           14           12      
132          19           21           1               0               1                   9            7            17           13           9            15           14           12      
133          20           21           1               0               1                   9            7            17           13           9            15           14           12      
134          20           21           1               0               1                   9            6            17           13           9            15           14           12      
135          20           21           1               0               1                   9            6            16           13           9            15           14           12      
136          21           21           1               0               1                   9            6            16           13           9            16           14           11      
137          21           21           1               0               1                   9            5            16           13           9            16           14           11      
138          22           21           1               0               1                   9            5            15           13           9            16           14           11      
139          22           21           1               0               1                   10           5            15           13           9            16           14           11      
140          22           21           1               0               1                   10           5            14           12           9            16           14           11      
141          23           21           1               0               1                   10           5            14           12           9            16           14           11      
142          23           21           0               -1              1                   10           5            14           12           9            16           14           11      
143          23           21           0               -1              1                   11           5            14           12           9            16           14           11      
144          23           21           0               -1              1                   11           5            14           11           9            16           14           11      
145          23           20           0               -1              1                   11           5            14           11           9            17           13           11      
146          23           20           0               -1              1                   12           5            14           11           9            17           13           11      
147          23           20           0               -1              1                   12           5            15           11           9            17           13           11      
148          23           19           0               -1              1                   12           5            15           11           9            17           13           11      
149          23           19           0               -1              1                   13           5            15           11           9            17           13           11      
150          23           19           0               -1              1                   13           5            16           11           9            17           13           11      
151          23           18           0               -1              1                   13           5            16           11           9            17           13           11      
152          23           18           0               -1              1                   14           5            16           11           9            17           13           11      
153          23           18           0               -1              1                   14           5            17           11           9            17           13           11      
154          23           17           0               -1              1                   14           5            17           11           9            17           13           11      
155          23           17           0               -1              1                   15           5            17           11           9            18           13           10      
156          23           17           0               -1              1                   15           5            18           11           9            18           13           10      
157          23           16           0               -1              1                   15           5            18           11           9            18           13           10      
158          23           16           0               -1              1                   16           5            18           11           9            18           13           10      
159          23           16           0               -1              1                   16           5            19           11           9            18           13           10      
160          23           15           0               -1              1                   16           5            19           11           9            18           13           10      
161          23           15           0               -1              1                   17           5            19           11           9            18           13           10      
162          23           15           0               -1              1                   17           5            20           11           9            18           13           10      
163          23           14           0               -1              1                   17           5            20           11           9            18           13           10      
164          23           14           1               0               1                   17           5            20           11           9            18           13           10      
165          23           14           1               0               1                   18           5            20           11           9            19           13           9       
166          23           14           1               0               1                   18           5            20           12           9            19           13           9       
167          24           14           1               0               1                   18           5            20           12           9            19           13           9       
168          24           14           1               0               1                   19           5            20           12           9            19           13           9       
169          24           14           1               0               1                   19           5            20           13           9            19           13           9       
170          25           14           1               0               1                   19           5            20           13           9            19           13           9       
171          25           14           1               0               1                   20           5            20           13           9            19           13           9       
172          25           14           1               0               1                   20           5            20           14           9            19           13           9       
173          26           14           1               0               1                   20           5            20           14           9            19           13           9       
174          26           14           1               0               1                   20           6            20           14           9            19           13           9       
175          26           14           1               0               1                   20           6            21           14           9            19           13           9       
176          27           14           1               0               1                   20           6            21           14           9            20           13           8       
177          27           14           1               0               1                   20           7            21           14           9            20           13           8       
178          27           14           1               0               1                   20           7            22           14           9            20           13           8       
179          28           14           1               0               1                   20           7            22           14           9            20           13           8       
180          28           14           1               0               1                   20           8            22           14           9            20           13           8       
181          28           14           1               0               1                   20           8            23           14           9            20           13           8       
182          29           14           1               0               1                   20           8            23           14           9            20           13           8       
183          29           14           1               0               1                   19           8            23           14           9            20           13           8       
184          29           14           1               0               1                   19           8            24           14           9            21           12           8       
185          0            14           1               0               1                   19           8            24           14           9            21           12           8       
186          0            14           1               0               1                   18           8            24           14           9            21           12           8       
187          0            14           1               0               1                   18           8            25           14           9            21           12           8       
188          1            14           1               0               1                   18           8            25           14           9            21           12           8       
189          1            14           1               0               1                   17           8            25           14           9            21           12           8       
190          1            14           1               0               1                   17           8            26           14           9            21           12           8       
191          2            14           1               0               1                   17           8            26           14           9            21           12           8       
192          2            14           1               0               1                   16           8            26           14           8            21           11           8       
193          2            14           1               0               1                   16           8            27           14           8            21           11           8       
194          3            14           1               0               1                   16           8            27           14           8            21           11           8       
195          3            14           1               0               1                   16           9            27           14           8            21           11           8       
196          3            14           1               0               1                   16           9            28           14           8            21           11           8       
197          4            14           1               0               1                   16           9            28           14           8            21           11           8       
198          4            14           1               0               1                   16           10           28           14           8            21           11           8       
199          4            14           1               0               1                   16           10           29           14           8            21           11           8       
200          5            14           1               0               1                   16           10           29           14           8            21           11           8       
201          5            14           1               0               1                   16           11           29           14           7            21           10           8       
202          5            14           1               0               1                   16           11           0            14           7            21           10           8       
203          6            14           1               0               1                   16           11           0            14           7            21           10           8       
204          6            14           0               1               1                   16           11           0            14           7            21           10           8       
205          6            14           0               1               1                   15           11           0            14           7            21           10           8       
206          6            14           0               1               1                   15           11           1            14           7            21           10           8       
207          6            15           0               1               1                   15           11           1            14           7            21           10           8       
208          6            15           0               1               1                   14           11           1            14           7            21           10           8       
209          6            15           0               1               1                   14           11           2            14           7            21           10           8       
210          6            16           0               1               1                   14           11           2            14           7            21           10           8       
211          6            16           0               1               1                   14           11           2            14           6            21           9            8       
212          6            16           0               1               1                   13           11           2            14           6            21           9            8       
213          6            17           0               1               1                   13           11           3            14           6            21           9            8       
214          6            17           0               -1              1                   13           11           3            14           6            21           9            8       
215          6            17           0               -1              1                   12           11           3            14           6            21           9            8       
216          6            16           0               -1              1                   12           11           4            14           6            21           9            8       
217          6            16           0               -1              1                   11           11           4            14           6            21           9            8       
218          6            15           0               -1              1                   11           11           5            14           6            21           9            8       
