timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            13           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
7            12           24           -1              0               0                   13           11           17           14           16           15           16           13      
8            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
9            11           24           -1              0               0                   12           11           17           13           17           15           15           13      
10           10           24           -1              0               0                   12           11           17           13           17           15           15           13      
11           10           24           -1              0               0                   11           11           16           13           17           14           14           13      
12           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
13           9            24           -1              0               0                   10           11           15           13           17           13           13           13      
14           8            24           -1              0               0                   10           11           15           13           17           13           13           13      
15           8            24           -1              0               0                   9            11           14           12           16           13           12           13      
16           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
17           7            24           -1              0               0                   9            12           14           11           15           13           12           14      
18           6            24           -1              0               0                   9            12           14           11           15           13           12           14      
19           6            24           0               1               0                   9            12           14           11           15           13           12           14      
20           6            24           0               1               0                   9            13           13           11           14           13           12           15      
21           6            25           0               1               0                   9            13           13           11           14           13           12           15      
22           6            25           0               1               0                   9            14           12           11           13           13           13           15      
23           6            26           0               1               0                   9            14           12           11           13           13           13           15      
24           6            26           0               1               0                   8            14           11           11           12           13           14           15      
25           6            27           0               1               0                   8            14           11           11           12           13           14           15      
26           6            27           -1              0               0                   8            14           11           11           12           13           14           15      
27           6            27           -1              0               0                   7            14           10           11           12           14           15           15      
28           5            27           -1              0               0                   7            14           10           11           12           14           15           15      
29           5            27           -1              0               0                   6            14           9            11           12           15           16           15      
30           4            27           -1              0               0                   6            14           9            11           12           15           16           15      
31           4            27           -1              0               0                   6            15           9            12           13           15           17           15      
32           3            27           -1              0               0                   6            15           9            12           13           15           17           15      
33           3            27           0               -1              0                   6            15           9            12           13           15           17           15      
34           3            27           0               -1              0                   6            16           9            13           14           15           17           14      
35           3            26           0               -1              0                   6            16           9            13           14           15           17           14      
36           3            26           0               -1              0                   6            17           9            14           15           15           17           13      
37           3            25           0               -1              0                   6            17           9            14           15           15           17           13      
38           3            25           0               -1              0                   6            18           9            15           16           15           16           13      
39           3            24           0               -1              0                   6            18           9            15           16           15           16           13      
40           3            24           -1              0               0                   6            18           9            15           16           15           16           13      
41           3            24           -1              0               0                   6            19           9            16           17           15           15           13      
42           2            24           -1              0               0                   6            19           9            16           17           15           15           13      
43           2            24           -1              0               0                   6            20           9            17           17           14           14           13      
44           1            24           -1              0               1                   6            20           9            17           17           14           14           13      
45           1            24           0               -1              1                   6            20           9            17           17           14           14           13      
46           1            23           0               -1              1                   6            20           9            17           17           14           14           13      
47           1            22           0               -1              1                   6            20           9            17           17           14           14           13      
48           1            22           0               -1              1                   6            21           9            18           17           13           13           13      
49           1            21           0               -1              1                   6            21           9            18           17           13           13           13      
50           1            21           1               0               1                   6            21           9            18           17           13           13           13      
51           2            21           1               0               1                   6            21           9            18           17           13           13           13      
52           3            21           1               0               1                   6            21           9            18           17           13           13           13      
53           3            21           1               0               1                   7            21           10           18           16           13           12           13      
54           4            21           1               0               1                   7            21           10           18           16           13           12           13      
55           5            21           1               0               1                   7            21           10           18           16           13           12           13      
56           6            21           1               0               1                   7            21           10           18           16           13           12           13      
57           6            21           1               0               1                   15           14           11           18           15           13           12           14      
58           7            21           1               0               1                   15           14           11           18           15           13           12           14      
59           7            21           1               0               1                   15           13           11           18           15           13           12           14      
60           8            21           1               0               1                   15           13           11           18           15           13           12           14      
61           8            21           1               0               1                   14           13           11           18           15           13           12           14      
62           9            21           1               0               1                   14           13           11           18           15           13           12           14      
63           9            21           1               0               1                   13           13           12           18           14           12           12           15      
64           10           21           1               0               1                   13           13           12           18           14           12           12           15      
65           10           21           1               0               1                   12           13           12           18           14           12           12           15      
66           11           21           1               0               1                   12           13           12           18           14           12           12           15      
67           11           21           1               0               1                   12           14           12           18           14           12           12           15      
68           12           21           1               0               1                   12           14           12           18           14           12           12           15      
69           12           21           1               0               1                   12           14           13           18           14           11           13           15      
70           12           21           1               0               1                   12           15           13           18           14           11           13           15      
71           13           21           1               0               1                   12           15           13           18           14           11           13           15      
72           13           21           0               1               1                   12           15           13           18           14           11           13           15      
73           13           21           0               1               1                   13           15           13           18           14           11           13           15      
74           13           22           0               1               1                   13           15           13           18           14           11           13           15      
75           13           22           0               1               1                   14           15           13           18           14           11           13           15      
76           13           23           0               1               1                   14           15           14           18           15           11           14           15      
77           13           23           0               1               1                   15           15           14           18           15           11           14           15      
78           13           24           0               1               1                   15           15           14           18           15           11           14           15      
79           13           24           1               0               1                   15           15           14           18           15           11           14           15      
80           13           24           1               0               1                   16           15           14           18           15           11           14           15      
81           14           24           1               0               1                   16           15           14           18           15           11           14           15      
82           14           24           1               0               1                   17           15           14           18           15           11           14           15      
83           15           24           1               0               1                   17           15           15           18           16           11           15           15      
84           15           24           1               0               1                   17           14           15           18           16           11           15           15      
85           16           24           1               0               1                   17           14           15           18           16           11           15           15      
86           16           24           0               -1              1                   17           14           15           18           16           11           15           15      
87           16           24           0               -1              1                   17           13           15           18           16           11           15           15      
88           16           23           0               -1              1                   17           13           15           18           16           11           15           15      
89           16           23           0               -1              1                   16           13           15           18           16           11           15           15      
90           16           23           0               -1              1                   16           13           16           18           17           11           16           15      
91           16           22           0               -1              1                   16           13           16           18           17           11           16           15      
92           16           22           0               -1              1                   15           13           16           18           17           11           16           15      
93           16           21           0               -1              1                   15           13           16           18           17           11           16           15      
94           16           21           1               0               1                   15           13           16           18           17           11           16           15      
95           16           21           1               0               1                   14           12           16           18           17           11           16           15      
96           17           21           1               0               1                   14           12           16           18           17           11           16           15      
97           17           21           1               0               1                   14           11           16           18           17           11           16           15      
98           17           21           1               0               1                   14           11           17           18           18           11           17           15      
99           18           21           1               0               1                   14           11           17           18           18           11           17           15      
100          18           21           1               0               1                   15           11           17           18           18           11           17           15      
101          19           21           1               0               1                   15           11           17           18           18           11           17           15      
102          19           21           1               0               1                   16           11           17           18           18           11           17           15      
103          20           21           1               0               1                   16           11           17           18           18           11           17           15      
104          20           21           1               0               1                   17           11           18           18           19           11           17           14      
105          21           21           1               0               1                   17           11           18           18           19           11           17           14      
106          21           21           1               0               1                   18           11           18           18           19           11           17           14      
107          22           21           1               0               1                   18           11           18           18           19           11           17           14      
108          22           21           1               0               1                   19           11           18           18           19           11           17           14      
109          23           21           1               0               1                   19           11           18           18           19           11           17           14      
110          23           21           0               -1              1                   19           11           18           18           19           11           17           14      
111          23           21           0               -1              1                   20           11           19           18           20           11           17           13      
112          23           20           0               -1              1                   20           11           19           18           20           11           17           13      
113          23           20           0               -1              1                   20           12           19           18           20           11           17           13      
114          23           19           0               -1              1                   20           12           19           18           20           11           17           13      
115          23           19           0               -1              1                   20           13           19           18           20           11           17           13      
116          23           18           0               -1              1                   20           13           19           18           20           11           17           13      
117          23           18           0               -1              1                   20           13           20           18           20           12           16           13      
118          23           18           0               -1              1                   20           14           20           18           20           12           16           13      
119          23           17           0               -1              1                   20           14           20           18           20           12           16           13      
120          23           17           0               -1              1                   20           15           20           18           20           12           16           13      
121          23           16           0               -1              1                   20           15           20           18           20           12           16           13      
122          23           16           0               -1              1                   20           16           20           18           20           12           16           13      
123          23           15           0               -1              1                   20           16           20           17           20           13           15           13      
124          23           15           0               -1              1                   20           17           20           17           20           13           15           13      
125          23           14           0               -1              1                   20           17           20           17           20           13           15           13      
126          23           14           0               -1              1                   20           18           20           17           20           13           15           13      
127          23           13           0               -1              1                   20           18           20           17           20           13           15           13      
128          23           13           0               -1              1                   19           18           20           17           20           13           15           13      
129          23           12           0               -1              1                   19           18           20           16           20           14           14           12      
130          23           12           0               -1              1                   18           18           20           16           20           14           14           12      
131          23           11           0               -1              1                   18           18           20           16           20           14           14           12      
132          23           11           0               -1              1                   17           18           20           16           20           14           14           12      
133          23           10           0               -1              1                   17           18           20           16           20           14           14           12      
134          23           10           0               -1              1                   16           18           20           16           20           14           14           12      
135          23           10           0               -1              1                   16           18           20           15           21           14           14           11      
136          23           9            0               -1              1                   16           18           20           15           21           14           14           11      
137          23           9            0               -1              1                   15           18           20           15           21           14           14           11      
138          23           8            0               -1              1                   15           18           20           15           21           14           14           11      
139          23           8            0               -1              1                   14           18           20           15           21           14           14           11      
140          23           7            0               -1              1                   14           18           20           15           21           14           14           11      
141          23           7            0               -1              1                   13           18           20           15           21           14           14           11      
142          23           7            0               -1              1                   13           18           20           14           22           14           13           11      
143          23           6            0               -1              1                   13           18           20           14           22           14           13           11      
144          23           6            0               -1              1                   12           18           20           14           22           14           13           11      
145          23           5            0               -1              1                   12           18           20           14           22           14           13           11      
146          23           5            0               -1              1                   11           18           20           14           22           14           13           11      
147          23           4            0               -1              1                   11           18           20           14           22           14           13           11      
148          23           4            0               -1              1                   10           18           21           14           23           14           12           11      
149          23           3            0               -1              1                   10           18           21           14           23           14           12           11      
150          23           3            0               -1              1                   9            18           21           14           23           14           12           11      
151          23           2            0               -1              1                   9            18           21           14           23           14           12           11      
152          23           2            0               -1              1                   9            17           21           14           23           14           12           11      
153          23           1            0               -1              1                   9            17           21           14           23           14           12           11      
154          23           1            0               -1              1                   9            16           22           14           24           14           11           11      
155          23           1            -1              0               1                   9            16           22           14           24           14           11           11      
156          22           1            -1              0               1                   9            15           22           14           24           14           11           11      
157          21           1            -1              0               1                   9            14           22           14           24           14           11           11      
158          21           1            -1              0               1                   9            14           23           14           25           14           10           11      
159          20           1            -1              0               1                   9            13           23           14           25           14           10           11      
160          19           1            -1              0               1                   9            12           23           14           25           14           10           11      
161          18           1            -1              0               1                   9            11           23           14           25           14           10           11      
162          18           1            -1              0               1                   9            11           24           14           26           14           9            11      
163          17           1            -1              0               1                   10           11           24           14           26           14           9            11      
164          17           1            -1              0               0                   10           11           24           14           26           14           9            11      
165          16           1            -1              0               0                   11           11           25           14           27           14           9            12      
166          16           1            0               1               0                   11           11           25           14           27           14           9            12      
167          16           2            0               1               0                   12           11           26           14           28           14           9            13      
168          16           3            0               1               0                   13           11           27           14           29           14           9            14      
169          16           4            0               1               0                   13           10           28           14           0            14           8            14      
170          16           5            0               1               0                   13           9            29           14           1            14           7            14      
171          16           5            -1              0               0                   13           9            29           14           1            14           7            14      
172          15           5            -1              0               0                   13           8            0            14           2            14           6            14      
173          14           5            -1              0               0                   12           8            1            14           3            14           6            13      
174          13           5            -1              0               0                   11           8            2            14           4            14           6            12      
175          13           5            0               -1              0                   11           8            2            14           4            14           6            12      
176          13           4            0               -1              0                   10           8            3            14           5            14           6            11      
177          13           3            0               -1              0                   9            8            4            14           6            14           6            10      
178          13           2            0               -1              0                   9            7            5            14           6            15           6            9       
179          13           1            0               -1              0                   9            6            6            14           6            16           6            8       
180          13           1            -1              0               0                   9            6            6            14           6            16           6            8       
181          12           1            -1              0               0                   9            5            7            14           6            17           6            7       
182          11           1            -1              0               0                   10           5            8            14           6            18           6            6       
183          10           1            -1              0               0                   11           5            9            14           6            19           6            5       
184          9            1            -1              0               0                   12           5            9            13           6            20           7            5       
185          8            1            -1              0               0                   13           5            9            12           6            21           8            5       
186          7            1            -1              0               0                   13           4            9            11           7            21           9            5       
187          6            1            -1              0               0                   13           3            10           11           8            21           9            6       
188          5            1            -1              0               0                   13           2            11           11           9            21           9            7       
189          4            1            -1              0               0                   13           1            12           11           10           21           9            8       
190          3            1            -1              0               0                   12           1            13           11           11           21           10           8       
191          2            1            -1              0               0                   11           1            13           10           12           21           11           8       
192          1            1            -1              0               0                   10           1            13           9            13           21           12           8       
193          1            1            0               1               0                   10           1            13           9            13           21           12           8       
194          1            2            0               1               0                   9            1            13           8            13           22           13           8       
195          1            3            0               1               1                   9            1            13           8            13           22           13           8       
196          1            3            0               1               1                   8            1            12           8            13           23           13           9       
197          1            4            0               1               1                   8            1            12           8            13           23           13           9       
198          1            5            0               1               1                   8            1            12           8            13           23           13           9       
199          1            6            0               1               1                   8            1            12           8            13           23           13           9       
200          1            6            0               1               1                   7            1            11           8            13           24           13           10      
201          1            7            0               1               1                   7            1            11           8            13           24           13           10      
202          1            8            0               1               1                   7            1            11           8            13           24           13           10      
203          1            8            1               0               1                   7            1            11           8            13           24           13           10      
204          2            8            1               0               1                   7            1            11           8            13           24           13           10      
205          2            8            1               0               1                   6            1            10           8            14           24           13           11      
206          3            8            1               0               1                   6            1            10           8            14           24           13           11      
207          4            8            1               0               1                   6            1            10           8            14           24           13           11      
208          5            8            1               0               1                   6            1            10           8            14           24           13           11      
209          5            8            1               0               1                   6            2            9            8            15           24           14           11      
210          6            8            1               0               1                   6            2            9            8            15           24           14           11      
211          6            8            0               -1              1                   6            2            9            8            15           24           14           11      
212          6            7            0               -1              1                   6            2            9            8            15           24           14           11      
213          6            6            0               -1              1                   6            3            9            7            16           24           15           11      
214          6            5            0               -1              1                   6            3            9            7            16           24           15           11      
215          6            5            0               -1              1                   15           14           9            7            16           24           15           11      
216          6            4            0               -1              1                   15           14           9            7            16           24           15           11      
217          6            4            0               -1              1                   15           13           9            7            16           24           15           11      
218          6            3            0               -1              1                   15           13           9            6            17           24           16           11      
219          6            3            0               1               1                   15           13           9            6            17           24           16           11      
220          6            3            0               1               1                   14           13           9            6            17           24           16           11      
221          6            4            0               1               1                   14           13           9            6            17           24           16           11      
222          6            4            0               1               1                   13           13           9            6            17           24           16           11      
223          6            5            0               1               1                   13           13           9            6            17           24           16           11      
224          6            5            0               1               1                   12           13           9            6            17           24           16           11      
225          6            5            0               1               1                   12           13           9            5            18           24           17           11      
226          6            6            0               1               1                   12           13           9            5            18           24           17           11      
227          6            6            0               1               1                   12           14           9            5            18           24           17           11      
228          6            7            0               1               1                   12           14           9            5            18           24           17           11      
229          6            7            0               1               1                   12           15           9            5            18           24           17           11      
230          6            8            0               1               1                   12           15           9            5            18           24           17           11      
231          6            8            0               -1              1                   12           15           9            5            18           24           17           11      
232          6            8            0               -1              1                   13           15           9            5            18           24           17           11      
233          6            8            0               -1              1                   13           15           10           5            19           24           18           11      
234          6            7            0               -1              1                   13           15           10           5            19           24           18           11      
235          6            7            0               -1              1                   14           15           10           5            19           24           18           11      
236          6            6            0               -1              1                   14           15           10           5            19           24           18           11      
237          6            6            0               -1              1                   15           15           10           5            19           24           18           11      
238          6            5            0               -1              1                   15           15           10           5            19           24           18           11      
239          6            5            0               -1              1                   16           15           11           5            20           24           19           11      
240          6            4            0               -1              1                   16           15           11           5            20           24           19           11      
241          6            4            0               -1              1                   17           15           11           5            20           24           19           11      
242          6            3            0               -1              1                   17           15           11           5            20           24           19           11      
243          6            3            0               -1              1                   17           14           11           5            20           24           19           11      
