timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            13           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
7            12           24           -1              0               0                   13           11           17           14           16           15           16           13      
8            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
9            11           24           -1              0               0                   12           11           17           13           17           15           15           13      
10           10           24           -1              0               0                   12           11           17           13           17           15           15           13      
11           10           24           -1              0               0                   11           11           16           13           17           14           14           13      
12           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
13           9            24           -1              0               0                   10           11           15           13           17           13           13           13      
14           8            24           -1              0               0                   10           11           15           13           17           13           13           13      
15           8            24           -1              0               0                   9            11           14           12           16           13           12           13      
16           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
17           7            24           -1              0               0                   9            12           14           11           15           13           12           14      
18           6            24           -1              0               0                   9            12           14           11           15           13           12           14      
19           6            24           0               1               0                   9            12           14           11           15           13           12           14      
20           6            24           0               1               0                   9            13           13           11           14           13           12           15      
21           6            25           0               1               0                   9            13           13           11           14           13           12           15      
22           6            25           0               1               0                   9            14           12           11           13           13           13           15      
23           6            26           0               1               0                   9            14           12           11           13           13           13           15      
24           6            26           0               1               0                   8            14           11           11           12           13           14           15      
25           6            27           0               1               0                   8            14           11           11           12           13           14           15      
26           6            27           -1              0               0                   8            14           11           11           12           13           14           15      
27           6            27           -1              0               0                   7            14           10           11           12           14           15           15      
28           5            27           -1              0               0                   7            14           10           11           12           14           15           15      
29           5            27           -1              0               0                   6            14           9            11           12           15           16           15      
30           4            27           -1              0               0                   6            14           9            11           12           15           16           15      
31           4            27           -1              0               0                   6            15           9            12           13           15           17           15      
32           3            27           -1              0               0                   6            15           9            12           13           15           17           15      
33           3            27           -1              0               0                   6            16           9            13           14           15           17           14      
34           2            27           -1              0               0                   6            16           9            13           14           15           17           14      
35           2            27           -1              0               0                   6            17           9            14           15           15           17           13      
36           1            27           -1              0               0                   6            17           9            14           15           15           17           13      
37           1            27           0               1               0                   6            17           9            14           15           15           17           13      
38           1            27           0               1               0                   6            18           8            14           16           15           16           13      
39           1            28           0               1               0                   6            18           8            14           16           15           16           13      
40           1            28           0               1               0                   6            19           7            14           17           15           15           13      
41           1            29           0               1               0                   6            19           7            14           17           15           15           13      
42           1            29           0               1               0                   6            20           6            14           17           14           14           13      
43           1            30           0               1               0                   6            20           6            14           17           14           14           13      
44           1            30           1               0               0                   6            20           6            14           17           14           14           13      
45           1            30           1               0               0                   6            21           6            15           17           13           13           13      
46           2            30           1               0               0                   6            21           6            15           17           13           13           13      
47           2            30           1               0               0                   5            21           6            16           16           13           12           13      
48           3            30           1               0               0                   5            21           6            16           16           13           12           13      
49           3            30           1               0               0                   4            21           6            17           15           13           12           14      
50           4            30           1               0               0                   4            21           6            17           15           13           12           14      
51           4            30           1               0               0                   3            21           6            18           14           12           12           15      
52           5            30           1               0               0                   3            21           6            18           14           12           12           15      
53           5            30           1               0               0                   2            21           6            19           14           11           13           15      
54           6            30           1               0               0                   2            21           6            19           14           11           13           15      
55           6            30           1               0               0                   1            21           6            20           13           11           14           15      
56           7            30           1               0               0                   1            21           6            20           13           11           14           15      
57           7            30           1               0               0                   1            22           6            21           12           11           15           15      
58           8            30           1               0               0                   1            22           6            21           12           11           15           15      
59           8            30           1               0               0                   1            23           7            21           11           11           16           15      
60           9            30           1               0               0                   1            23           7            21           11           11           16           15      
61           9            30           1               0               0                   1            24           8            21           10           11           17           15      
62           10           30           1               0               0                   1            24           8            21           10           11           17           15      
63           10           30           1               0               0                   2            24           9            21           9            11           17           14      
64           11           30           1               0               0                   2            24           9            21           9            11           17           14      
65           11           30           1               0               0                   3            24           10           21           9            12           17           13      
66           12           30           1               0               0                   3            24           10           21           9            12           17           13      
67           12           30           1               0               0                   3            25           11           21           9            13           16           13      
68           13           30           1               0               0                   3            25           11           21           9            13           16           13      
69           13           30           1               0               0                   3            26           12           21           9            14           15           13      
70           14           30           1               0               0                   3            26           12           21           9            14           15           13      
71           14           30           1               0               0                   3            27           13           21           9            15           14           12      
72           15           30           1               0               0                   3            27           13           21           9            15           14           12      
73           15           30           1               0               0                   4            27           13           22           9            16           14           11      
74           16           30           1               0               0                   4            27           13           22           9            16           14           11      
75           16           30           1               0               0                   5            27           13           23           9            17           15           11      
76           17           30           1               0               0                   5            27           13           23           9            17           15           11      
77           17           30           1               0               0                   6            27           13           24           9            18           16           11      
78           18           30           1               0               0                   6            27           13           24           9            18           16           11      
79           18           30           1               0               0                   6            26           14           24           10           18           17           11      
80           19           30           1               0               0                   6            26           14           24           10           18           17           11      
81           19           30           1               0               0                   6            25           15           24           11           18           18           11      
82           20           30           1               0               0                   6            25           15           24           11           18           18           11      
83           20           30           1               0               0                   6            24           16           24           12           18           19           11      
84           21           30           1               0               0                   6            24           16           24           12           18           19           11      
85           21           30           1               0               0                   7            24           17           24           13           18           20           11      
86           22           30           1               0               0                   7            24           17           24           13           18           20           11      
87           22           30           1               0               0                   8            24           18           24           14           18           20           12      
88           23           30           1               0               0                   8            24           18           24           14           18           20           12      
89           23           30           1               0               0                   9            24           19           24           15           18           20           13      
90           24           30           1               0               0                   9            24           19           24           15           18           20           13      
91           24           30           1               0               0                   10           24           20           24           16           18           20           14      
92           25           30           1               0               0                   10           24           20           24           16           18           20           14      
93           25           30           1               0               0                   11           24           20           25           17           18           21           14      
94           26           30           1               0               0                   11           24           20           25           17           18           21           14      
95           26           30           1               0               0                   12           24           20           26           18           18           22           14      
96           27           30           1               0               0                   12           24           20           26           18           18           22           14      
97           27           30           1               0               0                   13           24           20           27           19           18           23           14      
98           28           30           1               0               0                   13           24           20           27           19           18           23           14      
99           28           30           0               -1              0                   13           24           20           27           19           18           23           14      
100          28           30           0               -1              0                   14           24           19           27           20           18           23           15      
101          28           29           0               -1              0                   14           24           19           27           20           18           23           15      
102          28           29           0               -1              0                   15           24           18           27           20           19           23           16      
103          28           28           0               -1              0                   15           24           18           27           20           19           23           16      
104          28           28           0               -1              0                   16           24           17           27           20           20           23           17      
105          28           27           0               -1              0                   16           24           17           27           20           20           23           17      
106          28           27           -1              0               0                   16           24           17           27           20           20           23           17      
107          28           27           -1              0               0                   17           24           16           27           20           21           23           18      
108          27           27           -1              0               0                   17           24           16           27           20           21           23           18      
109          27           27           -1              0               0                   18           24           16           28           21           21           23           19      
110          26           27           -1              0               0                   18           24           16           28           21           21           23           19      
111          26           27           0               -1              0                   18           24           16           28           21           21           23           19      
112          26           27           0               -1              0                   19           24           16           29           22           21           23           20      
113          26           26           0               -1              0                   19           24           16           29           22           21           23           20      
114          26           26           0               -1              0                   20           24           16           30           23           21           23           21      
115          26           25           0               -1              0                   20           24           16           30           23           21           23           21      
116          26           25           0               -1              0                   20           25           17           30           24           21           22           21      
117          26           24           0               -1              0                   20           25           17           30           24           21           22           21      
118          26           24           0               -1              0                   20           26           18           30           25           21           21           21      
119          26           24           0               -1              0                   20           27           19           30           26           21           20           21      
120          26           24           0               -1              0                   19           27           20           30           27           21           20           20      
121          26           24           1               0               0                   18           27           21           30           28           21           20           19      
122          27           24           1               0               0                   18           27           21           30           28           21           20           19      
123          27           24           1               0               0                   17           27           22           30           28           22           20           18      
124          28           24           1               0               1                   17           27           22           30           28           22           20           18      
125          28           24           0               -1              1                   17           27           22           30           12           15           20           18      
126          28           23           0               -1              1                   17           27           22           30           12           15           20           18      
127          28           23           0               -1              1                   17           27           22           30           13           15           20           18      
128          28           23           0               -1              1                   16           27           23           30           13           15           19           18      
129          28           22           0               -1              1                   16           27           23           30           13           15           19           18      
130          28           22           0               1               1                   16           27           23           30           14           15           19           18      
131          28           23           0               1               1                   16           27           23           30           14           15           19           18      
132          28           23           0               1               1                   16           27           23           30           15           15           19           18      
133          28           24           0               1               1                   16           27           23           30           15           15           19           18      
134          28           24           0               1               1                   16           28           24           30           16           15           18           18      
135          28           24           0               1               1                   16           28           24           30           17           15           18           18      
136          28           24           0               1               1                   16           28           24           30           17           14           18           18      
137          28           24           -1              0               1                   16           28           24           30           17           14           18           18      
138          28           24           -1              0               1                   16           29           25           30           17           14           17           18      
139          27           24           -1              0               1                   16           29           25           30           17           13           17           18      
140          26           24           -1              0               1                   16           29           25           30           16           13           17           18      
141          26           24           0               1               1                   16           29           25           30           16           13           17           18      
142          26           25           0               1               1                   16           29           25           30           15           13           17           18      
143          26           25           0               1               1                   16           30           26           30           15           13           16           18      
144          26           26           0               1               1                   16           30           26           30           14           13           16           18      
145          26           27           0               1               1                   16           30           26           30           13           13           16           18      
146          26           27           1               0               1                   16           30           26           30           13           13           16           18      
147          27           27           1               0               1                   16           30           26           30           12           13           16           18      
148          27           27           1               0               1                   15           30           27           30           12           13           15           18      
149          28           27           1               0               1                   15           30           27           30           12           14           15           18      
150          28           27           0               1               1                   15           30           27           30           12           14           15           18      
151          28           28           0               1               1                   15           30           27           30           12           15           15           18      
152          28           28           0               1               1                   15           30           14           15           12           15           15           18      
153          28           29           0               1               1                   15           30           14           15           13           15           15           18      
154          28           29           0               1               1                   14           30           14           15           13           15           14           18      
155          28           29           0               1               1                   14           30           15           15           13           15           14           18      
156          28           30           0               1               1                   14           30           15           15           14           15           14           18      
157          28           30           0               -1              1                   14           30           15           15           14           15           14           18      
158          28           30           0               -1              1                   14           30           16           15           14           15           14           18      
159          28           29           0               -1              1                   14           30           16           15           15           15           14           18      
160          28           29           0               -1              1                   14           30           17           15           15           15           14           18      
161          28           28           0               -1              1                   14           30           17           15           16           15           14           18      
162          28           28           0               -1              1                   13           30           17           15           16           15           13           18      
163          28           28           0               -1              1                   13           30           17           14           16           15           13           18      
164          28           27           0               -1              1                   13           30           17           14           17           15           13           18      
165          28           27           -1              0               1                   13           30           17           14           17           15           13           18      
166          28           27           -1              0               1                   13           30           17           13           17           15           13           18      
167          27           27           -1              0               1                   13           30           17           13           17           14           13           18      
168          27           27           -1              0               1                   13           30           16           13           17           14           13           18      
169          26           27           -1              0               1                   13           30           16           13           17           13           13           18      
170          26           27           -1              0               1                   12           30           16           13           17           13           12           18      
171          26           27           -1              0               1                   12           30           15           13           17           13           12           18      
172          25           27           -1              0               1                   12           30           15           13           16           13           12           18      
173          25           27           -1              0               1                   12           30           14           13           16           13           12           18      
174          24           27           -1              0               1                   12           30           14           13           15           13           12           18      
175          24           27           -1              0               1                   12           30           13           13           15           13           12           18      
176          23           27           -1              0               1                   11           30           13           13           14           13           11           18      
177          23           27           0               -1              1                   11           30           13           13           14           13           11           18      
178          23           27           0               -1              1                   11           30           12           13           14           13           11           18      
179          23           26           0               -1              1                   11           30           12           13           13           13           11           18      
180          23           26           0               -1              1                   11           30           12           14           13           13           11           18      
181          23           25           0               -1              1                   11           30           12           14           12           13           11           18      
182          23           25           0               -1              1                   10           30           12           15           12           13           10           18      
183          23           24           0               -1              1                   10           30           12           15           12           14           10           18      
184          23           24           0               -1              1                   10           30           13           15           12           14           10           18      
185          23           23           0               -1              1                   10           30           13           15           12           15           10           18      
186          23           23           0               -1              1                   10           30           14           15           12           15           10           18      
187          23           22           0               -1              1                   10           30           14           15           13           15           10           18      
188          23           22           0               -1              1                   9            30           15           15           13           15           9            18      
189          23           21           0               -1              1                   9            30           15           15           14           15           9            18      
190          23           21           1               0               1                   9            30           15           15           14           15           9            18      
191          23           21           1               0               1                   9            30           16           15           14           15           9            18      
192          24           21           1               0               1                   9            30           16           15           15           15           9            18      
193          24           21           1               0               1                   9            30           17           15           15           15           9            18      
194          25           21           1               0               1                   9            30           17           15           16           15           9            18      
195          25           21           1               0               1                   8            30           17           15           16           15           9            17      
196          25           21           1               0               1                   8            30           17           14           16           15           9            17      
197          26           21           1               0               1                   8            30           17           14           17           15           9            17      
198          26           21           1               0               1                   8            30           17           13           17           15           9            17      
199          27           21           1               0               1                   8            30           17           13           17           14           9            17      
200          27           21           1               0               1                   8            30           16           13           17           14           9            17      
201          28           21           1               0               1                   8            30           16           13           17           13           9            17      
202          28           21           -1              0               1                   8            30           16           13           17           13           9            17      
203          28           21           -1              0               1                   7            30           16           13           17           13           9            16      
204          28           21           -1              0               1                   7            30           15           13           17           13           9            16      
205          27           21           -1              0               1                   7            30           15           13           16           13           9            16      
206          27           21           -1              0               1                   7            30           14           12           16           13           9            16      
207          26           21           -1              0               1                   7            30           14           12           15           13           9            16      
208          26           21           -1              0               1                   7            30           14           11           15           13           9            16      
209          25           21           -1              0               1                   7            30           14           11           14           12           9            16      
210          25           21           -1              0               1                   6            30           14           11           14           12           9            15      
211          25           21           -1              0               1                   6            30           15           11           14           12           9            15      
212          24           21           -1              0               1                   6            30           15           11           14           11           9            15      
213          24           21           -1              0               1                   6            30           16           11           14           11           9            15      
214          23           21           -1              0               1                   6            30           16           11           15           11           9            15      
215          23           21           -1              0               1                   6            30           17           11           15           11           9            15      
216          22           21           -1              0               1                   6            30           17           11           16           11           9            15      
217          22           21           -1              0               1                   5            30           17           11           16           11           9            14      
218          22           21           -1              0               1                   5            30           18           11           16           11           9            14      
219          21           21           -1              0               1                   5            30           18           11           17           11           9            14      
220          21           21           -1              0               1                   5            30           19           11           17           11           9            14      
221          20           21           -1              0               1                   5            30           19           11           18           11           9            14      
222          20           21           -1              0               1                   5            30           20           11           18           11           9            14      
223          19           21           -1              0               1                   4            30           20           11           19           11           8            14      
224          19           21           -1              0               1                   4            30           20           12           19           11           8            14      
225          18           21           -1              0               1                   4            30           20           12           20           11           8            14      
226          18           21           -1              0               1                   4            30           20           13           20           11           8            14      
227          17           21           -1              0               1                   4            30           20           13           20           12           8            14      
228          17           21           -1              0               1                   3            30           20           14           20           12           7            14      
229          16           21           -1              0               1                   3            30           20           14           20           13           7            14      
230          16           21           0               1               1                   3            30           20           14           20           13           7            14      
231          16           21           0               1               1                   3            30           20           15           20           13           7            14      
232          16           22           0               1               1                   3            30           20           15           20           14           7            14      
233          16           22           0               1               1                   3            30           20           16           20           14           7            14      
234          16           23           0               1               1                   3            30           20           16           20           15           7            14      
235          16           23           0               1               1                   2            30           20           17           20           15           6            14      
236          16           24           0               1               1                   2            30           20           17           20           16           6            14      
237          16           24           1               0               1                   2            30           20           17           20           16           6            14      
238          16           24           1               0               1                   2            30           20           18           20           16           6            14      
239          17           24           1               0               1                   2            30           20           18           20           17           6            14      
240          17           24           1               0               1                   2            30           19           18           20           17           6            14      
241          18           24           1               0               1                   2            30           19           18           20           18           6            14      
242          18           24           1               0               1                   1            30           19           18           20           18           6            13      
243          18           24           1               0               1                   1            30           18           18           20           18           6            13      
244          19           24           1               0               1                   1            30           18           18           20           19           6            13      
