timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           14           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   15           13           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            13           24           -1              0               0                   14           12           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           12           17           15           15           15           17           13      
7            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
8            12           24           -1              0               0                   14           11           17           14           16           15           16           13      
9            11           24           -1              0               0                   14           11           17           14           16           15           16           13      
10           11           24           -1              0               0                   13           11           17           14           16           15           16           13      
11           11           24           -1              0               0                   13           11           17           13           17           15           15           13      
12           10           24           -1              0               0                   13           11           17           13           17           15           15           13      
13           10           24           -1              0               0                   12           11           17           13           17           15           15           13      
14           10           24           -1              0               0                   12           11           16           13           17           14           14           13      
15           9            24           -1              0               0                   12           11           16           13           17           14           14           13      
16           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
17           9            24           -1              0               0                   11           11           15           13           17           13           13           13      
18           8            24           -1              0               0                   11           11           15           13           17           13           13           13      
19           8            24           -1              0               0                   10           11           15           13           17           13           13           13      
20           8            24           -1              0               0                   10           11           14           12           16           13           12           13      
21           7            24           -1              0               0                   10           11           14           12           16           13           12           13      
22           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
23           7            24           -1              0               0                   9            11           14           11           15           13           12           14      
24           6            24           -1              0               0                   9            11           14           11           15           13           12           14      
25           6            24           0               1               0                   9            12           14           11           15           13           12           14      
26           6            24           0               1               0                   9            12           13           11           14           13           12           15      
27           6            25           0               1               0                   9            12           13           11           14           13           12           15      
28           6            25           0               1               0                   9            13           13           11           14           13           12           15      
29           6            26           0               1               0                   9            13           12           11           13           13           13           15      
30           6            26           0               1               0                   9            14           12           11           13           13           13           15      
31           6            26           0               1               0                   9            14           11           11           12           13           14           15      
32           6            27           0               1               0                   9            14           11           11           12           13           14           15      
33           6            27           -1              0               0                   8            14           11           11           12           13           14           15      
34           6            27           -1              0               0                   8            14           10           11           12           14           15           15      
35           5            27           -1              0               0                   8            14           10           11           12           14           15           15      
36           5            27           -1              0               0                   7            14           10           11           12           14           15           15      
37           5            27           -1              0               0                   7            14           9            11           12           15           16           15      
38           4            27           -1              0               0                   7            14           9            11           12           15           16           15      
39           4            27           -1              0               0                   6            14           9            11           12           15           16           15      
40           4            27           -1              0               0                   6            14           9            12           13           15           17           15      
41           3            27           -1              0               0                   6            14           9            12           13           15           17           15      
42           3            27           -1              0               0                   6            15           9            12           13           15           17           15      
43           3            27           -1              0               0                   6            15           9            13           14           15           17           14      
44           2            27           -1              0               0                   6            15           9            13           14           15           17           14      
45           2            27           -1              0               0                   6            16           9            13           14           15           17           14      
46           2            27           -1              0               0                   6            16           9            14           15           15           17           13      
47           1            27           -1              0               0                   6            16           9            14           15           15           17           13      
48           1            27           0               1               0                   6            17           9            14           15           15           17           13      
49           1            27           0               1               0                   6            17           8            14           16           15           16           13      
50           1            28           0               1               0                   6            17           8            14           16           15           16           13      
51           1            28           0               1               0                   6            18           8            14           16           15           16           13      
52           1            28           0               1               0                   6            18           7            14           17           15           15           13      
53           1            29           0               1               0                   6            18           7            14           17           15           15           13      
54           1            29           0               1               0                   6            19           7            14           17           15           15           13      
55           1            29           0               1               0                   6            19           6            14           17           14           14           13      
56           1            30           0               1               0                   6            19           6            14           17           14           14           13      
57           1            30           1               0               0                   6            19           6            14           17           14           14           13      
58           1            30           1               0               0                   6            20           6            14           17           14           14           13      
59           1            30           1               0               0                   6            20           6            15           17           13           13           13      
60           2            30           1               0               0                   6            20           6            15           17           13           13           13      
61           2            30           1               0               0                   6            21           6            15           17           13           13           13      
62           2            30           1               0               0                   6            21           6            16           16           13           12           13      
63           3            30           1               0               0                   6            21           6            16           16           13           12           13      
64           3            30           1               0               0                   5            21           6            16           16           13           12           13      
65           3            30           1               0               0                   5            21           6            17           15           13           12           14      
66           4            30           1               0               0                   5            21           6            17           15           13           12           14      
67           4            30           1               0               0                   4            21           6            17           15           13           12           14      
68           4            30           1               0               0                   4            21           6            18           14           12           12           15      
69           5            30           1               0               0                   4            21           6            18           14           12           12           15      
70           5            30           1               0               0                   3            21           6            18           14           12           12           15      
71           5            30           1               0               0                   3            21           6            19           14           11           13           15      
72           6            30           1               0               0                   3            21           6            19           14           11           13           15      
73           6            30           1               0               0                   2            21           6            19           14           11           13           15      
74           6            30           1               0               0                   2            21           6            20           13           11           14           15      
75           7            30           1               0               0                   2            21           6            20           13           11           14           15      
76           7            30           1               0               0                   1            21           6            20           13           11           14           15      
77           7            30           1               0               0                   1            21           6            21           12           11           15           15      
78           8            30           1               0               0                   1            21           6            21           12           11           15           15      
79           8            30           1               0               0                   1            22           6            21           12           11           15           15      
80           8            30           1               0               0                   1            22           7            21           11           11           16           15      
81           9            30           1               0               0                   1            22           7            21           11           11           16           15      
82           9            30           1               0               0                   1            23           7            21           11           11           16           15      
83           9            30           1               0               0                   1            23           8            21           10           11           17           15      
84           10           30           1               0               0                   1            23           8            21           10           11           17           15      
85           10           30           1               0               0                   1            24           8            21           10           11           17           15      
86           10           30           1               0               0                   1            24           9            21           9            11           17           14      
87           11           30           1               0               0                   1            24           9            21           9            11           17           14      
88           11           30           1               0               0                   2            24           9            21           9            11           17           14      
89           11           30           1               0               0                   2            24           10           21           9            12           17           13      
90           12           30           1               0               0                   2            24           10           21           9            12           17           13      
91           12           30           1               0               0                   3            24           10           21           9            12           17           13      
92           12           30           1               0               0                   3            24           11           21           9            13           16           13      
93           13           30           1               0               0                   3            24           11           21           9            13           16           13      
94           13           30           1               0               0                   3            25           11           21           9            13           16           13      
95           13           30           1               0               0                   3            25           12           21           9            14           15           13      
96           14           30           1               0               0                   3            25           12           21           9            14           15           13      
97           14           30           1               0               0                   3            26           12           21           9            14           15           13      
98           14           30           1               0               0                   3            26           13           21           9            15           14           12      
99           15           30           1               0               0                   3            26           13           21           9            15           14           12      
100          15           30           1               0               0                   3            27           13           21           9            15           14           12      
101          15           30           1               0               0                   3            27           13           22           9            16           14           11      
102          16           30           1               0               0                   3            27           13           22           9            16           14           11      
103          16           30           0               -1              0                   4            27           13           22           9            16           14           11      
104          16           30           0               -1              0                   4            27           13           23           9            17           15           11      
105          16           29           0               -1              0                   4            27           13           23           9            17           15           11      
106          16           29           0               -1              0                   5            27           13           23           9            17           15           11      
107          16           29           0               -1              0                   5            27           13           24           9            18           16           11      
108          16           28           0               -1              0                   5            27           13           24           9            18           16           11      
109          16           28           0               -1              0                   6            27           13           24           9            18           16           11      
110          16           28           0               -1              0                   6            27           14           24           10           18           16           10      
111          16           27           0               -1              0                   6            27           14           24           10           18           16           10      
112          16           27           1               0               0                   6            26           14           24           10           18           16           10      
113          16           27           1               0               0                   6            26           15           24           11           18           16           9       
114          17           27           1               0               0                   6            26           15           24           11           18           16           9       
115          17           27           1               0               0                   6            25           15           24           11           18           16           9       
116          17           27           1               0               0                   6            25           16           24           12           18           16           8       
117          18           27           1               0               0                   6            25           16           24           12           18           16           8       
118          18           27           1               0               0                   6            24           16           24           12           18           16           8       
119          18           27           1               0               0                   6            24           17           24           13           18           17           8       
120          19           27           1               0               0                   6            24           17           24           13           18           17           8       
121          19           27           1               0               0                   7            24           17           24           13           18           17           8       
122          19           27           1               0               0                   7            24           18           24           14           18           18           8       
123          20           27           1               0               0                   7            24           18           24           14           18           18           8       
124          20           27           -1              0               0                   8            24           18           24           14           18           18           8       
125          20           27           -1              0               0                   8            24           19           24           15           18           19           8       
126          19           27           -1              0               0                   8            24           19           24           15           18           19           8       
127          19           27           -1              0               0                   9            24           19           24           15           18           19           8       
128          19           27           -1              0               0                   9            24           20           24           16           18           20           8       
129          18           27           -1              0               0                   9            24           20           24           16           18           20           8       
130          18           27           -1              0               0                   9            25           20           24           16           18           20           8       
131          18           27           -1              0               0                   9            25           21           24           17           18           20           7       
132          17           27           -1              0               0                   9            25           21           24           17           18           20           7       
133          17           27           -1              0               0                   9            26           21           24           17           18           20           7       
134          17           27           -1              0               0                   9            26           22           24           18           18           20           6       
135          16           27           -1              0               0                   9            26           22           24           18           18           20           6       
136          16           27           0               1               0                   9            27           22           24           18           18           20           6       
137          16           27           0               1               0                   9            27           23           24           19           18           20           5       
138          16           28           0               1               0                   9            27           23           24           19           18           20           5       
139          16           28           0               1               0                   10           27           23           24           19           18           20           5       
140          16           28           0               1               0                   10           27           23           25           20           18           19           5       
141          16           29           0               1               0                   10           27           23           25           20           18           19           5       
142          16           29           0               1               0                   11           27           23           25           20           18           19           5       
143          16           29           0               1               0                   11           27           23           26           20           19           18           5       
144          16           30           0               1               0                   11           27           23           26           20           19           18           5       
145          16           30           1               0               0                   12           27           23           26           20           19           18           5       
146          16           30           1               0               0                   12           27           23           27           20           20           17           5       
147          17           30           1               0               0                   12           27           23           27           20           20           17           5       
148          17           30           1               0               0                   13           27           23           27           20           20           17           5       
149          17           30           1               0               0                   13           27           24           27           20           21           16           5       
150          18           30           1               0               0                   13           27           24           27           20           21           16           5       
151          18           30           1               0               0                   13           28           24           27           20           21           16           5       
152          18           30           1               0               0                   13           28           25           27           19           21           16           4       
153          19           30           1               0               0                   13           28           25           27           19           21           16           4       
154          19           30           1               0               0                   13           29           25           27           19           21           16           4       
155          19           30           1               0               0                   13           29           26           27           18           21           16           3       
156          20           30           1               0               0                   13           29           26           27           18           21           16           3       
157          20           30           -1              0               0                   13           30           26           27           18           21           16           3       
158          20           30           -1              0               0                   13           30           26           26           17           21           16           2       
159          19           30           -1              0               0                   13           30           26           26           17           21           16           2       
160          19           30           -1              0               0                   14           30           26           26           17           21           16           2       
161          19           30           -1              0               0                   14           30           26           25           16           21           16           1       
162          18           30           -1              0               0                   14           30           26           25           16           21           16           1       
163          18           30           -1              0               0                   15           30           26           25           16           21           16           1       
164          18           30           -1              0               0                   15           30           26           24           16           22           17           1       
165          17           30           -1              0               0                   15           30           26           24           16           22           17           1       
166          17           30           1               0               0                   16           30           26           24           16           22           17           1       
167          17           30           1               0               0                   16           30           27           24           16           23           18           1       
168          18           30           1               0               0                   16           30           27           24           16           23           18           1       
169          18           30           1               0               0                   17           30           27           24           16           23           18           1       
170          18           30           1               0               0                   17           30           28           24           16           24           19           1       
171          19           30           1               0               0                   17           30           28           24           16           24           19           1       
172          19           30           1               0               0                   18           30           28           24           16           24           19           1       
173          19           30           1               0               0                   18           30           28           23           15           24           20           1       
174          20           30           1               0               0                   18           30           28           23           15           24           20           1       
175          20           30           1               0               0                   19           30           28           23           15           24           20           1       
176          20           30           1               0               0                   19           30           28           22           14           24           21           1       
177          21           30           1               0               0                   19           30           28           22           14           24           21           1       
178          21           30           1               0               0                   20           30           28           22           14           24           21           1       
179          21           30           1               0               0                   20           30           28           21           13           24           22           1       
180          22           30           1               0               0                   20           30           28           21           13           24           22           1       
181          22           30           1               0               0                   21           30           28           21           13           24           22           1       
182          22           30           1               0               0                   21           30           27           21           13           23           23           1       
183          23           30           1               0               0                   21           30           27           21           13           23           23           1       
184          23           30           1               0               0                   22           30           27           21           13           23           23           1       
185          23           30           1               0               0                   22           30           26           21           13           22           23           2       
186          24           30           1               0               0                   22           30           26           21           13           22           23           2       
187          24           30           1               0               0                   23           30           26           21           13           22           23           2       
188          24           30           1               0               0                   23           30           25           21           13           21           23           3       
189          25           30           1               0               0                   23           30           25           21           13           21           23           3       
190          25           30           1               0               0                   24           30           25           21           13           21           23           3       
191          25           30           1               0               0                   24           30           24           21           12           21           23           4       
192          26           30           1               0               0                   24           30           24           21           12           21           23           4       
193          26           30           1               0               0                   25           30           24           21           12           21           23           4       
194          26           30           1               0               0                   25           30           23           21           11           21           23           5       
195          27           30           1               0               0                   25           30           23           21           11           21           23           5       
196          27           30           1               0               0                   26           30           23           22           10           21           24           5       
197          28           30           1               0               0                   26           30           23           22           10           21           24           5       
198          28           30           0               -1              0                   26           30           23           22           10           21           24           5       
