timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           17           15           15           15           17           13      
5            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           11           17           14           16           15           16           13      
7            11           24           -1              0               0                   15           11           17           14           16           15           16           13      
8            11           24           -1              0               0                   15           11           17           13           17           15           15           13      
9            10           24           -1              0               0                   16           11           17           13           17           15           15           13      
10           9            24           -1              0               0                   16           10           16           13           17           14           14           13      
11           9            24           -1              0               0                   16           10           15           13           17           13           13           13      
12           8            24           -1              0               0                   16           9            15           13           17           13           13           13      
13           8            24           -1              0               0                   16           9            14           12           16           13           12           13      
14           7            24           -1              0               0                   16           8            14           12           16           13           12           13      
15           7            24           -1              0               0                   16           8            14           11           15           13           12           14      
16           6            24           -1              0               0                   16           8            14           11           15           13           12           14      
17           6            24           0               -1              0                   17           8            14           11           15           13           12           14      
18           6            23           0               -1              0                   18           8            15           11           14           13           12           15      
19           6            23           0               -1              0                   18           8            16           11           13           13           13           15      
20           6            22           0               -1              0                   19           8            16           11           13           13           13           15      
21           6            22           0               -1              0                   19           8            16           10           12           13           14           15      
22           6            21           0               -1              0                   20           8            16           10           12           13           14           15      
23           6            21           0               -1              0                   20           8            16           9            12           14           15           15      
24           6            20           0               -1              0                   20           7            16           9            12           14           15           15      
25           6            20           0               -1              0                   20           7            16           8            12           15           16           15      
26           6            19           0               -1              0                   20           6            16           8            12           15           16           15      
27           6            18           0               -1              0                   20           5            17           8            13           15           17           15      
28           6            18           0               -1              0                   20           5            18           8            14           15           17           14      
29           6            17           0               -1              0                   20           5            18           8            14           15           17           14      
30           6            17           0               -1              0                   19           5            18           8            14           15           17           14      
31           6            17           0               -1              0                   19           5            19           8            15           15           17           13      
32           6            16           0               -1              0                   18           5            19           8            15           15           17           13      
33           6            16           0               -1              0                   18           5            20           8            16           15           16           13      
34           6            15           0               -1              0                   17           5            20           8            16           15           16           13      
35           6            15           0               -1              0                   17           5            20           7            17           15           15           13      
36           6            14           0               -1              0                   17           5            20           7            17           15           15           13      
37           6            14           -1              0               0                   16           5            20           7            17           15           15           13      
38           6            14           -1              0               0                   16           5            20           6            17           14           14           13      
39           5            14           -1              0               0                   15           5            20           6            17           14           14           13      
40           5            14           -1              0               0                   15           5            20           5            17           13           13           13      
41           4            14           -1              0               0                   14           5            20           5            17           13           13           13      
42           4            14           -1              0               0                   14           5            19           5            16           13           12           13      
43           3            14           -1              0               0                   13           5            19           5            16           13           12           13      
44           3            14           -1              0               0                   13           5            18           5            15           13           12           14      
45           2            14           -1              0               0                   12           5            18           5            15           13           12           14      
46           2            14           -1              0               0                   12           5            17           5            14           12           12           15      
47           1            14           -1              0               0                   12           5            17           5            14           12           12           15      
48           1            14           -1              0               0                   11           5            17           5            14           12           12           15      
49           1            14           -1              0               0                   11           5            16           5            14           11           13           15      
50           0            14           -1              0               0                   11           5            16           5            14           11           13           15      
51           0            14           -1              0               0                   10           5            16           5            14           11           13           15      
52           0            14           -1              0               0                   10           5            15           5            13           11           14           15      
53           29           14           -1              0               0                   10           5            15           5            13           11           14           15      
54           29           14           -1              0               0                   9            5            15           5            13           11           14           15      
55           29           14           -1              0               0                   9            5            14           5            12           11           15           15      
56           28           14           -1              0               0                   9            5            14           5            12           11           15           15      
57           28           14           -1              0               0                   9            6            14           5            12           11           15           15      
58           28           14           -1              0               0                   9            6            13           5            11           11           16           15      
59           27           14           -1              0               0                   9            6            13           5            11           11           16           15      
60           27           14           -1              0               0                   9            7            13           5            11           11           16           15      
61           27           14           -1              0               0                   9            7            12           5            10           11           17           15      
62           26           14           -1              0               0                   9            7            12           5            10           11           17           15      
63           26           14           -1              0               0                   9            8            12           5            10           11           17           15      
64           26           14           -1              0               0                   9            8            11           5            9            11           17           14      
65           25           14           -1              0               0                   9            8            11           5            9            11           17           14      
66           25           14           -1              0               0                   10           8            11           5            9            11           17           14      
67           25           14           -1              0               0                   10           8            10           5            9            12           17           13      
68           24           14           -1              0               0                   10           8            10           5            9            12           17           13      
69           24           14           -1              0               0                   11           8            10           5            9            12           17           13      
70           24           14           -1              0               0                   11           8            9            5            9            13           16           13      
71           23           14           -1              0               0                   11           8            9            5            9            13           16           13      
72           23           14           0               -1              0                   12           8            9            5            9            13           16           13      
73           23           14           0               -1              0                   12           8            9            6            9            14           15           13      
74           23           13           0               -1              0                   12           8            9            6            9            14           15           13      
75           23           13           0               -1              0                   13           8            9            6            9            14           15           13      
76           23           13           0               -1              0                   13           8            9            7            9            15           14           12      
77           23           12           0               -1              0                   13           8            9            7            9            15           14           12      
78           23           12           0               -1              0                   13           9            9            7            9            15           14           12      
79           23           12           0               -1              0                   13           9            9            8            9            16           14           11      
80           23           11           0               -1              0                   13           9            9            8            9            16           14           11      
81           23           11           0               -1              0                   13           10           9            8            9            16           14           11      
82           23           11           0               -1              0                   13           10           10           8            9            17           15           11      
83           23           10           0               -1              0                   13           10           10           8            9            17           15           11      
84           23           10           0               -1              0                   13           11           10           8            9            17           15           11      
85           23           10           0               -1              0                   13           11           11           8            9            18           16           11      
86           23           9            0               -1              0                   13           11           11           8            9            18           16           11      
87           23           9            0               -1              0                   14           11           11           8            9            18           16           11      
88           23           9            0               -1              0                   14           11           12           8            10           18           16           10      
89           23           8            0               -1              0                   14           11           12           8            10           18           16           10      
90           23           8            1               0               0                   15           11           12           8            10           18           16           10      
91           23           8            1               0               0                   15           11           13           8            11           18           16           9       
92           24           8            1               0               0                   15           11           13           8            11           18           16           9       
93           24           8            1               0               0                   16           11           13           8            11           18           16           9       
94           24           8            1               0               0                   16           11           13           9            12           18           16           8       
95           25           8            1               0               0                   16           11           13           9            12           18           16           8       
96           25           8            1               0               0                   17           11           13           9            12           18           16           8       
97           25           8            1               0               0                   17           11           13           10           13           18           17           8       
98           26           8            1               0               0                   17           11           13           10           13           18           17           8       
99           26           8            1               0               0                   18           11           13           10           13           18           17           8       
100          26           8            1               0               0                   18           11           13           11           14           18           18           8       
101          27           8            1               0               0                   18           11           13           11           14           18           18           8       
102          27           8            1               0               0                   19           11           13           11           14           18           18           8       
103          28           8            1               0               0                   19           11           14           11           15           18           19           8       
104          28           8            1               0               0                   20           11           14           11           15           18           19           8       
105          28           8            0               -1              0                   20           11           15           11           16           18           20           8       
106          28           7            0               -1              0                   20           12           15           11           16           18           20           8       
107          28           7            0               -1              0                   20           12           16           11           17           18           20           7       
108          28           7            0               -1              0                   20           13           16           11           17           18           20           7       
109          28           6            0               -1              0                   20           13           16           11           17           18           20           7       
110          28           6            0               -1              0                   20           13           17           11           18           18           20           6       
111          28           5            0               -1              0                   20           14           17           11           18           18           20           6       
112          28           5            0               -1              0                   20           14           18           11           19           18           20           5       
113          28           5            0               -1              0                   21           14           18           11           19           18           20           5       
114          28           4            0               -1              0                   21           14           18           11           19           18           20           5       
115          28           4            0               -1              0                   21           14           19           11           20           18           21           5       
116          28           3            0               -1              1                   21           14           19           11           20           18           21           5       
117          28           3            0               -1              1                   22           14           19           11           20           18           21           5       
118          28           2            0               -1              1                   22           14           19           11           20           18           21           5       
119          28           1            0               -1              1                   22           14           20           11           20           17           22           5       
120          28           1            0               -1              1                   23           14           20           11           20           17           22           5       
121          28           1            0               -1              1                   23           14           20           12           20           16           23           5       
122          28           1            0               -1              1                   23           15           20           12           20           16           23           5       
123          28           1            0               1               1                   23           15           20           12           20           16           23           5       
124          28           2            0               1               1                   23           15           20           13           20           15           23           6       
125          28           3            0               1               1                   23           15           20           13           20           15           23           6       
126          28           3            0               1               1                   23           16           20           13           20           15           23           6       
127          28           4            0               1               1                   23           16           20           13           20           15           23           6       
128          28           5            0               1               1                   23           16           20           14           20           14           23           7       
129          28           6            0               1               1                   23           16           20           14           20           14           23           7       
130          28           7            0               1               1                   23           17           20           14           20           14           23           7       
131          28           8            0               1               1                   23           17           20           14           20           14           23           7       
132          28           8            -1              0               1                   23           17           20           14           20           14           23           7       
133          28           8            -1              0               1                   23           17           20           15           20           13           23           8       
134          27           8            -1              0               1                   23           17           20           15           20           13           23           8       
135          26           8            -1              0               1                   23           18           20           15           20           13           23           8       
136          25           8            -1              0               1                   23           18           20           15           20           13           23           8       
137          25           8            -1              0               1                   23           18           20           16           20           12           23           9       
138          24           8            -1              0               1                   23           18           20           16           20           12           23           9       
139          24           8            -1              0               1                   23           18           20           16           20           12           16           15      
140          24           8            -1              0               1                   23           19           20           16           20           12           16           15      
141          23           8            -1              0               1                   23           19           20           16           20           12           16           15      
142          23           8            -1              0               1                   23           19           20           16           20           12           17           15      
143          23           8            -1              0               1                   23           19           20           16           20           12           17           14      
144          23           8            -1              0               1                   23           19           20           17           20           11           17           14      
145          23           8            -1              0               1                   23           19           20           17           20           11           17           13      
146          23           8            -1              0               1                   23           20           20           17           20           11           17           13      
147          23           8            -1              0               1                   23           20           20           17           20           11           16           13      
148          23           8            0               1               1                   23           20           20           17           20           11           16           13      
149          23           9            0               1               1                   23           20           20           18           19           11           15           13      
150          23           10           0               1               1                   23           20           20           18           19           11           14           13      
151          23           10           0               1               1                   23           21           20           18           19           11           14           13      
152          23           11           0               1               1                   23           21           20           18           19           11           13           13      
153          23           12           0               1               1                   23           21           19           18           18           11           13           13      
154          23           12           0               1               1                   23           21           19           18           18           11           12           13      
155          23           13           0               1               1                   23           21           19           18           18           11           12           13      
156          23           13           0               1               1                   22           21           19           18           18           11           12           14      
157          23           14           0               1               1                   22           21           19           18           18           11           12           14      
158          23           14           0               1               1                   22           21           19           18           18           11           12           15      
159          23           14           0               1               1                   22           21           18           18           17           11           12           15      
160          23           15           0               1               1                   22           21           18           18           17           11           12           15      
161          23           15           0               1               1                   22           21           18           18           17           11           13           15      
162          23           16           0               1               1                   22           21           18           18           17           11           13           15      
163          23           16           0               1               1                   21           21           18           18           17           11           14           15      
164          23           17           0               1               1                   21           21           18           18           17           11           14           15      
165          23           17           0               1               1                   21           21           18           18           17           11           15           15      
166          23           17           0               1               1                   21           21           17           18           16           11           15           15      
167          23           18           0               1               1                   21           21           17           18           16           11           15           15      
168          23           18           0               1               1                   21           21           17           18           16           11           16           15      
169          23           19           0               1               1                   20           21           17           18           16           11           16           15      
170          23           19           0               1               1                   20           21           17           18           16           11           17           15      
171          23           20           0               1               1                   20           21           17           18           16           11           17           15      
172          23           20           0               1               1                   20           21           17           18           16           11           17           14      
173          23           20           0               1               1                   20           21           16           18           16           10           17           14      
174          23           21           0               1               1                   20           21           16           18           16           10           17           14      
175          23           21           -1              0               1                   20           21           16           18           16           10           17           13      
176          22           21           -1              0               1                   19           21           16           18           16           10           17           13      
177          22           21           -1              0               1                   19           21           16           18           16           10           16           13      
178          21           21           -1              0               1                   19           21           16           18           16           10           16           13      
179          21           21           -1              0               1                   19           21           16           18           16           10           15           13      
180          21           21           -1              0               1                   19           21           15           18           16           9            15           13      
181          20           21           -1              0               1                   19           21           15           18           16           9            15           13      
182          20           21           -1              0               1                   19           21           15           18           16           9            14           13      
183          20           21           -1              0               1                   15           14           15           18           16           9            14           13      
184          19           21           -1              0               1                   15           14           15           18           16           9            14           13      
185          19           21           -1              0               1                   15           14           15           18           16           9            13           13      
186          19           21           -1              0               1                   15           13           15           18           16           9            13           13      
187          18           21           -1              0               1                   15           13           15           18           16           9            13           13      
188          18           21           -1              0               1                   15           13           14           18           16           8            12           13      
189          18           21           -1              0               1                   14           13           14           18           16           8            12           13      
190          17           21           -1              0               1                   14           13           14           18           16           8            12           13      
191          17           21           -1              0               1                   13           13           14           18           16           8            12           14      
192          16           21           -1              0               1                   13           13           14           18           16           8            12           14      
193          16           21           -1              0               1                   12           13           14           18           16           8            12           15      
194          16           21           -1              0               1                   12           13           13           18           17           8            12           15      
195          16           21           0               1               1                   12           14           13           18           17           8            13           15      
196          16           22           0               1               1                   12           14           13           18           17           8            13           15      
197          16           22           0               1               1                   12           15           13           18           17           8            14           15      
198          16           23           0               1               1                   12           15           13           18           17           8            14           15      
199          16           23           0               1               1                   13           15           13           18           17           8            15           15      
200          16           23           0               1               1                   13           15           12           18           18           8            15           15      
201          16           24           0               1               1                   13           15           12           18           18           8            15           15      
202          16           24           0               1               1                   14           15           12           18           18           8            15           15      
203          16           24           0               1               1                   14           15           12           18           18           8            16           15      
204          16           24           0               1               1                   15           15           12           18           18           8            16           15      
205          16           24           0               1               1                   15           15           12           18           18           8            17           15      
206          16           24           1               0               1                   15           15           12           18           18           8            17           15      
207          16           24           1               0               1                   16           15           12           18           18           8            17           15      
208          16           24           1               0               1                   16           15           11           18           19           8            17           14      
209          17           24           1               0               1                   16           15           11           18           19           8            17           14      
210          17           24           1               0               1                   17           15           11           18           19           8            17           14      
211          17           24           1               0               1                   17           15           11           18           19           8            17           13      
212          18           24           1               0               1                   17           15           11           18           19           8            17           13      
213          18           24           1               0               1                   17           14           11           18           19           8            17           13      
214          18           24           1               0               1                   17           14           11           18           19           8            16           13      
215          19           24           1               0               1                   17           14           11           18           19           8            16           13      
216          19           24           1               0               1                   17           13           11           18           19           8            16           13      
217          19           24           1               0               1                   17           13           10           18           20           8            15           13      
218          20           24           1               0               1                   17           13           10           18           20           8            15           13      
219          20           24           1               0               1                   16           13           10           18           20           8            14           13      
220          21           24           1               0               1                   16           13           10           18           20           8            14           13      
221          21           24           1               0               1                   15           13           10           18           20           8            13           13      
222          22           24           1               0               1                   15           13           10           18           20           8            13           13      
223          22           24           1               0               1                   14           12           10           18           20           8            12           13      
224          23           24           1               0               1                   14           12           10           18           20           8            12           13      
225          23           24           1               0               1                   14           12           9            18           20           7            12           13      
226          23           24           1               0               1                   14           11           9            18           20           7            12           14      
227          23           24           1               0               1                   15           11           9            18           20           7            12           15      
228          23           24           1               0               1                   16           11           9            18           20           7            13           15      
229          23           24           1               0               1                   16           11           9            17           20           6            13           15      
230          23           24           0               1               1                   16           11           9            17           20           6            13           15      
231          23           24           0               1               1                   17           11           9            17           20           6            14           15      
232          23           25           0               1               1                   17           11           9            17           20           6            14           15      
233          23           25           0               1               0                   17           11           9            17           20           6            14           15      
234          23           25           0               1               0                   18           11           9            17           20           6            15           15      
235          23           26           0               1               0                   18           11           9            16           20           5            15           15      
236          23           26           0               1               0                   19           11           9            16           20           5            16           15      
237          23           27           0               1               0                   19           11           9            15           21           5            16           15      
238          23           27           0               1               0                   20           11           9            15           21           5            17           15      
239          23           27           0               1               0                   20           11           9            14           22           5            17           15      
240          23           27           0               1               0                   20           12           9            14           22           5            17           14      
241          23           27           0               1               0                   20           12           8            14           23           5            17           14      
242          23           27           1               0               0                   20           13           8            14           23           5            17           13      
243          23           27           1               0               0                   20           13           7            14           23           6            17           13      
244          24           27           1               0               0                   20           13           7            14           23           6            17           13      
