timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
1            13           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
3            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
4            11           24           -1              0               0                   14           11           17           15           15           15           17           13      
5            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
6            10           24           -1              0               0                   13           11           17           14           16           15           16           13      
7            10           24           -1              0               0                   12           11           17           13           17           15           15           13      
8            9            24           -1              0               0                   12           11           17           13           17           15           15           13      
9            9            24           -1              0               0                   11           11           16           13           17           14           14           13      
10           8            24           -1              0               0                   11           11           16           13           17           14           14           13      
11           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
12           6            24           -1              0               0                   9            11           14           12           16           13           12           13      
13           6            24           0               1               0                   9            11           14           12           16           13           12           13      
14           6            24           0               1               0                   9            12           14           11           15           13           12           14      
15           6            25           0               1               0                   9            12           14           11           15           13           12           14      
16           6            26           0               1               0                   9            12           14           11           15           13           12           14      
17           6            26           0               1               0                   9            14           16           11           13           13           13           15      
18           6            27           0               1               0                   9            14           16           11           13           13           13           15      
19           6            27           0               1               0                   7            14           16           9            12           14           15           15      
20           6            27           0               1               0                   6            15           17           8            13           15           17           15      
21           6            27           -1              0               0                   6            15           17           8            13           15           17           15      
22           5            27           -1              0               0                   6            15           17           8            13           15           17           15      
23           4            27           -1              0               0                   6            15           17           8            13           15           17           15      
24           4            27           -1              0               0                   6            18           20           8            16           15           16           13      
25           3            27           -1              0               0                   6            18           20           8            16           15           16           13      
26           2            27           -1              0               0                   6            18           20           8            16           15           16           13      
27           1            27           -1              0               0                   6            18           20           8            16           15           16           13      
28           1            27           -1              0               0                   6            21           20           5            17           13           13           13      
29           1            27           -1              0               0                   3            21           17           5            14           12           12           15      
30           1            27           0               1               0                   3            21           17           5            14           12           12           15      
31           1            28           0               1               0                   3            21           17           5            14           12           12           15      
32           1            29           0               1               0                   3            21           17           5            14           12           12           15      
33           1            30           0               1               0                   3            21           17           5            14           12           12           15      
34           1            30           0               1               0                   1            23           13           5            11           11           16           15      
35           1            30           0               1               0                   3            25           9            5            9            13           16           13      
36           1            30           1               0               0                   3            25           9            5            9            13           16           13      
37           2            30           1               0               0                   3            25           9            5            9            13           16           13      
38           3            30           1               0               0                   3            25           9            5            9            13           16           13      
39           4            30           1               0               0                   3            25           9            5            9            13           16           13      
40           5            30           1               0               0                   3            25           9            5            9            13           16           13      
41           5            30           1               0               0                   5            27           6            6            6            14           15           11      
42           6            30           1               0               0                   5            27           6            6            6            14           15           11      
43           7            30           1               0               0                   5            27           6            6            6            14           15           11      
44           8            30           1               0               0                   5            27           6            6            6            14           15           11      
45           9            30           1               0               0                   5            27           6            6            6            14           15           11      
46           10           30           1               0               0                   5            27           6            6            6            14           15           11      
47           10           30           1               0               0                   7            24           6            11           1            14           17           8       
48           11           30           1               0               0                   7            24           6            11           1            14           17           8       
49           12           30           1               0               0                   7            24           6            11           1            14           17           8       
50           13           30           1               0               0                   7            24           6            11           1            14           17           8       
51           14           30           1               0               0                   7            24           6            11           1            14           17           8       
52           15           30           1               0               0                   7            24           6            11           1            14           17           8       
53           16           30           1               0               0                   7            24           6            11           1            14           17           8       
54           16           30           1               0               0                   10           27           9            14           25           14           20           5       
55           17           30           1               0               0                   10           27           9            14           25           14           20           5       
56           18           30           1               0               0                   10           27           9            14           25           14           20           5       
57           19           30           1               0               0                   10           27           9            14           25           14           20           5       
58           20           30           1               0               0                   10           27           9            14           25           14           20           5       
59           21           30           1               0               0                   10           27           9            14           25           14           20           5       
60           22           30           1               0               0                   10           27           9            14           25           14           20           5       
61           22           30           1               0               0                   13           30           11           18           23           18           16           3       
62           23           30           1               0               0                   13           30           11           18           23           18           16           3       
63           24           30           1               0               0                   13           30           11           18           23           18           16           3       
64           25           30           1               0               0                   13           30           11           18           23           18           16           3       
65           26           30           1               0               0                   13           30           11           18           23           18           16           3       
66           27           30           1               0               0                   13           30           11           18           23           18           16           3       
67           28           30           1               0               0                   13           30           11           18           23           18           16           3       
68           28           30           1               0               0                   20           30           18           18           27           21           21           1       
69           28           30           1               0               0                   28           30           23           21           26           26           25           5       
