timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
1            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
2            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
3            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
4            10           24           -1              0               0                   12           11           17           13           17           15           15           13      
5            9            24           -1              0               0                   11           11           16           13           17           14           14           13      
6            8            24           -1              0               0                   10           11           15           13           17           13           13           13      
7            7            24           -1              0               0                   9            11           14           12           16           13           12           13      
8            6            24           -1              0               0                   9            12           14           11           15           13           12           14      
9            6            24           0               -1              0                   9            12           14           11           15           13           12           14      
10           6            23           0               -1              0                   9            13           13           11           14           13           12           15      
11           6            22           0               -1              0                   9            14           12           11           13           13           13           15      
12           6            21           0               -1              0                   8            14           11           11           12           13           14           15      
13           6            21           -1              0               0                   8            14           11           11           12           13           14           15      
14           5            21           -1              0               0                   7            14           10           11           12           14           15           15      
15           4            21           -1              0               0                   6            14           9            11           12           15           16           15      
16           3            21           -1              0               0                   6            15           9            12           13           15           17           15      
17           2            21           -1              0               0                   6            16           9            13           14           15           17           15      
18           2            21           -1              0               0                   6            16           9            13           14           15           17           14      
19           1            21           -1              0               0                   6            17           9            14           15           15           17           14      
20           1            21           0               1               0                   6            17           9            14           15           15           17           13      
21           1            22           0               1               0                   6            18           8            14           16           15           17           13      
22           1            22           0               1               0                   6            18           8            14           16           15           16           13      
23           1            23           0               1               0                   6            19           7            14           17           15           16           13      
24           1            23           0               1               0                   6            19           7            14           17           15           15           13      
25           1            24           0               1               1                   6            19           7            14           17           15           15           13      
26           1            24           0               1               1                   6            20           6            14           17           14           15           13      
27           1            24           0               -1              1                   6            20           6            14           17           14           14           13      
28           1            23           0               -1              1                   6            20           6            14           17           14           14           13      
29           1            22           0               -1              1                   6            20           6            14           17           14           14           13      
30           1            22           0               -1              1                   6            21           6            13           17           13           14           13      
31           1            21           0               -1              1                   6            21           6            13           17           13           14           13      
32           1            21           1               0               1                   6            21           6            13           17           13           13           13      
33           2            21           1               0               1                   6            21           6            13           17           13           13           13      
34           3            21           1               0               1                   6            21           6            13           17           13           13           13      
35           3            21           1               0               1                   7            21           6            12           16           13           13           13      
36           4            21           1               0               1                   7            21           6            12           16           13           12           13      
37           5            21           1               0               1                   7            21           6            12           16           13           12           13      
38           6            21           1               0               1                   7            21           6            12           16           13           12           13      
39           6            21           1               0               1                   8            21           6            11           15           13           12           13      
40           6            21           1               0               1                   15           14           6            11           15           13           12           13      
41           7            21           1               0               1                   15           14           6            11           15           13           12           14      
42           7            21           1               0               1                   15           13           6            11           15           13           12           14      
43           8            21           1               0               1                   15           13           6            11           15           13           12           14      
44           8            21           1               0               1                   14           13           6            11           15           13           12           14      
45           9            21           1               0               1                   14           13           6            10           14           12           12           14      
46           9            21           1               0               1                   13           13           6            10           14           12           12           15      
47           10           21           1               0               1                   13           13           6            10           14           12           12           15      
48           10           21           1               0               1                   12           13           6            10           14           12           12           15      
49           11           21           1               0               1                   12           13           6            10           14           12           12           15      
50           11           21           1               0               1                   12           14           6            10           14           12           12           15      
51           12           21           1               0               1                   12           14           6            9            14           11           12           15      
52           12           21           1               0               1                   12           15           6            9            14           11           13           15      
53           13           21           1               0               1                   12           15           6            9            14           11           13           15      
54           13           21           1               0               1                   13           15           6            9            14           11           13           15      
55           13           21           1               0               1                   14           15           6            8            15           11           13           15      
