timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
1            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
2            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
3            11           24           -1              0               0                   15           11           17           14           16           15           16           13      
4            10           24           -1              0               0                   16           11           17           13           17           15           15           13      
5            9            24           -1              0               0                   17           11           16           13           17           14           14           13      
6            8            24           -1              0               0                   18           11           15           13           17           13           13           13      
7            7            24           -1              0               0                   19           11           14           12           16           13           12           13      
8            6            24           -1              0               0                   20           11           14           11           15           13           12           14      
9            6            24           -1              0               0                   20           12           13           11           14           13           12           15      
10           6            24           -1              0               0                   20           13           12           11           13           13           13           15      
11           6            24           -1              0               0                   20           14           11           11           12           13           14           15      
12           6            24           -1              0               0                   20           15           10           11           12           14           15           15      
13           6            24           -1              0               0                   20           16           9            11           12           15           16           15      
14           6            24           -1              0               0                   20           17           9            12           13           15           17           15      
15           6            24           -1              0               0                   20           18           9            13           14           15           17           14      
16           6            24           0               1               0                   19           18           9            14           15           15           17           13      
17           6            25           0               1               0                   19           18           9            14           15           15           17           13      
18           6            25           0               1               0                   18           18           8            14           16           15           16           13      
19           6            26           0               1               0                   18           18           8            14           16           15           16           13      
20           6            26           0               1               0                   17           18           7            14           17           15           15           13      
21           6            27           0               1               0                   17           18           7            14           17           15           15           13      
22           6            27           -1              0               0                   16           18           6            14           17           14           14           13      
23           5            27           -1              0               0                   16           18           6            14           17           14           14           13      
24           5            27           -1              0               0                   15           18           5            14           17           13           13           13      
25           4            27           -1              0               0                   15           18           5            14           17           13           13           13      
26           4            27           -1              0               0                   14           18           4            14           16           13           12           13      
27           3            27           -1              0               0                   14           18           4            14           16           13           12           13      
28           3            27           -1              0               0                   13           18           3            14           15           13           12           14      
29           2            27           -1              0               0                   13           18           3            14           15           13           12           14      
30           2            27           -1              0               0                   12           18           2            14           14           12           12           15      
31           1            27           -1              0               0                   12           18           2            14           14           12           12           15      
32           1            27           -1              0               0                   11           18           1            14           14           11           13           15      
33           1            27           -1              0               0                   10           18           0            14           13           11           14           15      
34           1            27           -1              0               0                   9            18           29           14           12           11           15           15      
35           1            27           -1              0               0                   9            19           28           14           11           11           16           15      
36           1            27           -1              0               0                   9            20           27           14           10           11           17           15      
37           1            27           -1              0               0                   9            21           26           14           9            11           17           14      
38           1            27           -1              0               0                   8            21           25           14           9            12           17           13      
39           1            27           -1              0               0                   7            21           24           14           9            13           16           13      
40           1            27           -1              0               0                   6            21           23           14           9            14           15           13      
41           1            27           -1              0               0                   6            22           23           15           9            15           14           12      
42           1            27           -1              0               0                   6            23           23           16           9            16           14           11      
