timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
3            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
4            12           24           -1              0               0                   13           11           17           14           16           15           16           13      
5            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
6            10           24           -1              0               0                   12           11           17           13           17           15           15           13      
7            9            24           -1              0               0                   11           11           16           13           17           14           14           13      
8            8            24           -1              0               0                   10           11           15           13           17           13           13           13      
9            8            24           -1              0               0                   9            11           14           12           16           13           12           13      
10           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
11           6            24           -1              0               0                   9            12           14           11           15           13           12           14      
12           6            24           0               1               0                   9            12           14           11           15           13           12           14      
13           6            25           0               1               0                   9            13           13           11           14           13           12           15      
14           6            26           0               1               0                   9            14           12           11           13           13           13           15      
15           6            26           0               1               0                   8            14           11           11           12           13           14           15      
16           6            27           0               1               0                   8            14           11           11           12           13           14           15      
17           6            27           -1              0               0                   8            14           11           11           12           13           14           15      
18           5            27           -1              0               0                   7            14           10           11           12           14           15           15      
19           4            27           -1              0               0                   6            14           9            11           12           15           16           15      
20           3            27           -1              0               0                   5            14           9            12           13           15           17           15      
21           3            27           -1              0               0                   4            14           9            13           14           15           17           14      
22           2            27           -1              0               0                   4            14           9            13           14           15           17           14      
23           1            27           -1              0               0                   3            14           9            14           15           15           17           13      
24           1            27           0               1               0                   3            14           9            14           15           15           17           13      
25           1            28           0               1               0                   2            14           9            15           16           15           16           13      
26           1            29           0               1               0                   1            14           9            16           17           15           15           13      
27           1            29           0               1               0                   0            14           9            17           17           14           14           13      
28           1            30           0               1               0                   0            14           9            17           17           14           14           13      
29           1            30           1               0               0                   0            14           9            17           17           14           14           13      
30           2            30           1               0               0                   29           14           9            18           17           13           13           13      
31           3            30           1               0               0                   28           14           9            19           16           13           12           13      
32           4            30           1               0               0                   27           14           9            20           15           13           12           14      
33           4            30           1               0               0                   26           14           9            21           14           12           12           15      
34           5            30           1               0               0                   26           14           9            21           14           12           12           15      
35           6            30           1               0               0                   25           14           8            21           14           11           13           15      
36           7            30           1               0               0                   24           14           7            21           13           11           14           15      
37           8            30           1               0               0                   23           14           6            21           12           11           15           15      
38           8            30           1               0               0                   23           15           6            22           11           11           16           15      
39           9            30           1               0               0                   23           15           6            22           11           11           16           15      
40           10           30           1               0               0                   23           16           6            23           10           11           17           15      
41           11           30           1               0               0                   23           17           6            24           9            11           17           14      
42           11           30           1               0               0                   23           18           7            24           9            12           17           13      
43           12           30           1               0               0                   23           18           7            24           9            12           17           13      
44           12           30           1               0               0                   23           19           8            24           9            13           16           13      
45           13           30           1               0               0                   23           19           8            24           9            13           16           13      
46           14           30           1               0               0                   23           20           9            24           9            14           15           13      
47           15           30           1               0               0                   23           21           10           24           9            15           14           12      
48           16           30           1               0               0                   22           21           11           24           9            16           14           11      
49           16           30           1               0               0                   21           21           12           24           9            17           15           11      
50           17           30           1               0               0                   21           21           12           24           9            17           15           11      
51           18           30           1               0               0                   20           21           13           24           9            18           16           11      
52           19           30           1               0               0                   19           21           14           24           9            19           17           11      
53           20           30           1               0               0                   18           21           15           24           9            20           18           11      
54           20           30           1               0               0                   17           21           16           24           9            21           19           11      
55           21           30           1               0               0                   17           21           16           24           9            21           19           11      
56           22           30           1               0               0                   16           21           17           24           10           21           20           11      
57           23           30           1               0               0                   16           22           18           24           11           21           20           12      
58           24           30           1               0               0                   16           23           19           24           12           21           20           13      
59           24           30           1               0               0                   16           24           20           24           13           21           20           14      
60           25           30           1               0               0                   16           24           20           24           13           21           20           14      
61           26           30           1               0               0                   17           24           21           24           13           22           21           14      
62           27           30           1               0               0                   18           24           22           24           13           23           22           14      
63           28           30           1               0               0                   19           24           23           24           13           24           23           14      
64           28           30           0               -1              0                   19           24           23           24           13           24           23           14      
65           28           30           0               -1              0                   20           24           23           25           14           24           23           15      
66           28           29           0               -1              0                   20           24           23           25           14           24           23           15      
67           28           28           0               -1              0                   21           24           23           26           15           24           23           16      
68           28           27           0               -1              0                   22           24           23           27           16           24           23           17      
69           28           27           -1              0               0                   22           24           23           27           16           24           23           17      
70           27           27           -1              0               0                   23           24           24           27           17           24           23           18      
71           27           27           -1              0               0                   23           25           25           27           18           24           23           19      
