timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           16           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           1               0               0                   14           12           16           15           14           15           17           14      
5            13           24           1               0               0                   14           11           17           15           15           15           17           13      
6            14           24           1               0               0                   14           11           17           15           15           15           17           13      
7            14           24           1               0               0                   13           11           17           14           16           15           16           13      
8            15           24           1               0               0                   13           11           17           14           16           15           16           13      
9            15           24           1               0               0                   13           10           17           13           17           15           16           13      
10           16           24           1               0               0                   13           10           17           13           17           15           15           13      
11           16           24           1               0               0                   13           9            16           13           17           14           15           13      
12           17           24           1               0               0                   13           9            16           13           17           14           14           13      
13           17           24           1               0               0                   13           8            15           13           17           13           14           13      
14           18           24           1               0               0                   13           8            15           13           17           13           13           13      
15           18           24           1               0               0                   12           8            14           12           16           13           12           13      
16           19           24           1               0               0                   12           8            14           12           16           13           12           13      
17           19           24           1               0               0                   11           8            14           11           15           13           12           14      
18           20           24           1               0               0                   11           8            14           11           15           13           12           14      
19           20           24           1               0               0                   10           8            15           11           14           13           12           15      
20           21           24           1               0               0                   10           8            15           11           14           13           12           15      
21           21           24           1               0               0                   9            8            16           11           13           13           13           15      
22           22           24           1               0               0                   9            8            16           11           13           13           13           15      
23           22           24           1               0               0                   9            7            17           11           12           13           13           15      
24           23           24           1               0               0                   9            7            17           11           12           13           13           15      
25           23           24           0               -1              0                   9            7            17           11           12           13           14           15      
26           23           24           0               -1              0                   9            6            18           11           12           14           14           15      
27           23           23           0               -1              0                   9            6            18           11           12           14           15           15      
28           23           23           0               -1              0                   9            5            19           11           12           15           15           15      
29           23           22           0               -1              0                   9            5            19           11           12           15           16           15      
30           23           22           0               -1              0                   10           5            20           11           13           15           16           15      
31           23           21           0               -1              0                   10           5            20           11           13           15           17           15      
32           23           21           0               -1              0                   11           5            20           12           14           15           17           15      
33           23           20           0               -1              0                   11           5            20           12           14           15           17           15      
34           23           20           0               -1              0                   11           5            20           12           14           15           17           14      
35           23           20           0               -1              0                   12           5            20           13           15           15           17           14      
36           23           19           0               -1              0                   12           5            20           13           15           15           17           14      
37           23           19           0               -1              0                   12           5            20           13           15           15           17           13      
38           23           19           0               -1              0                   13           5            20           14           16           15           17           13      
39           23           18           0               -1              0                   13           5            20           14           16           15           16           13      
40           23           18           0               -1              0                   14           5            21           14           17           15           16           13      
41           23           17           0               -1              0                   14           5            21           14           17           15           15           13      
42           23           17           0               -1              0                   15           5            22           14           17           14           15           13      
43           23           16           0               -1              0                   15           5            22           14           17           14           14           13      
