timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            13           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
7            12           24           -1              0               0                   13           11           17           14           16           15           16           13      
8            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
9            11           24           -1              0               0                   13           11           17           13           17           15           15           13      
10           11           24           -1              0               0                   12           11           17           13           17           15           15           13      
11           10           24           -1              0               0                   12           11           17           13           17           15           15           13      
12           10           24           -1              0               0                   12           11           16           13           17           14           14           13      
13           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
14           9            24           -1              0               0                   11           11           15           13           17           13           13           13      
15           9            24           -1              0               0                   10           11           15           13           17           13           13           13      
16           8            24           -1              0               0                   10           11           15           13           17           13           13           13      
17           8            24           -1              0               0                   10           11           14           12           16           13           12           13      
18           8            24           -1              0               0                   9            11           14           12           16           13           12           13      
19           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
20           7            24           -1              0               0                   9            11           14           11           15           13           12           14      
21           7            24           -1              0               0                   9            12           14           11           15           13           12           14      
22           6            24           -1              0               0                   9            12           14           11           15           13           12           14      
23           6            24           -1              0               0                   9            12           13           11           14           13           12           15      
24           6            24           -1              0               0                   9            13           13           11           14           13           12           15      
25           6            24           -1              0               0                   9            13           12           11           13           13           13           15      
26           6            24           -1              0               0                   9            14           12           11           13           13           13           15      
27           6            24           -1              0               0                   9            14           11           11           12           13           14           15      
28           6            24           -1              0               0                   9            15           11           11           12           13           14           15      
29           6            24           -1              0               0                   9            15           10           11           12           14           15           15      
30           6            24           -1              0               0                   9            16           10           11           12           14           15           15      
31           6            24           -1              0               0                   9            16           9            11           12           15           16           15      
32           6            24           -1              0               0                   9            17           9            11           12           15           16           15      
33           6            24           -1              0               0                   9            17           9            12           13           15           17           15      
34           6            24           -1              0               0                   9            18           9            12           13           15           17           15      
35           6            24           -1              0               0                   9            18           9            13           14           15           17           14      
36           6            24           -1              0               0                   9            19           9            13           14           15           17           14      
37           6            24           -1              0               0                   9            19           9            14           15           15           17           13      
38           6            24           -1              0               0                   9            20           9            14           15           15           17           13      
39           6            24           -1              0               0                   9            20           8            14           16           15           16           13      
40           6            24           -1              0               0                   9            21           8            14           16           15           16           13      
41           6            24           -1              0               0                   9            21           7            14           17           15           15           13      
42           6            24           -1              0               0                   8            21           7            14           17           15           15           13      
43           6            24           -1              0               0                   8            21           6            14           17           14           14           13      
44           6            24           -1              0               0                   7            21           6            14           17           14           14           13      
45           6            24           -1              0               0                   7            21           6            15           17           13           13           13      
46           6            24           -1              0               0                   6            21           6            15           17           13           13           13      
47           6            24           0               1               0                   6            21           6            16           16           13           12           13      
48           6            24           0               1               0                   6            22           6            16           16           13           12           13      
49           6            25           0               1               0                   6            22           6            16           16           13           12           13      
50           6            25           0               1               0                   6            22           6            17           15           13           12           14      
51           6            26           0               1               0                   6            23           6            17           15           13           12           14      
52           6            26           0               1               0                   6            23           6            18           14           12           12           15      
53           6            27           0               1               0                   6            23           6            18           14           12           12           15      
54           6            27           0               1               0                   6            24           6            19           14           11           13           15      
55           6            27           0               1               0                   6            25           6            20           13           11           14           15      
56           6            27           -1              0               0                   6            25           6            20           13           11           14           15      
57           5            27           -1              0               0                   6            26           6            21           12           11           15           15      
58           4            27           -1              0               0                   6            27           5            21           11           11           16           15      
59           3            27           -1              0               0                   5            27           4            21           10           11           17           15      
60           2            27           -1              0               0                   4            27           3            21           9            11           17           14      
61           1            27           -1              0               0                   4            27           3            21           9            11           17           14      
62           1            27           -1              0               0                   3            27           2            21           9            12           17           13      
