timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            13           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
7            12           24           -1              0               0                   13           11           17           14           16           15           16           13      
8            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
9            11           24           -1              0               0                   12           11           17           13           17           15           15           13      
10           10           24           -1              0               0                   12           11           17           13           17           15           15           13      
11           10           24           -1              0               0                   11           11           16           13           17           14           14           13      
12           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
13           9            24           0               1               0                   11           11           16           13           17           14           14           13      
14           9            24           0               1               0                   10           11           15           13           17           13           13           13      
15           9            25           0               1               0                   10           11           15           13           17           13           13           13      
16           9            25           0               1               0                   9            11           14           12           16           13           12           13      
17           9            26           0               1               0                   9            11           14           12           16           13           12           13      
18           9            26           0               1               0                   9            12           14           11           15           13           12           14      
19           9            27           0               1               0                   9            12           14           11           15           13           12           14      
20           9            27           1               0               0                   9            12           14           11           15           13           12           14      
21           9            27           1               0               0                   9            13           13           11           14           13           12           15      
22           10           27           1               0               0                   9            13           13           11           14           13           12           15      
23           10           27           1               0               0                   9            14           12           11           13           13           13           15      
24           11           27           1               0               0                   9            14           12           11           13           13           13           15      
25           11           27           1               0               0                   9            15           11           11           12           13           14           15      
26           12           27           1               0               0                   9            15           11           11           12           13           14           15      
27           12           27           1               0               0                   9            16           10           11           12           14           15           15      
28           13           27           1               0               0                   9            16           10           11           12           14           15           15      
29           13           27           0               1               0                   9            16           10           11           12           14           15           15      
30           13           27           0               1               0                   9            17           9            11           12           15           16           15      
31           13           28           0               1               0                   9            17           9            11           12           15           16           15      
32           13           29           0               1               0                   9            18           9            12           13           15           17           15      
33           13           29           0               1               0                   10           18           9            13           14           15           17           14      
34           13           30           0               1               0                   10           18           9            13           14           15           17           14      
35           13           30           1               0               0                   10           18           9            13           14           15           17           14      
36           13           30           1               0               0                   11           18           9            14           15           15           17           13      
37           14           30           1               0               0                   11           18           9            14           15           15           17           13      
38           14           30           1               0               0                   12           18           9            15           16           15           16           13      
39           15           30           1               0               0                   12           18           9            15           16           15           16           13      
40           15           30           1               0               0                   13           18           9            16           17           15           15           13      
41           16           30           1               0               0                   13           18           9            16           17           15           15           13      
42           16           30           0               -1              0                   13           18           9            16           17           15           15           13      
43           16           30           0               -1              0                   14           18           9            17           17           14           14           13      
44           16           29           0               -1              0                   14           18           9            17           17           14           14           13      
45           16           29           0               -1              0                   15           18           9            18           17           13           13           13      
46           16           28           0               -1              0                   15           18           9            18           17           13           13           13      
47           16           28           0               -1              0                   16           18           9            19           16           13           12           13      
48           16           27           0               -1              0                   16           18           9            19           16           13           12           13      
49           16           27           1               0               0                   16           18           9            19           16           13           12           13      
50           16           27           1               0               0                   17           18           9            20           15           13           12           14      
51           17           27           1               0               0                   17           18           9            20           15           13           12           14      
52           17           27           1               0               0                   18           18           9            21           14           12           12           15      
53           18           27           1               0               0                   18           18           9            21           14           12           12           15      
54           18           27           1               0               0                   19           18           10           21           14           11           13           15      
55           19           27           1               0               0                   19           18           10           21           14           11           13           15      
56           19           27           1               0               0                   20           18           11           21           15           11           14           15      
57           20           27           1               0               0                   20           18           11           21           15           11           14           15      
58           20           27           0               -1              0                   20           18           11           21           15           11           14           15      
59           20           27           0               -1              0                   20           19           12           21           16           11           15           15      
60           20           26           0               -1              0                   20           19           12           21           16           11           15           15      
61           20           26           0               -1              0                   20           20           13           21           17           11           16           15      
62           20           25           0               -1              0                   20           20           13           21           17           11           16           15      
63           20           25           0               -1              0                   20           21           13           22           18           11           17           15      
64           20           24           0               -1              0                   20           21           13           22           18           11           17           15      
65           20           24           1               0               0                   20           21           13           22           18           11           17           15      
66           20           24           1               0               0                   19           21           13           23           19           11           17           14      
67           21           24           1               0               0                   19           21           13           23           19           11           17           14      
68           21           24           1               0               0                   18           21           13           24           20           11           17           13      
69           22           24           1               0               0                   18           21           13           24           20           11           17           13      
70           22           24           1               0               0                   17           21           12           24           20           12           16           13      
71           23           24           1               0               0                   17           21           12           24           20           12           16           13      
72           23           24           0               1               0                   17           21           12           24           20           12           16           13      
73           23           24           0               1               0                   16           21           11           24           20           13           15           13      
74           23           25           0               1               0                   16           21           11           24           20           13           15           13      
75           23           25           0               1               0                   16           22           10           24           20           14           14           12      
76           23           26           0               1               0                   16           22           10           24           20           14           14           12      
77           23           26           0               1               0                   16           23           9            24           21           14           14           11      
78           23           27           0               1               0                   16           23           9            24           21           14           14           11      
79           23           27           1               0               0                   16           23           9            24           21           14           14           11      
80           23           27           1               0               0                   16           24           9            25           22           14           15           11      
81           24           27           1               0               0                   16           24           9            25           22           14           15           11      
82           24           27           1               0               0                   17           24           9            26           23           14           16           11      
83           25           27           1               0               0                   17           24           9            26           23           14           16           11      
84           26           27           1               0               0                   18           24           9            27           24           14           16           10      
85           26           27           1               0               0                   19           24           10           27           25           14           16           9       
86           27           27           1               0               0                   19           24           10           27           25           14           16           9       
87           27           27           1               0               0                   20           24           11           27           26           14           16           8       
88           28           27           1               0               0                   20           24           11           27           26           14           16           8       
89           28           27           0               1               0                   20           24           11           27           26           14           16           8       
90           28           27           0               1               0                   20           25           12           27           27           14           17           8       
91           28           28           0               1               0                   20           25           12           27           27           14           17           8       
92           28           28           0               1               0                   20           26           13           27           28           14           18           8       
93           28           29           0               1               0                   20           26           13           27           28           14           18           8       
94           28           29           0               1               0                   20           27           13           28           29           14           19           8       
95           28           30           0               1               0                   20           27           13           28           29           14           19           8       
96           28           30           -1              0               0                   20           27           13           28           29           14           19           8       
97           28           30           -1              0               0                   19           27           13           29           0            14           20           8       
98           27           30           -1              0               0                   19           27           13           29           0            14           20           8       
99           27           30           -1              0               0                   18           27           13           30           1            14           20           7       
100          26           30           -1              0               0                   18           27           13           30           1            14           20           7       
101          26           30           -1              0               0                   17           27           14           30           2            14           20           6       
102          25           30           -1              0               0                   17           27           14           30           2            14           20           6       
103          24           30           -1              0               0                   16           27           15           30           3            14           20           5       
104          24           30           -1              0               0                   16           28           16           30           4            14           21           5       
105          23           30           -1              0               0                   16           28           16           30           4            14           21           5       
106          23           30           -1              0               0                   16           29           17           30           5            14           22           5       
107          22           30           -1              0               0                   16           29           17           30           5            14           22           5       
108          22           30           -1              0               0                   16           30           18           30           6            14           23           5       
109          21           30           -1              0               0                   16           30           18           30           6            14           23           5       
110          21           30           1               0               0                   16           30           18           30           6            14           23           5       
111          21           30           1               0               0                   17           30           19           30           7            14           23           6       
112          22           30           1               0               0                   17           30           19           30           7            14           23           6       
113          22           30           1               0               0                   18           30           20           30           8            14           23           7       
114          23           30           1               0               0                   18           30           20           30           8            14           23           7       
115          23           30           1               0               0                   19           30           21           30           9            14           23           8       
116          24           30           1               0               0                   19           30           21           30           9            14           23           8       
117          24           30           1               0               0                   20           30           22           30           9            15           23           9       
118          25           30           1               0               0                   20           30           22           30           9            15           23           9       
119          25           30           1               0               0                   21           30           23           30           9            16           23           10      
120          26           30           1               0               0                   21           30           23           30           9            16           23           10      
121          26           30           1               0               0                   22           30           24           30           9            17           23           11      
122          27           30           1               0               0                   22           30           24           30           9            17           23           11      
123          27           30           1               0               0                   23           30           25           30           9            18           23           12      
124          28           30           1               0               0                   23           30           25           30           9            18           23           12      
125          28           30           0               -1              0                   23           30           25           30           9            18           23           12      
126          28           30           0               -1              0                   24           30           26           30           10           18           23           13      
127          28           29           0               -1              0                   24           30           26           30           10           18           23           13      
128          28           29           0               -1              0                   25           30           27           30           11           18           23           14      
129          28           28           0               -1              0                   25           30           27           30           11           18           23           14      
130          28           28           0               -1              0                   26           30           28           30           12           18           24           14      
131          28           27           0               -1              0                   26           30           28           30           12           18           24           14      
132          28           27           -1              0               0                   26           30           28           30           12           18           24           14      
133          28           27           -1              0               0                   27           30           28           29           13           18           25           14      
134          27           27           -1              0               0                   27           30           28           29           13           18           25           14      
135          27           27           -1              0               0                   28           30           28           28           14           18           26           14      
136          26           27           -1              0               0                   28           30           28           28           14           18           26           14      
137          26           27           0               -1              0                   28           30           28           28           14           18           26           14      
138          26           27           0               -1              0                   28           29           28           27           15           18           27           14      
139          26           26           0               -1              0                   28           29           28           27           15           18           27           14      
140          26           26           0               -1              0                   28           28           27           27           16           18           28           14      
141          26           25           0               -1              0                   28           28           27           27           16           18           28           14      
142          26           25           0               -1              0                   28           27           26           27           17           18           29           14      
143          26           24           0               -1              0                   28           27           26           27           17           18           29           14      
144          26           24           1               0               0                   28           27           26           27           17           18           29           14      
145          26           24           1               0               0                   27           27           26           26           18           18           0            14      
146          27           24           1               0               0                   27           27           26           26           18           18           0            14      
147          27           24           1               0               0                   26           27           26           25           19           18           1            14      
148          28           24           1               0               1                   26           27           26           25           19           18           1            14      
149          28           24           0               -1              1                   26           27           26           25           19           18           1            14      
150          28           23           0               -1              1                   26           27           26           25           19           18           1            14      
151          28           22           0               -1              1                   26           27           26           25           19           18           1            14      
152          28           22           0               -1              1                   26           26           26           24           20           18           2            14      
153          28           21           0               -1              1                   26           26           26           24           20           18           2            14      
154          28           21           -1              0               1                   26           26           26           24           20           18           2            14      
155          27           21           -1              0               1                   26           26           26           24           20           18           2            14      
156          26           21           -1              0               1                   26           26           26           24           20           18           2            14      
157          26           21           -1              0               1                   26           25           27           24           20           17           3            14      
158          25           21           -1              0               1                   26           25           27           24           20           17           3            14      
159          24           21           -1              0               1                   26           25           27           24           20           17           3            14      
160          23           21           -1              0               1                   26           25           27           24           20           17           3            14      
161          23           21           0               1               1                   26           25           27           24           20           17           3            14      
162          23           21           0               1               1                   26           24           28           24           20           16           4            14      
163          23           22           0               1               1                   26           24           28           24           20           16           4            14      
164          23           23           0               1               1                   26           24           28           24           20           16           4            14      
165          23           24           0               1               1                   26           24           28           24           20           16           4            14      
166          23           24           -1              0               1                   26           24           28           24           20           16           4            14      
167          23           24           -1              0               1                   27           24           28           23           20           15           5            14      
168          22           24           -1              0               1                   27           24           28           23           20           15           5            14      
169          21           24           -1              0               1                   27           24           28           23           20           15           5            14      
170          20           24           -1              0               1                   27           24           28           23           20           15           5            14      
171          20           24           -1              0               1                   28           24           28           22           20           14           6            14      
172          19           24           -1              0               1                   28           24           28           22           20           14           6            14      
173          18           24           -1              0               1                   28           24           28           22           20           14           6            14      
174          17           24           -1              0               1                   28           23           28           21           21           14           6            15      
175          16           24           -1              0               1                   28           23           28           21           21           14           6            15      
176          16           24           0               -1              1                   28           23           28           21           21           14           6            15      
177          16           23           0               -1              1                   28           23           28           21           21           14           6            15      
178          16           22           0               -1              1                   28           22           27           21           22           14           6            16      
179          16           21           0               -1              1                   28           22           27           21           22           14           6            16      
180          16           21           1               0               1                   28           22           27           21           22           14           6            16      
181          17           21           1               0               1                   28           22           27           21           22           14           6            16      
182          17           21           1               0               1                   28           21           26           21           23           14           6            17      
183          18           21           1               0               1                   28           21           26           21           23           14           6            17      
184          19           21           1               0               1                   28           21           26           21           23           14           6            17      
185          20           21           1               0               1                   28           21           26           21           23           14           6            17      
186          20           21           1               0               1                   27           21           25           21           23           13           6            18      
187          21           21           1               0               1                   27           21           25           21           23           13           6            18      
188          22           21           1               0               1                   27           21           25           21           23           13           6            18      
189          23           21           1               0               1                   27           21           14           15           23           13           6            18      
190          23           21           1               0               1                   26           21           14           15           23           12           6            19      
191          24           21           1               0               1                   26           21           15           15           23           12           6            19      
192          24           21           1               0               1                   15           14           15           15           23           12           6            19      
193          25           21           1               0               1                   15           14           16           15           23           12           6            19      
194          25           21           -1              0               1                   15           14           16           15           23           12           6            19      
195          25           21           -1              0               1                   15           13           16           15           23           12           6            19      
196          24           21           -1              0               1                   15           13           17           15           23           12           6            19      
197          24           21           -1              0               1                   15           13           17           15           23           11           6            20      
198          24           21           -1              0               1                   14           13           17           15           23           11           6            20      
199          23           21           -1              0               1                   14           13           17           14           23           11           6            20      
200          23           21           0               -1              1                   14           13           17           14           23           11           6            20      
201          23           21           0               -1              1                   13           13           17           14           23           11           6            20      
202          23           20           0               -1              1                   13           13           17           13           23           11           6            20      
203          23           20           0               -1              1                   12           13           17           13           23           11           6            20      
204          23           19           0               -1              1                   12           13           16           13           23           11           6            20      
205          23           19           0               -1              1                   12           13           16           13           23           10           6            21      
206          23           19           0               -1              1                   12           14           16           13           23           10           6            21      
207          23           18           0               -1              1                   12           14           15           13           23           10           6            21      
208          23           18           0               -1              1                   12           15           15           13           23           10           6            21      
209          23           17           0               -1              1                   12           15           14           13           23           10           6            21      
210          23           17           0               -1              1                   13           15           14           13           23           10           6            21      
211          23           16           0               -1              1                   13           15           13           13           23           9            5            21      
212          23           16           0               -1              1                   14           15           13           13           23           9            5            21      
213          23           15           0               -1              1                   14           15           12           13           23           9            5            21      
214          23           15           0               -1              1                   15           15           12           13           23           9            5            21      
215          23           14           0               -1              1                   15           15           12           14           23           9            5            21      
216          23           14           0               -1              1                   16           15           12           14           23           9            5            21      
217          23           13           0               -1              1                   16           15           12           15           23           8            4            21      
218          23           13           0               -1              1                   17           15           12           15           23           8            4            21      
219          23           12           0               -1              1                   17           15           13           15           23           8            4            21      
220          23           12           0               -1              1                   17           14           13           15           23           8            4            21      
221          23           11           0               -1              1                   17           14           14           15           23           8            4            21      
222          23           11           0               -1              1                   17           13           14           15           23           8            4            21      
223          23           11           0               -1              1                   17           13           14           15           23           7            3            21      
224          23           10           0               -1              1                   17           13           15           15           23           7            3            21      
225          23           10           0               -1              1                   16           13           15           15           23           7            3            21      
226          23           9            0               -1              1                   16           13           16           15           23           7            3            21      
227          23           9            0               -1              1                   15           13           16           15           23           7            3            21      
228          23           8            0               -1              1                   15           13           17           15           23           7            3            21      
229          23           8            0               -1              1                   14           12           17           15           12           15           3            21      
230          23           8            0               -1              1                   14           12           17           15           12           15           2            21      
231          23           7            0               -1              1                   14           12           17           14           12           15           2            21      
232          23           7            0               -1              1                   14           11           17           14           13           15           2            21      
233          23           6            0               -1              1                   14           11           17           13           13           15           2            21      
234          23           6            0               -1              1                   15           11           17           13           14           15           2            21      
