timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            13           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
7            12           24           -1              0               0                   13           11           17           14           16           15           16           13      
8            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
9            11           24           -1              0               0                   12           11           17           13           17           15           15           13      
10           10           24           -1              0               0                   12           11           17           13           17           15           15           13      
11           10           24           -1              0               0                   11           11           16           13           17           14           14           13      
12           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
13           9            24           0               1               0                   11           11           16           13           17           14           14           13      
14           9            24           0               1               0                   10           11           15           13           17           13           13           13      
15           9            25           0               1               0                   10           11           15           13           17           13           13           13      
16           9            25           0               1               0                   9            11           14           12           16           13           12           13      
17           9            26           0               1               0                   9            11           14           12           16           13           12           13      
18           9            27           0               1               0                   9            12           14           11           15           13           12           14      
19           9            27           1               0               0                   9            12           14           11           15           13           12           14      
20           10           27           1               0               0                   9            13           13           11           14           13           12           15      
21           11           27           1               0               0                   9            14           12           11           13           13           13           15      
22           12           27           1               0               0                   9            15           11           11           12           13           14           15      
23           13           27           1               0               0                   9            16           10           11           12           14           15           15      
24           13           27           0               1               0                   9            16           10           11           12           14           15           15      
25           13           28           0               1               0                   9            17           9            11           12           15           16           15      
26           13           29           0               1               0                   9            17           9            11           12           15           16           15      
27           13           29           0               1               0                   9            18           9            12           13           15           17           15      
28           13           30           0               1               0                   9            19           9            13           14           15           17           14      
29           13           30           1               0               0                   9            19           9            13           14           15           17           14      
30           14           30           1               0               0                   9            20           9            14           15           15           17           13      
31           15           30           1               0               0                   9            21           9            15           16           15           16           13      
32           16           30           1               0               0                   10           21           9            16           17           15           15           13      
33           16           30           0               -1              0                   10           21           9            16           17           15           15           13      
34           16           29           0               -1              0                   11           21           9            17           17           14           14           13      
35           16           28           0               -1              0                   12           21           9            18           17           13           13           13      
36           16           27           0               -1              0                   13           21           10           18           16           13           12           13      
37           16           27           1               0               0                   13           21           10           18           16           13           12           13      
38           17           27           1               0               0                   13           22           11           18           15           13           12           14      
39           18           27           1               0               0                   13           23           12           18           14           12           12           15      
40           19           27           1               0               0                   13           24           13           18           14           11           13           15      
41           20           27           1               0               0                   14           24           14           18           15           11           14           15      
42           20           27           0               -1              0                   14           24           14           18           15           11           14           15      
43           20           27           0               -1              0                   15           24           15           18           16           11           15           15      
44           20           26           0               -1              0                   15           24           15           18           16           11           15           15      
45           20           26           0               -1              0                   16           24           16           18           17           11           16           15      
46           20           25           0               -1              0                   16           24           16           18           17           11           16           15      
47           20           25           0               -1              0                   17           24           17           18           18           11           17           15      
48           20           24           0               -1              0                   17           24           17           18           18           11           17           15      
49           20           24           1               0               0                   17           24           17           18           18           11           17           15      
50           20           24           1               0               0                   18           24           18           18           19           11           17           14      
51           21           24           1               0               0                   18           24           18           18           19           11           17           14      
52           21           24           1               0               0                   19           24           19           18           20           11           17           13      
53           22           24           1               0               0                   19           24           19           18           20           11           17           13      
54           22           24           1               0               0                   20           24           20           18           20           12           16           13      
55           23           24           1               0               0                   20           24           20           18           20           12           16           13      
56           23           24           0               1               0                   20           24           20           18           20           12           16           13      
57           23           25           0               1               0                   21           24           20           19           20           13           15           13      
58           23           26           0               1               0                   22           24           20           20           20           14           14           12      
59           23           27           0               1               0                   22           24           20           20           20           14           14           12      
60           23           27           1               0               0                   23           24           20           21           21           14           14           11      
61           24           27           1               0               0                   23           24           20           21           21           14           14           11      
62           24           27           1               0               0                   23           25           21           21           22           14           15           11      
63           25           27           1               0               0                   23           25           21           21           22           14           15           11      
64           25           27           1               0               0                   23           26           22           21           23           14           16           11      
65           26           27           1               0               0                   23           26           22           21           23           14           16           11      
66           26           27           0               -1              0                   23           27           23           21           23           15           17           11      
67           26           26           0               -1              0                   23           27           23           21           23           15           17           11      
68           26           26           0               -1              0                   24           27           23           20           23           16           18           11      
69           26           25           0               -1              0                   24           27           23           20           23           16           18           11      
70           26           25           0               -1              0                   25           27           23           19           23           17           19           11      
71           26           24           0               -1              0                   25           27           23           19           23           17           19           11      
72           26           24           1               0               0                   26           27           23           18           23           18           20           11      
73           27           24           1               0               0                   26           27           23           18           23           18           20           11      
74           27           24           1               0               0                   27           27           23           17           23           19           20           12      
75           28           24           1               0               1                   27           27           23           17           23           19           20           12      
76           28           24           0               -1              1                   27           27           23           17           23           19           20           12      
77           28           23           0               -1              1                   27           27           23           17           23           19           20           12      
78           28           22           0               -1              1                   27           27           23           17           23           19           20           12      
79           28           22           0               -1              1                   28           27           23           16           23           20           20           13      
80           28           21           0               -1              1                   28           27           23           16           23           20           20           13      
81           28           21           -1              0               1                   28           27           23           16           23           20           20           13      
82           27           21           -1              0               1                   28           27           23           16           23           20           20           13      
83           26           21           -1              0               1                   28           28           23           15           23           21           20           14      
84           25           21           -1              0               1                   28           28           23           15           23           21           20           14      
85           25           21           -1              0               1                   28           28           23           15           12           15           20           14      
86           24           21           -1              0               1                   28           28           23           15           12           15           20           14      
87           24           21           -1              0               1                   28           29           23           14           13           15           21           14      
88           23           21           -1              0               1                   28           29           23           14           13           15           21           14      
89           23           21           0               1               1                   28           29           23           14           13           15           21           14      
90           23           21           0               1               1                   28           29           23           14           14           15           21           14      
91           23           22           0               1               1                   28           29           23           14           14           15           21           14      
92           23           22           0               1               1                   28           29           23           14           15           15           21           14      
93           23           23           0               1               1                   28           29           23           14           15           15           21           14      
94           23           23           0               1               1                   28           30           22           14           16           15           22           14      
95           23           24           0               1               1                   28           30           22           14           16           15           22           14      
96           23           24           0               1               1                   28           30           22           14           17           15           22           14      
97           23           25           0               1               1                   28           30           22           14           17           15           22           14      
98           23           25           0               1               1                   28           30           22           14           17           14           22           14      
99           23           26           0               1               1                   28           30           22           14           17           14           22           14      
100          23           26           0               1               1                   27           30           21           14           17           14           23           14      
101          23           26           0               1               1                   27           30           21           14           17           13           23           14      
102          23           27           0               1               1                   27           30           21           14           17           13           23           14      
103          23           27           1               0               1                   27           30           21           14           17           13           23           14      
104          23           27           1               0               1                   27           30           21           14           16           13           23           14      
105          24           27           1               0               1                   27           30           21           14           16           13           23           14      
106          24           27           1               0               1                   27           30           21           14           15           13           23           14      
107          25           27           1               0               1                   26           30           20           14           15           13           23           13      
108          25           27           1               0               1                   26           30           20           14           14           13           23           13      
109          26           27           1               0               1                   26           30           20           14           14           13           23           13      
110          26           27           1               0               1                   26           30           20           14           13           13           23           13      
111          27           27           1               0               1                   26           30           20           14           13           13           23           13      
112          27           27           1               0               1                   26           30           20           14           12           13           23           13      
113          27           27           1               0               1                   25           30           20           13           12           13           23           12      
114          28           27           1               0               1                   25           30           20           13           12           13           23           12      
115          28           27           0               1               1                   25           30           20           13           12           14           23           12      
116          28           28           0               1               1                   25           30           20           13           12           14           23           12      
117          28           28           0               1               1                   25           30           20           13           12           15           23           12      
118          28           29           0               1               1                   25           30           20           13           12           15           23           12      
119          28           29           0               1               1                   25           30           20           13           13           15           23           12      
120          28           29           0               1               1                   24           30           20           12           13           15           23           11      
121          28           30           0               1               1                   24           30           20           12           13           15           23           11      
122          28           30           -1              0               1                   24           30           20           12           14           15           23           11      
123          27           30           -1              0               1                   24           30           20           12           14           15           23           11      
124          27           30           -1              0               1                   24           30           20           12           15           15           23           11      
125          26           30           -1              0               1                   24           30           20           12           15           15           23           11      
126          26           30           -1              0               1                   24           30           20           12           16           15           23           11      
127          26           30           -1              0               1                   23           30           20           11           16           15           23           10      
128          25           30           -1              0               1                   23           30           20           11           16           15           23           10      
129          25           30           -1              0               1                   23           30           20           11           17           15           23           10      
130          24           30           -1              0               1                   23           30           20           11           17           15           23           10      
131          24           30           -1              0               1                   15           14           20           11           17           14           23           10      
132          23           30           -1              0               1                   15           14           20           11           17           14           23           10      
133          23           30           -1              0               1                   15           13           19           11           17           13           23           9       
134          22           30           -1              0               1                   15           13           19           11           17           13           23           9       
135          22           30           -1              0               1                   14           13           19           11           16           13           23           9       
136          21           30           -1              0               1                   14           13           19           11           16           13           23           9       
137          21           30           -1              0               1                   13           13           19           11           15           13           23           9       
138          20           30           -1              0               1                   13           13           19           11           15           13           23           9       
139          20           30           -1              0               1                   12           13           18           11           14           13           23           8       
140          19           30           -1              0               1                   12           13           18           11           14           13           23           8       
141          19           30           -1              0               1                   12           14           18           11           13           13           23           8       
142          18           30           -1              0               1                   12           15           18           11           12           13           23           8       
143          18           30           -1              0               1                   12           15           17           11           12           13           24           8       
144          17           30           -1              0               1                   13           15           17           11           12           14           24           8       
145          16           30           -1              0               1                   14           15           17           11           12           15           24           8       
146          15           30           -1              0               1                   15           15           17           11           13           15           24           8       
147          15           30           -1              0               1                   15           15           16           11           13           15           25           8       
148          14           30           -1              0               1                   16           15           16           11           14           15           25           8       
149          13           30           -1              0               1                   17           15           16           11           15           15           25           8       
150          12           30           -1              0               1                   17           14           16           11           15           15           25           8       
151          12           30           -1              0               1                   17           14           16           11           16           15           25           8       
152          12           30           -1              0               1                   17           14           16           10           16           15           26           8       
153          11           30           -1              0               1                   17           13           16           10           17           15           26           8       
154          10           30           -1              0               1                   16           13           16           10           17           14           26           8       
155          9            30           -1              0               1                   15           13           16           10           17           13           26           8       
156          9            30           -1              0               1                   15           13           16           9            17           13           27           8       
157          8            30           -1              0               1                   15           13           16           9            16           13           27           8       
158          8            30           -1              0               1                   14           12           16           9            16           13           27           8       
159          7            30           -1              0               1                   14           12           16           9            15           13           27           8       
160          7            30           -1              0               1                   14           11           16           9            15           13           27           8       
161          6            30           -1              0               1                   14           11           16           9            14           12           27           8       
162          6            30           -1              0               1                   13           11           16           8            14           12           28           8       
163          5            30           -1              0               1                   13           11           16           8            14           11           28           8       
164          5            30           -1              0               1                   12           11           16           8            14           11           28           8       
165          4            30           -1              0               1                   12           11           16           8            13           11           28           8       
166          4            30           -1              0               1                   11           11           16           8            13           11           28           8       
167          3            30           -1              0               1                   11           11           17           8            12           11           28           7       
168          3            30           -1              0               1                   10           11           17           8            12           11           28           7       
169          2            30           -1              0               1                   10           11           17           8            11           11           28           7       
170          2            30           -1              0               1                   9            11           17           8            11           11           28           7       
171          1            30           -1              0               1                   9            11           17           8            10           11           28           7       
172          1            30           0               -1              1                   9            11           17           8            10           11           28           7       
173          1            30           0               -1              1                   9            12           17           8            10           11           28           7       
174          1            29           0               -1              1                   9            12           18           8            9            11           28           6       
175          1            29           0               -1              1                   9            13           18           8            9            11           28           6       
176          1            28           0               -1              1                   9            13           18           8            9            12           28           6       
177          1            28           0               -1              1                   9            14           18           8            9            12           28           6       
178          1            27           0               -1              1                   9            14           18           8            9            13           28           6       
179          1            27           1               0               1                   9            14           18           8            9            13           28           6       
180          1            27           1               0               1                   9            15           18           8            9            13           28           6       
181          1            27           1               0               1                   9            15           19           8            9            13           28           5       
182          2            27           1               0               1                   9            15           19           8            9            14           28           5       
183          2            27           1               0               1                   9            16           19           8            9            14           28           5       
184          3            27           1               0               1                   9            16           19           8            8            14           28           5       
185          3            27           1               0               1                   9            17           19           8            8            14           28           5       
186          4            27           1               0               1                   9            17           19           8            7            14           28           5       
187          4            27           1               0               1                   9            18           19           8            7            14           28           5       
188          4            27           1               0               1                   9            18           20           8            7            14           28           4       
189          5            27           1               0               1                   9            18           20           8            6            14           28           4       
190          5            27           1               0               1                   9            19           20           8            6            14           28           4       
191          6            27           1               0               0                   9            19           20           8            6            15           28           4       
192          6            27           0               -1              0                   9            19           20           8            6            15           28           4       
193          6            27           0               -1              0                   9            20           20           8            6            15           28           4       
194          6            27           0               -1              0                   9            20           20           7            6            15           28           3       
195          6            26           0               -1              0                   9            20           20           7            6            16           28           3       
196          6            26           0               -1              0                   9            21           20           7            6            16           28           3       
197          6            26           0               -1              0                   9            21           20           6            6            16           28           2       
198          6            25           0               -1              0                   9            21           20           6            6            17           28           2       
199          6            25           0               -1              0                   8            21           20           5            6            17           28           1       
200          6            24           0               -1              0                   8            21           20           5            6            18           28           1       
201          6            24           1               0               0                   8            21           20           5            6            18           28           1       
202          6            24           1               0               0                   7            21           20           5            6            18           28           1       
203          6            24           1               0               0                   7            21           19           5            6            18           27           1       
204          7            24           1               0               0                   7            21           19           5            6            19           27           1       
205          7            24           1               0               0                   6            21           19           5            6            19           27           1       
206          7            24           1               0               0                   6            21           18           5            6            19           26           1       
207          8            24           1               0               0                   6            21           18           5            6            20           26           1       
208          8            24           1               0               0                   6            22           18           5            6            20           26           1       
209          8            24           1               0               0                   6            22           17           5            6            20           25           1       
210          9            24           1               0               0                   6            22           17           5            6            21           25           1       
211          9            24           0               1               0                   6            22           17           5            6            21           25           1       
212          9            24           0               1               0                   6            23           17           5            6            21           25           1       
213          9            24           0               1               0                   6            23           16           5            6            21           24           1       
214          9            25           0               1               0                   6            23           16           5            7            21           24           1       
215          9            25           0               1               0                   6            24           16           5            7            21           24           1       
216          9            25           0               1               0                   6            24           15           5            7            21           23           1       
217          9            26           0               1               0                   6            24           15           5            8            21           23           1       
218          9            26           0               1               0                   7            24           15           5            8            21           23           1       
219          9            26           0               1               0                   7            24           14           5            8            21           23           2       
220          9            27           0               1               0                   7            24           14           5            9            21           23           2       
221          9            27           1               0               0                   7            24           14           5            9            21           23           2       
222          9            27           1               0               0                   8            24           13           5            9            21           23           3       
223          10           27           1               0               0                   8            24           13           5            9            20           23           3       
224          10           27           1               0               0                   9            24           13           5            9            20           23           3       
225          10           27           1               0               0                   9            24           12           5            9            20           23           4       
226          11           27           1               0               0                   9            24           12           5            9            19           23           4       
227          11           27           1               0               0                   9            25           12           5            9            19           23           4       
228          11           27           1               0               0                   9            25           11           5            9            19           23           5       
229          12           27           1               0               0                   9            25           11           5            9            18           23           5       
230          12           27           1               0               0                   9            26           10           5            9            18           22           5       
231          13           27           1               0               0                   9            26           10           5            9            18           22           5       
232          13           27           0               1               0                   9            26           10           5            10           18           22           5       
233          13           27           0               1               0                   9            27           10           5            10           18           22           5       
234          13           27           0               1               0                   9            27           9            5            10           18           21           5       
235          13           28           0               1               0                   9            27           9            5            10           18           21           5       
236          13           28           0               1               0                   9            27           9            5            11           18           21           5       
237          13           28           0               1               0                   10           27           9            6            11           18           20           5       
238          13           29           0               1               0                   10           27           9            6            11           18           20           5       
239          13           29           0               1               0                   10           27           9            6            12           18           20           5       
240          13           29           0               1               0                   11           27           9            7            12           18           20           6       
241          13           30           0               1               0                   11           27           9            7            12           18           20           6       
242          13           30           -1              0               0                   11           27           9            7            13           18           20           6       
243          13           30           -1              0               0                   12           27           9            7            13           18           20           6       
244          13           30           -1              0               0                   12           27           9            8            13           18           20           7       
245          12           30           -1              0               0                   12           27           9            8            13           18           20           7       
