timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     free_ghosts     close_ghosts      eat_mode_active      active_dots     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0               0                 0                    260             15           14           14           15           12           15           16           15      
1            15           24           -1              0               0               0                 0                    260             15           13           15           15           13           15           17           15      
2            14           24           -1              0               0               0                 0                    260             15           13           15           15           13           15           17           15      
3            14           24           -1              0               1               0                 0                    260             14           12           16           15           14           15           17           14      
4            13           24           -1              0               1               0                 0                    259             14           12           16           15           14           15           17           14      
5            13           24           -1              0               1               0                 0                    259             14           12           17           15           15           15           17           14      
6            12           24           -1              0               1               0                 0                    258             14           11           17           15           15           15           17           13      
7            12           24           -1              0               1               0                 0                    258             14           11           17           14           16           15           17           13      
8            11           24           -1              0               1               0                 0                    257             13           11           17           14           16           15           16           13      
9            11           24           -1              0               1               0                 0                    257             13           11           17           13           17           15           16           13      
10           10           24           -1              0               1               0                 0                    256             12           11           17           13           17           15           15           13      
11           10           24           -1              0               1               0                 0                    256             12           11           16           13           17           14           15           13      
12           9            24           -1              0               1               0                 0                    255             11           11           16           13           17           14           14           13      
13           9            24           -1              0               1               0                 0                    255             10           11           15           13           17           13           14           13      
14           8            24           -1              0               1               0                 0                    254             10           11           15           13           17           13           13           13      
15           8            24           -1              0               2               0                 0                    254             9            11           14           12           16           13           13           13      
16           7            24           -1              0               2               0                 0                    253             9            11           14           12           16           13           13           13      
17           7            24           -1              0               2               0                 0                    253             9            11           14           12           16           13           12           13      
18           7            24           -1              0               2               0                 0                    253             9            12           14           11           15           13           12           13      
19           6            24           -1              0               2               0                 0                    252             9            12           14           11           15           13           12           13      
20           6            24           0               -1              2               0                 0                    252             9            12           14           11           15           13           12           14      
21           6            24           0               -1              2               0                 0                    252             9            12           13           11           14           13           12           14      
22           6            23           0               -1              2               0                 0                    251             9            13           13           11           14           13           12           14      
23           6            23           0               -1              2               0                 0                    251             9            13           13           11           14           13           12           15      
24           6            23           0               -1              2               0                 0                    251             9            13           12           11           13           13           12           15      
25           6            22           0               -1              2               0                 0                    250             9            13           12           11           13           13           12           15      
26           6            22           0               -1              2               0                 0                    250             9            14           12           11           13           13           13           15      
27           6            22           0               -1              2               0                 0                    250             9            14           11           11           12           13           13           15      
28           6            21           0               -1              2               0                 0                    249             8            14           11           11           12           13           14           15      
29           6            21           0               -1              2               0                 0                    249             8            14           10           11           12           14           14           15      
30           6            20           0               -1              2               0                 0                    248             7            14           10           11           12           14           15           15      
31           6            20           0               -1              2               0                 0                    248             7            14           9            11           12           15           15           15      
32           6            19           0               -1              2               1                 0                    247             6            14           9            11           12           15           16           15      
33           6            19           0               -1              2               1                 0                    247             6            14           9            12           13           15           16           15      
34           6            18           0               -1              2               1                 0                    246             6            14           9            12           13           15           16           15      
35           6            18           0               -1              2               1                 0                    246             6            15           9            12           13           15           17           15      
36           6            18           0               -1              2               2                 0                    246             6            15           9            13           14           15           17           15      
