timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            13           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
7            12           24           1               0               0                   14           11           17           15           15           15           17           13      
8            12           24           1               0               0                   13           11           17           14           16           15           16           13      
9            13           24           1               0               0                   13           11           17           14           16           15           16           13      
10           13           24           1               0               0                   12           11           17           13           17           15           15           13      
11           14           24           1               0               0                   12           11           17           13           17           15           15           13      
12           14           24           1               0               0                   11           11           16           13           17           14           14           13      
13           15           24           1               0               0                   11           11           16           13           17           14           14           13      
14           15           24           1               0               0                   10           11           15           13           17           13           13           13      
15           16           24           1               0               0                   10           11           15           13           17           13           13           13      
16           16           24           0               -1              0                   10           11           15           13           17           13           13           13      
17           16           24           0               -1              0                   9            11           14           12           16           13           12           13      
18           16           23           0               -1              0                   9            11           14           12           16           13           12           13      
19           16           23           0               -1              0                   9            12           14           11           15           13           12           14      
20           16           22           0               -1              0                   9            12           14           11           15           13           12           14      
21           16           22           0               -1              0                   9            13           15           11           14           13           12           15      
22           16           21           0               -1              0                   9            13           15           11           14           13           12           15      
23           16           21           1               0               0                   9            13           15           11           14           13           12           15      
24           16           21           1               0               0                   9            14           16           11           13           13           13           15      
25           17           21           1               0               0                   9            14           16           11           13           13           13           15      
26           17           21           1               0               0                   9            15           16           10           12           13           14           15      
27           18           21           1               0               0                   9            15           16           10           12           13           14           15      
28           18           21           1               0               0                   9            16           16           9            12           14           15           15      
29           19           21           1               0               0                   9            16           16           9            12           14           15           15      
30           19           21           1               0               0                   9            17           16           8            12           15           16           15      
31           20           21           1               0               0                   9            17           16           8            12           15           16           15      
32           20           21           1               0               0                   9            18           17           8            13           15           17           15      
33           21           21           1               0               0                   9            18           17           8            13           15           17           15      
34           21           21           1               0               0                   10           18           18           8            13           15           17           15      
35           22           21           1               0               0                   10           18           18           8            13           15           17           15      
36           22           21           1               0               0                   10           18           18           8            14           15           17           14      
37           22           21           1               0               0                   11           18           19           8            14           15           17           14      
38           23           21           1               0               0                   11           18           19           8            15           15           17           13      
39           23           21           0               1               0                   11           18           19           8            15           15           17           13      
40           23           21           0               1               0                   12           18           20           8            15           15           17           13      
41           23           22           0               1               0                   12           18           20           8            16           15           16           13      
42           23           22           0               1               0                   13           18           20           7            16           15           16           13      
43           23           23           0               1               0                   13           18           20           7            17           15           15           13      
44           23           23           0               1               0                   14           18           20           6            17           15           15           13      
45           23           24           0               1               0                   14           18           20           6            17           14           14           13      
46           23           24           -1              0               0                   14           18           20           6            17           14           14           13      
47           23           24           -1              0               0                   15           18           20           5            17           14           14           13      
48           22           24           -1              0               0                   15           18           20           5            17           13           13           13      
49           22           24           -1              0               0                   16           18           21           5            17           13           13           13      
50           21           24           -1              0               0                   16           18           21           5            16           13           12           13      
51           21           24           -1              0               0                   17           18           22           5            16           13           12           13      
52           21           24           -1              0               0                   17           18           22           5            15           13           12           14      
53           20           24           -1              0               0                   17           18           22           5            15           13           12           14      
54           20           24           -1              0               0                   18           18           23           5            15           13           12           14      
55           20           24           -1              0               0                   18           18           23           5            14           12           12           15      
56           19           24           -1              0               0                   18           18           23           5            14           12           12           15      
57           19           24           -1              0               0                   19           18           24           5            14           12           12           15      
58           19           24           -1              0               0                   19           18           24           5            14           11           13           15      
59           18           24           -1              0               0                   19           18           24           5            14           11           13           15      
60           18           24           -1              0               0                   20           18           25           5            14           11           13           15      
61           18           24           -1              0               0                   20           18           25           5            15           11           14           15      
62           17           24           -1              0               0                   20           18           25           5            15           11           14           15      
63           17           24           1               0               0                   20           18           25           5            15           11           14           15      
64           17           24           1               0               0                   20           19           26           5            15           11           14           15      
65           17           24           1               0               0                   20           19           26           5            16           11           15           15      
66           18           24           1               0               0                   20           19           26           5            16           11           15           15      
67           18           24           1               0               0                   20           20           27           5            16           11           15           15      
68           18           24           1               0               0                   20           20           27           5            17           11           16           15      
69           19           24           1               0               0                   20           20           27           5            17           11           16           15      
70           19           24           1               0               0                   20           21           28           5            17           11           16           15      
71           19           24           1               0               0                   20           21           28           5            18           11           17           15      
72           20           24           1               0               0                   20           21           28           5            18           11           17           15      
73           20           24           0               1               0                   20           21           28           5            18           11           17           15      
74           20           24           0               1               0                   19           21           28           6            18           11           17           15      
75           20           24           0               1               0                   19           21           28           6            19           11           17           14      
76           20           25           0               1               0                   19           21           28           6            19           11           17           14      
77           20           25           0               1               0                   18           21           28           7            19           11           17           14      
78           20           25           0               1               0                   18           21           28           7            20           11           17           13      
79           20           26           0               1               0                   18           21           28           7            20           11           17           13      
80           20           26           0               1               0                   17           21           28           8            20           11           17           13      
81           20           26           0               1               0                   17           21           28           8            20           12           16           13      
82           20           27           0               1               0                   17           21           28           8            20           12           16           13      
83           20           27           -1              0               0                   17           21           28           8            20           12           16           13      
84           20           27           -1              0               0                   16           21           27           8            20           12           16           13      
85           20           27           -1              0               0                   16           21           27           8            20           13           15           13      
86           19           27           -1              0               0                   16           21           27           8            20           13           15           13      
87           19           27           -1              0               0                   16           22           26           8            20           13           15           13      
88           19           27           -1              0               0                   16           22           26           8            20           14           14           12      
89           18           27           -1              0               0                   16           22           26           8            20           14           14           12      
90           18           27           -1              0               0                   16           23           25           8            20           14           14           12      
91           17           27           -1              0               0                   16           23           25           8            20           15           14           11      
92           17           27           -1              0               0                   16           24           24           8            20           15           14           11      
93           17           27           -1              0               0                   16           24           24           8            20           16           15           11      
94           16           27           -1              0               0                   16           24           24           8            20           16           15           11      
95           16           27           0               1               0                   16           24           24           8            20           16           15           11      
96           16           27           0               1               0                   17           24           23           8            20           16           15           11      
97           16           27           0               1               0                   17           24           23           8            20           17           16           11      
98           16           28           0               1               0                   17           24           23           8            20           17           16           11      
99           16           28           0               1               0                   18           24           23           9            20           17           16           11      
100          16           28           0               1               0                   18           24           23           9            20           18           16           10      
101          16           29           0               1               0                   18           24           23           9            20           18           16           10      
102          16           29           0               1               0                   19           24           23           10           20           18           16           10      
103          16           29           0               1               0                   19           24           23           10           19           18           16           9       
104          16           30           0               1               0                   19           24           23           10           19           18           16           9       
105          16           30           1               0               0                   19           24           23           10           19           18           16           9       
106          16           30           1               0               0                   20           24           23           11           19           18           16           9       
107          16           30           1               0               0                   20           24           23           11           18           18           16           8       
108          17           30           1               0               0                   20           24           23           11           18           18           16           8       
109          17           30           1               0               0                   20           25           23           12           18           18           16           8       
110          17           30           1               0               0                   20           25           23           12           17           18           17           8       
111          18           30           1               0               0                   20           25           23           12           17           18           17           8       
112          18           30           1               0               0                   20           26           23           13           16           18           18           8       
113          19           30           1               0               0                   20           26           23           13           16           18           18           8       
114          20           30           1               0               0                   20           27           23           14           15           18           19           8       
115          20           30           1               0               0                   19           27           22           14           14           18           20           8       
116          21           30           1               0               0                   19           27           22           14           14           18           20           8       
117          21           30           1               0               0                   19           27           22           14           13           18           20           7       
118          22           30           1               0               0                   18           27           21           14           13           18           20           7       
119          22           30           1               0               0                   18           27           21           14           12           18           20           6       
120          23           30           1               0               0                   17           27           20           14           12           18           20           6       
121          23           30           1               0               0                   17           27           20           14           11           18           20           5       
122          24           30           1               0               0                   16           27           20           15           11           18           20           5       
123          24           30           1               0               0                   16           27           20           15           10           18           21           5       
124          25           30           1               0               0                   16           28           20           16           10           18           21           5       
125          25           30           1               0               0                   16           28           20           16           9            18           22           5       
126          26           30           1               0               0                   16           29           20           17           9            18           22           5       
127          26           30           1               0               0                   16           29           20           17           9            19           23           5       
128          27           30           1               0               0                   16           30           20           18           9            19           23           5       
129          27           30           1               0               0                   16           30           20           18           9            20           23           6       
130          28           30           1               0               0                   17           30           20           19           9            20           23           6       
131          28           30           0               -1              0                   17           30           20           19           9            20           23           6       
132          28           30           0               -1              0                   17           30           20           19           9            21           23           7       
133          28           29           0               -1              0                   18           30           20           20           9            21           23           7       
134          28           29           0               -1              0                   18           30           20           20           8            21           23           8       
135          28           28           0               -1              0                   19           30           20           21           8            21           23           8       
136          28           28           0               -1              0                   19           30           20           21           7            21           24           8       
137          28           27           0               -1              0                   20           30           21           21           7            21           24           8       
138          28           27           -1              0               0                   20           30           21           21           7            21           24           8       
139          28           27           -1              0               0                   21           30           22           21           6            21           25           8       
140          27           27           -1              0               0                   21           30           22           21           6            21           25           8       
141          27           27           -1              0               0                   21           30           22           21           6            22           26           8       
142          27           27           -1              0               0                   22           30           23           21           6            22           26           8       
143          26           27           -1              0               0                   22           30           23           21           6            22           26           8       
144          26           27           -1              0               0                   22           30           23           21           6            23           27           8       
145          26           27           -1              0               0                   23           30           23           22           6            23           27           8       
146          25           27           -1              0               0                   23           30           23           22           6            23           27           8       
147          25           27           -1              0               0                   23           30           23           22           6            24           28           8       
148          25           27           -1              0               0                   24           30           23           23           6            24           28           8       
149          24           27           -1              0               0                   24           30           23           23           6            24           28           8       
150          24           27           1               0               0                   24           30           23           23           6            24           28           8       
151          24           27           1               0               0                   24           30           23           23           7            24           28           7       
152          24           27           1               0               0                   25           30           23           24           7            24           28           7       
153          25           27           1               0               0                   25           30           23           24           7            24           28           7       
154          25           27           1               0               0                   25           30           23           24           8            24           28           6       
155          25           27           1               0               0                   26           30           23           25           8            24           28           6       
156          26           27           1               0               0                   26           30           23           25           8            24           28           6       
157          26           27           0               -1              0                   26           30           23           25           9            24           28           5       
158          26           27           0               -1              0                   27           30           23           26           9            24           28           5       
159          26           26           0               -1              0                   27           30           23           26           9            24           28           5       
160          26           26           0               -1              0                   27           30           23           26           9            25           28           4       
161          26           26           0               -1              0                   28           30           23           27           9            25           28           4       
162          26           25           0               -1              0                   28           30           23           27           9            25           28           4       
163          26           25           0               -1              0                   28           30           23           27           9            26           28           3       
164          26           25           0               -1              0                   28           29           24           27           9            26           28           3       
165          26           24           0               -1              0                   28           29           24           27           9            26           28           3       
166          26           24           1               0               0                   28           29           24           27           9            27           28           2       
167          26           24           1               0               0                   28           28           25           27           9            27           28           2       
168          27           24           1               0               0                   28           28           25           27           9            27           28           2       
169          27           24           1               0               0                   28           28           25           27           10           27           28           1       
170          27           24           1               0               0                   28           27           26           27           10           27           28           1       
171          28           24           1               0               1                   28           27           26           27           10           27           28           1       
172          28           24           0               -1              1                   28           27           26           27           10           27           28           1       
173          28           23           0               -1              1                   28           27           26           27           10           27           28           1       
174          28           23           0               -1              1                   28           27           26           27           11           27           27           1       
175          28           22           0               -1              1                   28           27           26           27           11           27           27           1       
176          28           22           0               -1              1                   27           27           26           26           11           27           27           1       
177          28           21           0               -1              1                   27           27           26           26           11           27           27           1       
178          28           21           -1              0               1                   27           27           26           26           11           27           27           1       
179          27           21           -1              0               1                   27           27           26           26           11           27           27           1       
180          27           21           -1              0               1                   27           27           26           26           12           27           26           1       
181          26           21           -1              0               1                   26           27           26           25           12           27           26           1       
182          25           21           -1              0               1                   26           27           26           25           12           27           26           1       
183          24           21           -1              0               1                   26           27           26           25           12           27           26           1       
184          24           21           -1              0               1                   26           27           26           25           13           27           25           1       
185          24           21           -1              0               1                   25           27           26           24           13           27           25           1       
186          23           21           -1              0               1                   25           27           26           24           13           27           25           1       
187          23           21           0               1               1                   25           27           26           24           13           27           25           1       
188          23           22           0               1               1                   25           27           26           24           13           27           25           1       
189          23           23           0               1               1                   25           27           26           24           13           28           24           1       
190          23           23           0               1               1                   24           27           27           24           13           28           24           1       
191          23           24           0               1               1                   24           27           27           24           13           28           24           1       
192          23           25           0               1               1                   24           27           27           24           13           28           24           1       
193          23           25           0               1               1                   15           14           27           24           13           29           23           1       
194          23           26           0               1               1                   15           14           27           24           13           29           23           1       
195          23           26           0               -1              1                   15           14           27           24           13           29           23           1       
196          23           26           0               -1              1                   15           14           28           24           13           29           23           1       
197          23           26           0               -1              1                   15           13           28           24           13           29           23           1       
198          23           25           0               -1              1                   15           13           28           24           13           29           23           1       
199          23           25           0               -1              1                   14           13           28           24           13           29           23           1       
200          23           24           0               -1              1                   14           13           28           24           13           29           23           1       
201          23           24           0               -1              1                   13           13           28           24           13           30           22           1       
202          23           23           0               -1              1                   13           13           28           24           13           30           22           1       
203          23           23           0               -1              1                   13           13           28           23           13           30           22           1       
204          23           23           0               -1              1                   12           13           28           23           13           30           22           1       
205          23           22           0               -1              1                   12           13           28           23           13           30           22           1       
206          23           22           0               -1              1                   12           14           28           23           13           30           22           1       
207          23           21           0               -1              1                   12           14           28           23           13           30           22           1       
208          23           21           0               -1              1                   12           14           28           23           12           30           21           1       
209          23           21           0               -1              1                   12           15           28           23           12           30           21           1       
210          23           20           0               -1              1                   12           15           28           22           12           30           21           1       
211          23           20           0               -1              1                   13           15           28           22           12           30           21           1       
212          23           19           0               -1              1                   13           15           28           22           12           30           21           1       
213          23           19           0               -1              1                   14           15           28           22           12           30           21           1       
214          23           18           0               -1              1                   14           15           28           22           11           30           20           1       
215          23           18           0               -1              1                   15           15           28           22           11           30           20           1       
216          23           18           0               -1              1                   15           15           28           21           11           30           20           1       
217          23           17           0               -1              1                   15           15           28           21           11           30           20           1       
218          23           17           0               -1              1                   16           15           28           21           11           30           20           1       
219          23           16           0               -1              1                   16           15           28           21           11           30           20           1       
220          23           16           0               -1              1                   17           15           28           21           11           30           20           1       
221          23           16           0               -1              1                   17           15           28           21           10           30           19           1       
222          23           15           0               -1              1                   17           15           28           21           10           30           19           1       
223          23           15           0               -1              1                   17           14           28           21           10           30           19           1       
224          23           15           0               -1              1                   17           14           27           21           10           30           19           1       
225          23           14           0               -1              1                   17           14           27           21           10           30           19           1       
226          23           14           0               -1              1                   17           13           27           21           10           30           19           1       
227          23           13           0               -1              1                   17           13           27           21           10           30           19           1       
228          23           13           0               -1              1                   16           13           27           21           10           30           19           1       
229          23           13           0               -1              1                   16           13           27           21           9            30           18           1       
230          23           12           0               -1              1                   16           13           27           21           9            30           18           1       
231          23           12           0               -1              1                   15           13           26           21           9            30           18           1       
232          23           11           0               -1              1                   15           13           26           21           9            30           18           1       
233          23           11           0               -1              1                   14           12           26           21           9            30           18           1       
234          23           10           0               -1              1                   14           12           26           21           9            30           18           1       
