timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           12           15           16           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           11           17           15           15           15           17           13      
5            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   13           11           17           14           16           15           16           13      
7            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
8            11           24           -1              0               0                   12           11           17           13           16           15           16           13      
9            10           24           -1              0               0                   12           11           17           13           17           15           15           13      
10           10           24           -1              0               0                   11           11           16           13           17           15           15           13      
11           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
12           9            24           0               1               0                   11           11           16           13           17           14           14           13      
13           9            24           0               1               0                   10           11           15           13           17           14           14           13      
14           9            25           0               1               0                   10           11           15           13           17           13           13           13      
15           9            25           0               1               0                   9            11           14           12           16           13           12           13      
16           9            26           0               1               0                   9            11           14           12           16           13           12           13      
17           9            27           0               1               0                   9            12           14           11           15           13           12           14      
18           9            27           1               0               0                   9            12           14           11           15           13           12           14      
19           9            27           1               0               0                   9            13           13           11           15           13           12           14      
20           10           27           1               0               0                   9            13           13           11           15           13           12           15      
21           10           27           1               0               0                   9            13           13           11           14           13           12           15      
22           10           27           1               0               0                   9            14           12           11           14           13           12           15      
23           11           27           1               0               0                   9            14           12           11           14           13           13           15      
24           11           27           1               0               0                   9            14           12           11           13           13           13           15      
25           11           27           1               0               0                   9            15           11           11           13           13           13           15      
26           12           27           1               0               0                   9            15           11           11           13           13           14           15      
27           12           27           1               0               0                   9            16           10           11           12           13           15           15      
28           13           27           1               0               0                   9            16           10           11           12           13           15           15      
29           13           27           0               1               0                   9            16           10           11           12           13           15           15      
30           13           27           0               1               0                   9            17           9            11           12           14           15           15      
31           13           28           0               1               0                   9            17           9            11           12           14           16           15      
32           13           28           0               1               0                   9            18           9            12           12           15           16           15      
33           13           29           0               1               0                   9            18           9            12           12           15           17           15      
34           13           29           0               1               0                   9            19           9            13           13           15           17           15      
35           13           30           0               1               0                   9            19           9            13           13           15           17           14      
36           13           30           1               0               0                   9            19           9            13           13           15           17           14      
37           13           30           1               0               0                   9            20           9            14           14           15           17           13      
38           14           30           1               0               0                   9            20           9            14           14           15           17           13      
39           14           30           1               0               0                   9            20           9            14           15           15           17           13      
40           14           30           1               0               0                   9            21           9            15           15           15           17           13      
41           15           30           1               0               0                   9            21           9            15           15           15           16           13      
42           15           30           1               0               0                   9            21           9            15           16           15           16           13      
43           15           30           1               0               0                   10           21           9            16           16           15           16           13      
44           16           30           1               0               0                   10           21           9            16           16           15           15           13      
45           16           30           0               -1              0                   10           21           9            16           16           15           15           13      
46           16           30           0               -1              0                   11           21           9            17           17           15           15           13      
47           16           29           0               -1              0                   11           21           9            17           17           15           14           13      
48           16           29           0               -1              0                   12           21           9            18           17           14           14           13      
49           16           28           0               -1              0                   12           21           9            18           17           14           13           13      
50           16           28           0               -1              0                   13           21           10           18           17           13           12           13      
51           16           27           0               -1              0                   13           21           10           18           17           13           12           13      
52           16           27           1               0               0                   13           21           10           18           17           13           12           13      
53           16           27           1               0               0                   13           21           10           18           16           13           12           13      
54           16           27           1               0               0                   13           22           11           18           16           13           12           13      
55           17           27           1               0               0                   13           22           11           18           16           13           12           14      
56           17           27           1               0               0                   13           23           12           18           15           13           12           14      
57           18           27           1               0               0                   13           23           12           18           15           13           12           15      
58           18           27           1               0               0                   13           24           13           18           14           12           12           15      
59           19           27           1               0               0                   13           24           13           18           14           12           13           15      
60           19           27           1               0               0                   14           24           14           18           14           11           13           15      
61           20           27           1               0               0                   14           24           14           18           14           11           14           15      
62           20           27           0               -1              0                   14           24           14           18           14           11           14           15      
63           20           27           0               -1              0                   15           24           15           18           15           11           15           15      
64           20           26           0               -1              0                   15           24           15           18           15           11           15           15      
65           20           26           0               -1              0                   15           24           15           18           16           11           15           15      
66           20           26           0               -1              0                   16           24           16           18           16           11           15           15      
67           20           25           0               -1              0                   16           24           16           18           16           11           16           15      
68           20           25           0               -1              0                   17           24           17           18           17           11           16           15      
69           20           24           0               -1              0                   17           24           17           18           17           11           17           15      
70           20           24           1               0               0                   17           24           17           18           17           11           17           15      
71           20           24           1               0               0                   18           24           18           18           18           11           17           15      
72           20           24           1               0               0                   18           24           18           18           18           11           17           14      
73           21           24           1               0               0                   18           24           18           18           18           11           17           14      
74           21           24           1               0               0                   19           24           19           18           19           11           17           14      
75           22           24           1               0               0                   19           24           19           18           19           11           17           13      
76           22           24           1               0               0                   19           24           19           18           20           11           17           13      
77           22           24           1               0               0                   20           24           20           18           20           11           17           13      
78           23           24           1               0               0                   20           24           20           18           20           11           16           13      
79           23           24           0               1               0                   20           24           20           18           20           12           16           13      
80           23           24           0               1               0                   21           24           20           19           20           12           16           13      
81           23           25           0               1               0                   21           24           20           19           20           12           15           13      
82           23           25           0               1               0                   21           24           20           19           20           13           15           13      
83           23           25           0               1               0                   22           24           20           20           20           13           14           12      
84           23           26           0               1               0                   22           24           20           20           20           13           14           12      
85           23           26           0               1               0                   22           24           20           20           20           14           14           12      
86           23           27           0               1               0                   23           24           20           21           20           14           14           11      
87           23           27           1               0               0                   23           24           20           21           20           14           14           11      
88           23           27           1               0               0                   23           24           20           21           21           14           14           11      
89           24           27           1               0               0                   23           25           21           21           21           14           15           11      
90           24           27           1               0               0                   23           25           21           21           22           14           15           11      
91           24           27           1               0               0                   23           26           22           21           22           14           15           11      
92           25           27           1               0               0                   23           26           22           21           22           14           16           11      
93           25           27           1               0               0                   23           26           22           21           23           14           16           11      
94           25           27           1               0               0                   23           27           23           21           23           14           17           11      
95           26           27           1               0               0                   23           27           23           21           23           14           17           11      
96           26           27           0               -1              0                   23           27           23           21           23           14           17           11      
97           26           27           0               -1              0                   23           27           23           21           24           14           17           11      
98           26           26           0               -1              0                   24           27           23           22           24           14           18           11      
99           26           26           0               -1              0                   24           27           23           22           25           14           18           11      
100          26           26           0               -1              0                   25           27           23           23           25           14           18           11      
101          26           25           0               -1              0                   25           27           23           23           25           14           19           11      
102          26           25           0               -1              0                   25           27           23           23           26           14           19           11      
103          26           25           0               -1              0                   26           27           23           24           26           14           19           11      
104          26           24           0               -1              0                   26           27           23           24           26           14           20           11      
105          26           24           1               0               0                   26           27           23           24           26           14           20           11      
106          26           24           1               0               0                   26           27           23           24           27           14           20           11      
107          26           24           1               0               0                   26           26           23           25           27           14           20           12      
108          27           24           1               0               0                   26           26           23           25           27           14           20           12      
109          27           24           1               0               0                   26           26           23           25           28           14           20           12      
110          27           24           1               0               0                   26           25           23           26           28           14           20           13      
111          28           24           1               0               1                   26           25           23           26           28           14           20           13      
112          28           24           -1              0               1                   26           25           23           26           28           14           20           13      
113          27           24           -1              0               1                   15           14           23           26           28           14           20           13      
114          27           24           -1              0               1                   15           14           23           26           29           14           20           13      
115          26           24           -1              0               1                   15           13           23           26           29           14           20           13      
116          26           24           0               1               1                   15           13           23           26           29           14           20           13      
117          26           25           0               1               1                   14           13           23           27           29           14           20           14      
118          26           26           0               1               1                   14           13           23           27           29           14           20           14      
119          26           26           0               1               1                   13           13           23           27           29           14           20           14      
120          26           26           0               1               1                   13           13           23           27           0            14           20           14      
121          26           27           0               1               1                   13           13           23           27           0            14           20           14      
122          26           27           -1              0               1                   12           13           23           27           0            14           20           14      
123          26           27           -1              0               1                   12           13           24           27           0            14           21           14      
124          25           27           -1              0               1                   12           13           14           15           0            14           21           14      
125          25           27           -1              0               1                   12           14           14           15           0            14           21           14      
126          24           27           -1              0               1                   12           14           15           15           0            14           21           14      
127          24           27           -1              0               1                   12           15           15           15           0            14           21           14      
128          24           27           -1              0               1                   12           15           15           15           1            14           21           14      
129          23           27           -1              0               1                   12           15           16           15           1            14           21           14      
130          23           27           0               -1              1                   13           15           16           15           1            14           21           14      
131          23           27           0               -1              1                   13           15           16           15           1            14           22           14      
132          23           26           0               -1              1                   13           15           16           15           1            14           22           14      
133          23           26           0               -1              1                   14           15           17           15           1            14           22           14      
134          23           25           0               -1              1                   14           15           17           15           2            14           22           14      
135          23           25           0               -1              1                   15           15           17           14           2            14           22           14      
136          23           24           0               -1              1                   15           15           17           14           2            14           22           14      
137          23           24           0               -1              1                   16           15           17           13           2            14           22           14      
138          23           24           0               -1              1                   16           15           17           13           2            14           23           14      
139          23           23           0               -1              1                   16           15           17           13           2            14           23           14      
140          23           23           0               -1              1                   17           15           16           13           2            14           23           14      
141          23           22           0               -1              1                   17           15           16           13           3            14           23           14      
142          23           22           0               -1              1                   17           14           16           13           3            14           23           14      
143          23           22           0               -1              1                   17           14           15           13           3            14           23           14      
144          23           21           0               -1              1                   17           14           15           13           3            14           23           14      
145          23           21           0               -1              1                   17           13           14           13           3            14           23           14      
146          23           21           0               -1              1                   17           13           14           13           3            14           24           14      
147          23           20           0               -1              1                   17           13           14           13           3            14           24           14      
148          23           20           0               -1              1                   16           13           13           13           3            14           24           14      
149          23           19           0               -1              1                   16           13           13           13           4            14           24           14      
150          23           19           0               -1              1                   15           13           12           13           4            14           24           14      
151          23           18           0               -1              1                   15           13           12           13           4            14           24           14      
152          23           18           0               -1              1                   14           12           12           14           4            14           25           14      
153          23           17           0               -1              1                   14           12           12           14           4            14           25           14      
154          23           17           0               -1              1                   14           11           12           14           4            14           25           14      
155          23           17           0               -1              1                   14           11           12           15           4            14           25           14      
156          23           17           0               -1              1                   14           11           12           15           5            14           25           14      
157          23           16           0               -1              1                   14           11           12           15           5            14           25           14      
158          23           16           0               -1              1                   15           11           13           15           5            14           25           14      
159          23           15           0               -1              1                   15           11           13           15           5            14           26           14      
160          23           15           0               -1              1                   16           11           14           15           5            14           26           14      
161          23           14           0               -1              1                   16           11           14           15           5            14           26           14      
162          23           14           1               0               1                   17           11           15           15           5            14           26           14      
163          23           14           1               0               1                   17           11           15           15           6            14           26           14      
164          24           14           1               0               1                   17           11           15           15           6            14           26           14      
165          24           14           1               0               1                   18           11           16           15           6            14           26           14      
166          25           14           1               0               1                   18           11           16           15           6            14           27           14      
167          25           14           1               0               1                   19           11           17           15           6            14           27           14      
168          25           14           1               0               1                   19           11           17           15           6            14           16           15      
169          26           14           1               0               1                   19           11           17           15           6            14           16           15      
170          26           14           1               0               1                   20           11           17           14           6            14           16           15      
171          26           14           1               0               1                   20           11           17           14           7            14           16           15      
172          26           14           1               0               1                   20           11           17           14           7            14           17           15      
173          27           14           1               0               1                   20           11           17           14           7            14           17           15      
174          27           14           1               0               1                   20           12           17           13           7            14           17           15      
175          27           14           1               0               1                   20           12           17           13           7            14           17           14      
176          28           14           1               0               1                   20           12           17           13           7            14           17           14      
177          28           14           1               0               1                   20           13           16           13           7            14           17           14      
178          29           14           1               0               1                   20           13           16           13           7            14           17           13      
179          29           14           1               0               1                   20           14           15           13           8            14           17           13      
180          0            14           1               0               1                   20           14           15           13           8            14           16           13      
181          0            14           1               0               1                   21           14           14           12           8            14           16           13      
182          1            14           1               0               1                   21           14           14           12           8            14           15           13      
183          1            14           1               0               1                   22           14           14           11           8            14           15           13      
184          2            14           1               0               1                   22           14           14           11           8            14           14           13      
185          2            14           1               0               1                   22           14           13           11           9            14           14           13      
186          2            14           1               0               1                   23           14           13           11           9            14           14           13      
187          3            14           1               0               1                   23           14           13           11           9            14           13           13      
188          3            14           1               0               1                   23           14           12           11           9            14           13           13      
189          3            14           1               0               1                   23           15           12           11           9            14           13           13      
190          4            14           1               0               1                   23           15           12           11           9            14           12           13      
191          4            14           1               0               1                   23           16           11           11           9            14           12           13      
192          5            14           1               0               1                   23           16           11           11           9            13           12           14      
193          5            14           1               0               1                   23           16           10           11           9            13           12           14      
194          5            14           1               0               1                   23           17           10           11           9            13           12           14      
195          6            14           1               0               1                   23           17           10           11           9            13           12           15      
196          6            14           0               -1              1                   23           17           9            11           9            13           12           15      
197          6            14           0               -1              1                   23           18           9            11           9            13           12           15      
198          6            13           0               -1              1                   23           18           9            11           9            13           13           15      
199          6            13           0               -1              1                   23           18           9            12           9            13           13           15      
200          6            13           0               -1              1                   23           19           9            12           9            13           13           15      
201          6            12           0               -1              1                   23           19           9            12           9            12           13           15      
202          6            12           0               -1              1                   23           19           9            12           9            12           14           15      
203          6            12           0               -1              1                   23           20           9            13           9            12           14           15      
204          6            11           0               -1              1                   23           20           9            13           9            12           14           15      
205          6            11           0               -1              1                   23           20           9            14           9            12           15           15      
206          6            11           0               -1              1                   23           21           9            14           9            12           15           15      
207          6            10           0               -1              1                   23           21           9            14           9            12           16           15      
208          6            10           0               -1              1                   23           21           8            14           9            12           16           15      
209          6            10           0               -1              1                   22           21           8            14           9            12           16           15      
210          6            10           0               -1              1                   22           21           8            14           9            11           16           15      
211          6            9            0               -1              1                   22           21           8            14           9            11           17           15      
