timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
1            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
2            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
3            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
4            10           24           -1              0               0                   12           11           17           13           17           15           15           13      
5            9            24           -1              0               0                   11           11           16           13           17           14           14           13      
6            8            24           -1              0               0                   10           11           15           13           17           13           13           13      
7            7            24           -1              0               0                   9            11           14           12           16           13           12           13      
8            6            24           -1              0               0                   9            12           14           11           15           13           12           14      
9            6            24           0               1               0                   9            12           14           11           15           13           12           14      
10           6            25           0               1               0                   9            13           13           11           14           13           12           15      
11           6            26           0               1               0                   9            14           12           11           13           13           13           15      
12           6            27           0               1               0                   9            15           11           11           12           13           14           15      
13           6            27           -1              0               0                   9            15           11           11           12           13           14           15      
14           5            27           -1              0               0                   9            16           10           11           12           14           15           15      
15           4            27           -1              0               0                   9            17           9            11           12           15           16           15      
16           3            27           -1              0               0                   9            18           9            12           13           15           17           15      
17           2            27           -1              0               0                   9            19           9            13           14           15           17           14      
18           1            27           -1              0               0                   9            20           9            14           15           15           17           13      
19           1            27           0               1               0                   9            20           9            14           15           15           17           13      
20           1            28           0               1               0                   9            21           8            14           16           15           16           13      
21           1            29           0               1               0                   8            21           7            14           17           15           15           13      
22           1            30           0               1               0                   7            21           6            14           17           14           14           13      
23           1            30           1               0               0                   7            21           6            14           17           14           14           13      
24           2            30           1               0               0                   6            21           6            15           17           13           13           13      
25           3            30           1               0               0                   6            22           6            16           16           13           12           13      
26           4            30           1               0               0                   6            23           6            17           15           13           12           14      
27           5            30           1               0               0                   6            24           6            18           14           12           12           15      
28           6            30           1               0               0                   6            25           6            19           14           11           13           15      
29           7            30           1               0               0                   6            26           6            20           13           11           14           15      
30           8            30           1               0               0                   6            27           6            21           12           11           15           15      
31           9            30           1               0               0                   5            27           7            21           11           11           16           15      
32           10           30           1               0               0                   4            27           8            21           10           11           17           15      
33           11           30           1               0               0                   3            27           9            21           9            11           17           14      
34           12           30           1               0               0                   3            26           10           21           9            12           17           13      
35           13           30           1               0               0                   3            25           11           21           9            13           16           13      
36           14           30           1               0               0                   3            24           12           21           9            14           15           13      
37           15           30           1               0               0                   2            24           13           21           9            15           14           12      
38           16           30           1               0               0                   1            24           13           22           9            16           14           11      
39           17           30           1               0               0                   1            23           13           23           9            17           15           11      
40           18           30           1               0               0                   1            22           13           24           9            18           16           11      
41           19           30           1               0               0                   1            21           14           24           10           18           17           11      
42           20           30           1               0               0                   2            21           15           24           11           18           18           11      
43           21           30           1               0               0                   3            21           16           24           12           18           19           11      
44           22           30           1               0               0                   4            21           17           24           13           18           20           11      
45           23           30           1               0               0                   5            21           18           24           14           18           20           12      
46           24           30           1               0               0                   6            21           19           24           15           18           20           13      
47           25           30           1               0               0                   6            22           20           24           16           18           20           14      
48           26           30           1               0               0                   6            23           20           25           17           18           20           15      
49           27           30           1               0               0                   6            24           20           26           18           18           20           16      
50           28           30           1               0               0                   7            24           20           27           19           18           20           17      
51           28           30           0               -1              0                   7            24           20           27           19           18           20           17      
52           28           29           0               -1              0                   8            24           19           27           20           18           20           18      
53           28           28           0               -1              0                   9            24           18           27           20           19           20           19      
54           28           27           0               -1              0                   10           24           17           27           20           20           20           20      
55           28           27           -1              0               0                   10           24           17           27           20           20           20           20      
56           27           27           -1              0               0                   11           24           16           27           20           21           20           21      
57           26           27           -1              0               0                   12           24           16           28           21           21           21           21      
58           26           27           0               -1              0                   12           24           16           28           21           21           21           21      
59           26           26           0               -1              0                   13           24           16           29           22           21           22           21      
60           26           25           0               -1              0                   14           24           16           30           23           21           23           21      
61           26           24           0               -1              0                   15           24           17           30           23           22           23           22      
62           26           24           1               0               0                   15           24           17           30           23           22           23           22      
63           27           24           1               0               0                   16           24           18           30           23           23           23           23      
64           28           24           1               0               1                   16           24           18           30           23           23           23           23      
65           28           24           0               -1              1                   16           24           18           30           23           23           23           23      
66           28           24           0               -1              1                   17           24           19           30           23           24           23           24      
67           28           23           0               -1              1                   17           24           19           30           23           24           23           24      
68           28           22           0               -1              1                   17           24           19           30           23           24           23           24      
69           28           21           0               -1              1                   17           24           19           30           23           24           23           24      
70           28           21           -1              0               1                   17           24           19           30           23           24           23           24      
71           28           21           -1              0               1                   18           24           20           30           22           24           22           24      
72           27           21           -1              0               1                   18           24           20           30           22           24           22           24      
73           26           21           -1              0               1                   18           24           20           30           22           24           22           24      
74           25           21           -1              0               1                   18           24           20           30           22           24           22           24      
75           25           21           -1              0               1                   19           24           21           30           21           24           21           24      
76           24           21           -1              0               1                   19           24           21           30           21           24           21           24      
77           23           21           -1              0               1                   19           24           21           30           21           24           21           24      
78           23           21           0               1               1                   19           24           21           30           21           24           21           24      
79           23           22           0               1               1                   19           24           21           30           21           24           21           24      
80           23           22           0               1               1                   20           24           22           30           20           24           20           24      
81           23           23           0               1               1                   20           24           22           30           20           24           20           24      
82           23           24           0               1               1                   20           24           22           30           20           24           20           24      
83           23           24           -1              0               1                   20           24           22           30           20           24           20           24      
84           22           24           -1              0               1                   20           25           23           30           20           25           20           25      
85           21           24           -1              0               1                   20           25           23           30           20           25           20           25      
86           21           24           -1              0               1                   15           14           23           30           12           15           16           15      
87           20           24           -1              0               1                   15           14           23           30           12           15           16           15      
88           20           24           0               1               1                   15           14           23           30           12           15           16           15      
89           20           24           0               1               1                   15           13           23           30           13           15           17           15      
90           20           25           0               1               1                   15           13           24           30           13           15           17           15      
91           20           25           0               1               1                   14           13           24           30           14           15           17           14      
92           20           26           0               1               1                   14           13           24           30           14           15           17           14      
93           20           26           0               1               1                   13           13           24           30           15           15           17           13      
94           20           27           0               1               1                   13           13           24           30           15           15           17           13      
95           20           27           -1              0               1                   13           13           24           30           15           15           17           13      
96           20           27           -1              0               1                   12           13           24           30           16           15           16           13      
97           20           27           -1              0               1                   12           13           25           30           16           15           16           13      
98           19           27           -1              0               1                   12           13           25           30           16           15           16           13      
99           19           27           -1              0               1                   12           14           25           30           17           15           15           13      
100          18           27           -1              0               1                   12           14           25           30           17           15           15           13      
101          18           27           -1              0               1                   12           15           25           30           17           14           14           13      
102          17           27           -1              0               1                   12           15           25           30           17           14           14           13      
103          17           27           -1              0               1                   13           15           25           30           17           13           13           13      
104          17           27           -1              0               1                   13           15           26           30           17           13           13           13      
105          16           27           -1              0               1                   13           15           26           30           17           13           13           13      
106          16           27           0               1               1                   13           15           26           30           17           13           13           13      
107          16           27           0               1               1                   14           15           26           30           16           13           12           13      
108          16           28           0               1               1                   14           15           26           30           16           13           12           13      
109          16           28           0               1               1                   15           15           26           30           15           13           12           14      
110          16           29           0               1               1                   15           15           26           30           15           13           12           14      
111          16           29           0               1               1                   16           15           27           30           14           13           12           15      
112          16           30           0               1               1                   16           15           27           30           14           13           12           15      
113          16           30           1               0               1                   16           15           27           30           14           13           12           15      
114          16           30           1               0               1                   17           15           27           30           13           13           13           15      
115          17           30           1               0               1                   17           15           27           30           13           13           13           15      
116          17           30           1               0               1                   17           14           27           30           12           13           14           15      
117          18           30           1               0               1                   17           14           27           30           12           13           14           15      
118          18           30           1               0               1                   17           13           28           30           12           14           15           15      
119          19           30           1               0               1                   17           13           28           30           12           14           15           15      
120          19           30           1               0               1                   16           13           28           30           12           15           16           15      
121          20           30           1               0               1                   16           13           28           30           12           15           16           15      
122          20           30           1               0               1                   15           13           28           30           13           15           17           15      
123          21           30           1               0               1                   15           13           28           30           13           15           17           15      
124          21           30           1               0               1                   15           13           28           29           13           15           17           15      
125          21           30           1               0               1                   14           12           28           29           14           15           17           14      
126          22           30           1               0               1                   14           12           28           29           14           15           17           14      
127          22           30           1               0               1                   14           11           28           29           15           15           17           13      
128          23           30           1               0               1                   14           11           28           29           15           15           17           13      
129          23           30           1               0               1                   15           11           28           29           16           15           16           13      
130          24           30           1               0               1                   15           11           28           28           16           15           16           13      
131          24           30           1               0               1                   16           11           28           28           17           15           15           13      
132          25           30           1               0               1                   16           11           28           28           17           15           15           13      
133          25           30           1               0               1                   16           10           28           28           17           14           14           13      
134          26           30           1               0               1                   16           10           28           28           17           14           14           13      
135          26           30           1               0               1                   16           9            28           28           17           13           13           13      
136          27           30           1               0               1                   16           9            28           27           17           13           13           13      
137          27           30           1               0               1                   16           8            28           27           16           13           12           13      
138          28           30           1               0               1                   16           8            28           27           16           13           12           13      
139          28           30           0               -1              1                   16           8            28           27           16           13           12           13      
140          28           30           0               -1              1                   17           8            28           27           15           13           12           14      
141          28           29           0               -1              1                   17           8            28           27           15           13           12           14      
142          28           29           0               -1              1                   18           8            28           27           14           13           12           15      
143          28           29           0               -1              1                   18           8            27           27           14           13           12           15      
144          28           28           0               -1              1                   18           8            27           27           14           13           12           15      
145          28           28           0               -1              0                   18           8            14           15           14           13           12           15      
146          28           28           0               -1              0                   19           8            14           15           13           13           13           15      
147          28           27           0               -1              0                   19           8            14           15           13           13           13           15      
148          28           27           -1              0               0                   19           8            15           15           13           13           13           15      
149          28           27           -1              0               0                   20           8            15           15           12           13           14           15      
150          27           27           -1              0               0                   20           8            15           15           12           13           14           15      
151          27           27           -1              0               0                   20           8            16           15           12           13           14           15      
152          27           27           -1              0               0                   20           7            16           15           12           14           15           15      
153          26           27           -1              0               0                   20           7            16           15           12           14           15           15      
154          26           27           -1              0               0                   20           7            17           15           12           14           15           15      
155          26           27           -1              0               0                   20           6            17           15           12           15           16           15      
156          25           27           -1              0               0                   20           6            17           15           12           15           16           15      
157          25           27           -1              0               0                   20           6            17           14           12           15           16           15      
158          25           27           -1              0               0                   20           5            17           14           13           15           17           15      
159          24           27           -1              0               0                   20           5            17           14           13           15           17           15      
160          24           27           -1              0               0                   20           5            17           13           13           15           17           15      
161          24           27           -1              0               0                   21           5            17           13           14           15           17           14      
162          23           27           -1              0               0                   21           5            17           13           14           15           17           14      
163          23           27           0               -1              0                   21           5            16           13           14           15           17           14      
164          23           27           0               -1              0                   22           5            16           13           15           15           17           13      
165          23           26           0               -1              0                   22           5            16           13           15           15           17           13      
166          23           26           0               -1              0                   22           5            15           13           15           15           17           13      
167          23           26           0               -1              0                   23           5            15           13           16           15           16           13      
168          23           25           0               -1              0                   23           5            15           13           16           15           16           13      
169          23           25           0               -1              0                   23           5            14           13           16           15           16           13      
170          23           25           0               -1              0                   24           5            14           13           17           15           15           13      
171          23           24           0               -1              0                   24           5            14           13           17           15           15           13      
172          23           24           -1              0               0                   24           5            13           13           17           15           15           13      
173          23           24           -1              0               0                   25           5            13           13           17           14           14           13      
174          22           24           -1              0               0                   25           5            13           13           17           14           14           13      
175          22           24           -1              0               0                   25           5            12           13           17           14           14           13      
176          22           24           -1              0               0                   26           5            12           13           17           13           13           13      
177          21           24           -1              0               0                   26           5            12           13           17           13           13           13      
178          21           24           -1              0               0                   26           5            12           14           17           13           13           13      
179          21           24           -1              0               0                   27           5            12           14           16           13           12           13      
180          20           24           -1              0               0                   27           5            12           14           16           13           12           13      
181          20           24           -1              0               0                   27           5            12           15           16           13           12           13      
182          20           24           -1              0               0                   28           5            12           15           15           13           12           14      
183          19           24           -1              0               0                   28           5            12           15           15           13           12           14      
184          19           24           -1              0               0                   28           5            13           15           15           13           12           14      
185          19           24           -1              0               0                   28           6            13           15           14           12           12           15      
186          18           24           -1              0               0                   28           6            13           15           14           12           12           15      
187          18           24           -1              0               0                   28           6            14           15           14           12           12           15      
188          18           24           -1              0               0                   28           7            14           15           14           11           13           15      
189          17           24           -1              0               0                   28           7            14           15           14           11           13           15      
190          17           24           -1              0               0                   28           7            15           15           14           11           13           15      
191          17           24           -1              0               0                   28           8            15           15           15           11           14           15      
192          16           24           -1              0               0                   28           8            15           15           15           11           14           15      
193          16           24           -1              0               0                   28           8            16           15           15           11           14           15      
194          16           24           -1              0               0                   27           8            16           15           16           11           15           15      
195          15           24           -1              0               0                   27           8            16           15           16           11           15           15      
196          15           24           -1              0               0                   27           8            17           15           16           11           15           15      
197          15           24           -1              0               0                   26           8            17           15           17           11           16           15      
198          14           24           -1              0               0                   26           8            17           15           17           11           16           15      
199          14           24           -1              0               0                   26           8            17           14           17           11           16           15      
200          14           24           -1              0               0                   25           8            17           14           18           11           17           15      
201          13           24           -1              0               0                   25           8            17           14           18           11           17           15      
202          13           24           0               -1              0                   25           8            17           13           18           11           17           15      
203          13           24           0               -1              0                   24           8            17           13           19           11           17           14      
204          13           23           0               -1              0                   24           8            17           13           19           11           17           14      
205          13           23           0               -1              0                   24           8            16           13           19           11           17           14      
206          13           23           0               -1              0                   23           8            16           13           20           11           17           13      
207          13           22           0               -1              0                   23           8            16           13           20           11           17           13      
208          13           22           0               -1              0                   23           8            15           13           20           11           17           13      
209          13           22           0               -1              0                   23           9            15           13           20           12           16           13      
210          13           21           0               -1              0                   23           9            15           13           20           12           16           13      
211          13           21           -1              0               0                   23           9            14           12           20           12           16           13      
212          13           21           -1              0               0                   23           10           14           12           20           13           15           13      
213          12           21           -1              0               0                   23           10           14           12           20           13           15           13      
