timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            15           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
3            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
5            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            12           24           -1              0               0                   14           11           17           15           15           15           16           13      
7            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
8            11           24           -1              0               0                   13           11           17           14           16           15           15           13      
9            10           24           -1              0               0                   12           11           17           13           17           15           15           13      
10           10           24           -1              0               0                   12           11           17           13           17           15           14           13      
11           9            24           -1              0               0                   12           11           17           13           17           15           14           13      
12           9            24           -1              0               0                   11           11           16           13           17           14           14           13      
13           9            24           -1              0               0                   11           11           16           13           17           14           13           13      
14           8            24           -1              0               0                   10           11           15           13           17           13           13           13      
15           8            24           -1              0               0                   10           11           15           13           17           13           12           13      
16           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
17           6            24           -1              0               0                   9            12           14           11           15           13           12           14      
18           6            24           0               -1              0                   9            12           14           11           15           13           12           14      
19           6            23           0               -1              0                   9            13           13           11           14           13           12           15      
20           6            22           0               -1              0                   9            14           12           11           13           13           13           15      
21           6            21           0               -1              0                   8            14           11           11           12           13           14           15      
22           6            20           0               -1              0                   7            14           10           11           12           14           15           15      
23           6            19           0               -1              0                   6            14           9            11           12           15           16           15      
24           6            19           0               1               0                   6            14           9            11           12           15           16           15      
25           6            20           0               1               0                   5            14           9            12           13           15           17           15      
26           6            21           0               1               0                   4            14           9            13           14           15           17           14      
27           6            22           0               1               0                   3            14           9            14           15           15           17           13      
28           6            22           0               -1              0                   3            14           9            14           15           15           17           13      
29           6            21           0               -1              0                   2            14           8            14           16           15           16           13      
30           6            20           0               -1              0                   1            14           7            14           17           15           15           13      
31           6            19           0               -1              0                   0            14           6            14           17           14           14           13      
32           6            19           0               1               0                   0            14           6            14           17           14           14           13      
33           6            20           0               1               0                   29           14           6            15           17           13           13           13      
34           6            21           0               1               0                   28           14           6            16           16           13           12           13      
35           6            21           1               0               0                   28           14           6            16           16           13           12           13      
36           7            21           1               0               0                   27           14           6            17           15           13           12           14      
37           8            21           1               0               0                   26           14           6            18           14           12           12           15      
38           9            21           1               0               0                   25           14           6            19           14           11           13           15      
39           10           21           1               0               0                   24           14           6            20           13           11           14           15      
40           11           21           1               0               0                   23           14           6            21           12           11           15           15      
41           12           21           1               0               0                   23           15           6            22           11           11           16           15      
42           13           21           1               0               0                   23           16           6            23           10           11           17           15      
43           13           21           0               1               0                   23           16           6            23           10           11           17           15      
44           13           22           0               1               0                   23           17           6            24           9            11           17           14      
45           13           23           0               1               0                   23           18           7            24           9            12           17           13      
46           13           24           0               1               0                   23           19           8            24           9            13           16           13      
47           13           24           1               0               0                   23           19           8            24           9            13           16           13      
48           14           24           1               0               0                   23           20           9            24           9            14           15           13      
49           15           24           1               0               0                   23           21           10           24           9            15           15           13      
50           15           24           1               0               0                   23           21           10           24           9            15           14           12      
51           16           24           1               0               0                   22           21           11           24           9            16           14           12      
52           16           24           1               0               0                   22           21           11           24           9            16           14           11      
53           17           24           1               0               0                   21           21           12           24           9            17           14           11      
54           17           24           1               0               0                   21           21           12           24           9            17           15           11      
55           18           24           1               0               0                   20           21           13           24           9            18           15           11      
56           18           24           1               0               0                   20           21           13           24           9            18           16           11      
57           19           24           1               0               0                   19           21           14           24           10           18           16           11      
58           19           24           1               0               0                   19           21           14           24           10           18           17           11      
59           20           24           1               0               0                   18           21           15           24           11           18           17           11      
60           20           24           1               0               0                   18           21           15           24           11           18           18           11      
61           21           24           1               0               0                   17           21           16           24           12           18           18           11      
62           21           24           1               0               0                   17           21           16           24           12           18           19           11      
63           22           24           1               0               0                   16           21           17           24           13           18           19           11      
64           22           24           1               0               0                   16           21           17           24           13           18           20           11      
65           23           24           1               0               0                   16           22           18           24           14           18           20           11      
66           23           24           0               -1              0                   16           22           18           24           14           18           20           11      
67           23           24           0               -1              0                   16           22           18           24           14           18           20           12      
68           23           23           0               -1              0                   16           23           19           24           15           18           20           12      
69           23           23           0               -1              0                   16           23           19           24           15           18           20           13      
70           23           22           0               -1              0                   16           23           19           24           15           18           20           13      
71           23           22           0               -1              0                   16           24           20           24           16           18           20           13      
72           23           22           0               -1              0                   16           24           20           24           16           18           20           14      
73           23           21           0               -1              0                   16           24           20           24           16           18           20           14      
74           23           21           1               0               0                   17           24           21           24           17           18           20           14      
75           23           21           1               0               0                   17           24           21           24           17           18           21           14      
76           24           21           1               0               0                   17           24           21           24           17           18           21           14      
77           24           21           1               0               0                   18           24           22           24           18           18           21           14      
78           24           21           1               0               0                   18           24           22           24           18           18           22           14      
79           25           21           1               0               0                   18           24           22           24           18           18           22           14      
80           25           21           1               0               0                   19           24           23           24           19           18           22           14      
81           26           21           1               0               0                   19           24           23           24           19           18           23           14      
82           26           21           1               0               0                   20           24           23           23           20           18           23           14      
83           26           21           1               0               0                   20           24           23           23           20           18           23           15      
84           27           21           1               0               0                   20           24           23           23           20           18           23           15      
85           27           21           1               0               0                   21           24           23           22           20           19           23           15      
86           27           21           1               0               0                   21           24           23           22           20           19           23           16      
87           28           21           1               0               0                   21           24           23           22           20           19           23           16      
88           28           21           0               1               0                   21           24           23           22           20           19           23           16      
89           28           21           0               1               0                   22           24           23           21           20           20           23           16      
90           28           21           0               1               0                   22           24           23           21           20           20           23           17      
91           28           22           0               1               0                   22           24           23           21           20           20           23           17      
92           28           22           0               1               0                   23           24           23           20           20           21           23           17      
93           28           22           0               1               0                   23           24           23           20           20           21           23           18      
94           28           23           0               1               0                   23           24           23           20           20           21           23           18      
95           28           23           0               1               0                   23           23           23           19           21           21           23           18      
96           28           23           0               1               0                   23           23           23           19           21           21           23           19      
97           28           24           0               1               1                   23           23           23           19           21           21           23           19      
98           28           24           -1              0               1                   23           23           23           19           21           21           23           19      
99           27           24           -1              0               1                   23           23           23           19           21           21           23           19      
100          26           24           -1              0               1                   23           22           23           18           22           21           23           19      
101          26           24           0               1               1                   23           22           23           18           22           21           23           19      
102          26           24           0               1               1                   23           22           23           18           22           21           23           20      
103          26           25           0               1               1                   23           22           23           18           22           21           23           20      
104          26           26           0               1               1                   23           22           23           18           22           21           23           20      
105          26           27           0               1               1                   23           21           23           17           23           21           23           20      
106          26           27           -1              0               1                   23           21           23           17           23           21           23           20      
107          26           27           -1              0               1                   23           21           23           17           23           21           23           21      
108          25           27           -1              0               1                   23           21           23           17           23           21           23           21      
109          24           27           -1              0               1                   23           21           23           17           23           21           23           21      
110          24           27           -1              0               1                   22           21           23           16           23           22           23           21      
111          23           27           -1              0               1                   22           21           23           16           23           22           23           21      
112          23           27           0               -1              1                   22           21           23           16           23           22           23           21      
113          23           27           0               -1              1                   22           21           23           16           23           22           22           21      
114          23           26           0               -1              1                   22           21           23           16           23           22           22           21      
115          23           25           0               -1              1                   22           21           23           16           23           22           22           21      
116          23           25           0               -1              1                   21           21           23           15           23           23           22           21      
117          23           24           0               -1              1                   21           21           23           15           12           15           22           21      
118          23           24           0               -1              1                   21           21           23           15           12           15           21           21      
119          23           23           0               -1              1                   21           21           23           15           13           15           21           21      
120          23           22           0               -1              1                   21           21           23           15           14           15           21           21      
121          23           22           0               -1              1                   20           21           23           14           14           15           21           21      
122          23           21           0               -1              1                   20           21           23           14           15           15           21           21      
123          23           21           -1              0               1                   20           21           23           14           15           15           20           21      
124          22           21           -1              0               1                   20           21           23           14           16           15           20           21      
125          22           21           -1              0               1                   15           14           23           14           16           15           16           15      
126          21           21           -1              0               1                   15           14           23           14           17           15           16           15      
127          21           21           -1              0               1                   15           14           22           14           17           15           16           15      
128          21           21           -1              0               1                   15           13           22           14           17           15           17           15      
129          20           21           -1              0               1                   15           13           22           14           17           14           17           15      
130          20           21           -1              0               1                   14           13           22           14           17           14           17           14      
131          19           21           -1              0               1                   14           13           22           14           17           13           17           14      
132          19           21           -1              0               1                   13           13           22           14           17           13           17           14      
133          18           21           -1              0               1                   13           13           22           14           16           13           17           13      
134          18           21           -1              0               1                   12           13           22           14           16           13           17           13      
135          17           21           -1              0               1                   12           13           21           14           15           13           16           13      
136          17           21           -1              0               1                   12           14           21           14           15           13           16           13      
137          16           21           -1              0               1                   12           14           21           14           14           13           15           13      
138          16           21           0               1               1                   12           14           21           14           14           13           15           13      
139          16           21           0               1               1                   12           15           21           14           14           13           15           13      
140          16           22           0               1               1                   12           15           21           14           13           13           14           13      
141          16           22           0               1               1                   13           15           21           14           13           13           14           13      
142          16           23           0               1               1                   13           15           21           14           12           13           13           13      
143          16           23           0               1               1                   14           15           20           14           12           13           13           13      
144          16           23           0               1               1                   14           15           20           14           12           13           12           13      
145          16           24           0               1               1                   14           15           20           14           12           14           12           13      
146          16           24           0               -1              1                   14           15           20           14           12           14           12           13      
147          16           24           0               -1              1                   15           15           20           14           12           14           12           13      
148          16           24           0               -1              1                   15           15           20           14           12           14           12           14      
149          16           23           0               -1              1                   15           15           20           14           12           15           12           14      
150          16           23           0               -1              1                   16           15           20           14           12           15           12           14      
151          16           23           0               -1              1                   16           15           20           14           12           15           12           15      
152          16           22           0               -1              1                   16           15           20           14           13           15           12           15      
153          16           22           0               -1              1                   17           15           20           14           13           15           12           15      
154          16           22           0               -1              1                   17           15           20           13           13           15           13           15      
155          16           21           0               -1              1                   17           15           20           13           14           15           13           15      
156          16           21           1               0               1                   17           15           20           13           14           15           13           15      
157          16           21           1               0               1                   17           14           20           13           14           15           13           15      
158          16           21           1               0               1                   17           14           20           13           14           15           14           15      
159          17           21           1               0               1                   17           14           20           13           15           15           14           15      
160          17           21           1               0               1                   17           13           20           13           15           15           14           15      
161          17           21           1               0               1                   17           13           20           13           15           15           15           15      
162          18           21           1               0               1                   17           13           20           13           16           15           15           15      
163          18           21           1               0               1                   16           13           20           13           16           15           15           15      
164          18           21           1               0               1                   16           13           20           12           16           15           16           15      
165          19           21           1               0               1                   16           13           20           12           17           15           16           15      
166          19           21           1               0               1                   15           13           20           12           17           15           16           15      
167          19           21           1               0               1                   15           13           20           12           17           15           17           15      
168          20           21           1               0               1                   15           13           20           12           17           14           17           15      
169          20           21           0               -1              1                   15           13           20           12           17           14           17           15      
170          20           21           0               -1              1                   14           12           20           12           17           14           17           15      
171          20           21           0               -1              1                   14           12           20           12           17           14           17           14      
172          20           20           0               -1              1                   14           12           20           12           17           13           17           14      
173          20           20           0               -1              1                   14           11           20           11           17           13           17           14      
174          20           20           0               -1              1                   14           11           20           11           17           13           17           13      
175          20           20           0               -1              1                   14           11           20           11           16           13           17           13      
176          20           19           0               -1              1                   14           11           20           11           16           13           17           13      
177          20           19           0               -1              1                   15           11           20           11           16           13           17           13      
178          20           19           0               -1              1                   15           11           20           11           16           13           16           13      
179          20           19           0               -1              1                   15           11           20           11           15           13           16           13      
180          20           18           0               -1              1                   15           11           20           11           15           13           16           13      
181          20           18           0               -1              1                   16           11           20           11           15           13           16           13      
182          20           18           0               -1              1                   16           11           20           11           15           13           15           13      
183          20           18           0               -1              1                   16           11           20           11           14           13           15           13      
184          20           17           0               -1              1                   16           11           20           11           14           13           15           13      
185          20           17           0               -1              1                   17           11           19           11           14           13           14           13      
186          20           17           0               -1              1                   17           11           19           11           13           13           14           13      
187          20           16           0               -1              1                   18           11           19           11           13           13           14           13      
188          20           16           0               -1              1                   18           11           19           11           12           13           13           13      
189          20           15           0               -1              1                   19           11           19           11           12           13           13           13      
190          20           15           0               -1              1                   19           11           19           11           12           14           12           13      
191          20           14           0               -1              1                   20           11           18           11           12           14           12           13      
192          20           14           1               0               1                   20           11           18           11           12           14           12           13      
193          20           14           1               0               1                   20           11           18           11           12           15           12           14      
194          21           14           1               0               1                   20           12           18           11           12           15           12           14      
195          21           14           1               0               1                   20           12           18           11           13           15           12           15      
196          22           14           1               0               1                   20           13           18           11           13           15           12           15      
197          22           14           1               0               1                   20           13           18           11           13           15           13           15      
198          22           14           1               0               1                   20           13           17           11           14           15           13           15      
199          23           14           1               0               1                   20           14           17           11           14           15           13           15      
200          23           14           0               1               1                   20           14           17           11           14           15           13           15      
201          23           14           0               1               1                   20           14           17           11           14           15           14           15      
202          23           14           0               1               1                   20           14           17           11           15           15           14           15      
203          23           15           0               1               1                   21           14           17           11           15           15           14           15      
204          23           15           0               1               1                   21           14           17           11           15           15           15           15      
205          23           15           0               1               1                   21           14           17           11           16           15           15           15      
206          23           16           0               1               1                   22           14           17           11           16           15           15           15      
207          23           16           0               1               1                   22           14           16           11           16           15           16           15      
208          23           16           0               1               1                   22           14           16           11           17           15           16           15      
209          23           17           0               1               1                   23           14           16           11           17           15           16           15      
210          23           17           0               1               1                   23           14           16           11           17           15           17           15      
211          23           17           0               1               1                   23           14           16           11           17           14           17           15      
212          23           18           0               1               1                   23           15           16           11           17           14           17           15      
213          23           18           0               1               1                   23           15           16           11           17           14           17           14      
214          23           18           0               1               1                   23           15           16           11           17           13           17           14      
215          23           19           0               1               1                   23           16           16           11           17           13           17           14      
216          23           19           0               1               1                   23           16           16           10           17           13           17           14      
217          23           19           0               1               1                   23           16           16           10           17           13           17           13      
218          23           19           0               1               1                   23           16           16           10           16           13           17           13      
219          23           20           0               1               1                   23           17           16           10           16           13           17           13      
220          23           20           0               1               1                   23           17           16           10           15           13           16           13      
221          23           20           0               1               1                   23           18           16           10           15           13           16           13      
222          23           21           0               1               1                   23           18           16           10           15           13           16           13      
223          23           21           0               1               1                   23           18           16           10           15           13           15           13      
224          23           21           0               1               1                   23           18           16           10           14           12           15           13      
225          23           21           0               1               1                   23           19           16           10           14           12           15           13      
226          23           22           0               1               1                   23           19           16           10           14           12           14           13      
227          23           22           0               1               1                   23           19           16           9            14           11           14           13      
228          23           22           0               1               1                   23           20           16           9            14           11           14           13      
229          23           23           0               1               1                   23           20           16           9            14           11           13           13      
230          23           23           0               1               1                   23           20           16           9            15           11           13           13      
231          23           23           0               1               1                   23           21           16           9            15           11           13           13      
232          23           24           0               1               1                   23           21           16           9            15           11           12           13      
233          23           24           0               1               1                   23           21           16           9            16           11           12           13      
234          23           24           0               1               1                   23           22           16           9            16           11           12           13      
235          23           25           0               1               1                   23           22           16           9            16           11           12           14      
236          23           25           0               1               1                   23           22           16           8            17           11           12           14      
237          23           25           0               1               1                   23           23           16           8            17           11           12           14      
238          23           26           0               1               1                   23           23           16           8            17           11           12           15      
239          23           26           0               1               1                   23           23           16           8            18           11           12           15      
240          23           26           0               1               1                   23           24           16           8            18           11           12           15      
241          23           26           0               1               1                   23           24           16           8            18           11           13           15      
242          23           27           0               1               1                   23           24           16           8            19           11           13           15      
243          23           27           1               0               1                   23           25           16           8            19           11           13           15      
244          23           27           1               0               1                   23           25           17           8            19           11           14           15      
245          24           27           1               0               1                   23           25           17           8            20           11           14           15      
