timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
1            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
2            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
3            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
4            10           24           -1              0               0                   12           11           17           13           17           15           15           13      
5            9            24           -1              0               0                   11           11           16           13           17           14           14           13      
6            8            24           -1              0               0                   10           11           15           13           17           13           13           13      
7            7            24           -1              0               0                   9            11           14           12           16           13           12           13      
8            6            24           -1              0               0                   9            12           14           11           15           13           12           14      
9            6            24           -1              0               0                   9            13           13           11           14           13           12           15      
10           6            24           0               1               0                   9            13           13           11           14           13           12           15      
11           6            24           0               1               0                   9            14           12           11           13           13           13           15      
12           6            25           0               1               0                   9            14           12           11           13           13           13           15      
13           6            25           0               1               0                   8            14           11           11           12           13           14           15      
14           6            26           0               1               0                   8            14           11           11           12           13           14           15      
15           6            26           0               1               0                   7            14           10           11           12           14           15           15      
16           6            27           0               1               0                   7            14           10           11           12           14           15           15      
17           6            27           0               -1              0                   7            14           10           11           12           14           15           15      
18           6            27           0               -1              0                   6            14           9            11           12           15           16           15      
19           6            26           0               -1              0                   6            14           9            11           12           15           16           15      
20           6            26           0               -1              0                   6            15           9            12           13           15           17           15      
21           6            25           0               -1              0                   6            15           9            12           13           15           17           15      
22           6            25           0               -1              0                   6            16           9            13           14           15           17           14      
23           6            24           0               -1              0                   6            16           9            13           14           15           17           14      
24           6            24           1               0               0                   6            16           9            13           14           15           17           14      
25           6            24           1               0               0                   6            17           9            14           15           15           17           13      
26           7            24           1               0               0                   6            17           9            14           15           15           17           13      
27           7            24           1               0               0                   6            18           8            14           16           15           16           13      
28           8            24           1               0               0                   6            18           8            14           16           15           16           13      
29           8            24           1               0               0                   6            19           7            14           17           15           15           13      
30           9            24           1               0               0                   6            19           7            14           17           15           15           13      
31           9            24           1               0               0                   6            20           6            14           17           14           14           13      
32           10           24           1               0               0                   6            20           6            14           17           14           14           13      
33           10           24           1               0               0                   6            21           6            15           17           13           13           13      
34           11           24           1               0               0                   6            21           6            15           17           13           13           13      
35           11           24           1               0               0                   7            21           6            16           16           13           12           13      
36           12           24           1               0               0                   7            21           6            16           16           13           12           13      
37           12           24           1               0               0                   8            21           6            17           15           13           12           14      
38           13           24           1               0               0                   8            21           6            17           15           13           12           14      
39           13           24           -1              0               0                   8            21           6            17           15           13           12           14      
40           13           24           -1              0               0                   9            21           6            18           14           12           12           15      
41           12           24           -1              0               0                   9            21           6            18           14           12           12           15      
42           12           24           -1              0               0                   10           21           6            19           14           11           13           15      
43           11           24           -1              0               0                   10           21           6            19           14           11           13           15      
44           11           24           -1              0               0                   11           21           6            20           15           11           14           15      
45           10           24           -1              0               0                   11           21           6            20           15           11           14           15      
46           10           24           -1              0               0                   12           21           6            21           16           11           15           15      
47           9            24           -1              0               0                   12           21           6            21           16           11           15           15      
48           9            24           0               1               0                   12           21           6            21           16           11           15           15      
49           9            24           0               1               0                   13           21           6            22           16           10           16           15      
50           9            25           0               1               0                   13           21           6            22           16           10           16           15      
51           9            25           0               1               0                   13           22           6            23           16           9            17           15      
52           9            26           0               1               0                   13           22           6            23           16           9            17           15      
53           9            26           0               1               0                   13           23           6            24           16           8            17           14      
54           9            27           0               1               0                   13           23           6            24           16           8            17           14      
55           9            27           1               0               0                   13           23           6            24           16           8            17           14      
56           9            27           1               0               0                   13           24           7            24           17           8            17           13      
57           10           27           1               0               0                   13           24           7            24           17           8            17           13      
58           10           27           1               0               0                   12           24           8            24           18           8            16           13      
59           11           27           1               0               0                   12           24           8            24           18           8            16           13      
60           11           27           1               0               0                   11           24           9            24           19           8            15           13      
61           12           27           1               0               0                   11           24           9            24           19           8            15           13      
62           12           27           1               0               0                   10           24           9            25           20           8            14           12      
63           13           27           1               0               0                   10           24           9            25           20           8            14           12      
64           13           27           0               1               0                   10           24           9            25           20           8            14           12      
65           13           27           0               1               0                   9            24           9            26           20           7            14           11      
66           13           28           0               1               0                   9            24           9            26           20           7            14           11      
67           13           28           0               1               0                   9            25           9            27           20           6            13           11      
68           13           29           0               1               0                   9            25           9            27           20           6            13           11      
69           13           29           0               1               0                   9            26           10           27           20           5            13           10      
70           13           30           0               1               0                   9            26           10           27           20           5            13           10      
71           13           30           1               0               0                   9            26           10           27           20           5            13           10      
72           13           30           1               0               0                   9            27           11           27           19           5            13           9       
73           14           30           1               0               0                   9            27           11           27           19           5            13           9       
74           14           30           1               0               0                   10           27           12           27           18           5            13           8       
75           15           30           1               0               0                   10           27           12           27           18           5            13           8       
76           15           30           1               0               0                   11           27           13           27           17           5            12           8       
77           16           30           1               0               0                   11           27           13           27           17           5            12           8       
78           16           30           1               0               0                   12           27           13           28           16           5            11           8       
79           17           30           1               0               0                   12           27           13           28           16           5            11           8       
80           17           30           1               0               0                   13           27           13           29           16           4            10           8       
81           18           30           1               0               0                   13           27           13           29           16           4            10           8       
82           18           30           1               0               0                   13           28           13           30           16           3            9            8       
83           19           30           1               0               0                   13           28           13           30           16           3            9            8       
84           19           30           1               0               0                   13           29           14           30           16           2            9            7       
85           20           30           1               0               0                   13           29           14           30           16           2            9            7       
86           20           30           1               0               0                   13           30           15           30           16           1            9            6       
87           21           30           1               0               0                   13           30           15           30           16           1            9            6       
88           21           30           1               0               0                   14           30           16           30           17           1            9            5       
89           22           30           1               0               0                   14           30           16           30           17           1            9            5       
90           22           30           1               0               0                   15           30           17           30           18           1            10           5       
91           23           30           1               0               0                   15           30           17           30           18           1            10           5       
92           23           30           1               0               0                   16           30           18           30           19           1            11           5       
93           24           30           1               0               0                   16           30           18           30           19           1            11           5       
94           24           30           1               0               0                   17           30           19           30           20           1            12           5       
95           25           30           1               0               0                   17           30           19           30           20           1            12           5       
96           25           30           1               0               0                   18           30           20           30           21           1            13           5       
97           26           30           1               0               0                   18           30           20           30           21           1            13           5       
98           26           30           1               0               0                   19           30           21           30           22           1            14           5       
99           27           30           1               0               0                   19           30           21           30           22           1            14           5       
100          27           30           1               0               0                   20           30           22           30           23           1            15           5       
101          28           30           1               0               0                   20           30           22           30           23           1            15           5       
102          28           30           0               -1              0                   20           30           22           30           23           1            15           5       
103          28           30           0               -1              0                   21           30           23           30           23           2            16           5       
104          28           29           0               -1              0                   21           30           23           30           23           2            16           5       
105          28           29           0               -1              0                   22           30           24           30           23           3            17           5       
106          28           28           0               -1              0                   22           30           24           30           23           3            17           5       
107          28           28           0               -1              0                   23           30           25           30           23           4            18           5       
108          28           27           0               -1              0                   23           30           25           30           23           4            18           5       
109          28           27           -1              0               0                   23           30           25           30           23           4            18           5       
110          28           27           -1              0               0                   24           30           26           30           23           5            19           5       
111          27           27           -1              0               0                   24           30           26           30           23           5            19           5       
112          27           27           -1              0               0                   25           30           27           30           24           5            20           5       
113          26           27           -1              0               0                   25           30           27           30           24           5            20           5       
114          26           27           -1              0               0                   26           30           28           30           25           5            20           6       
115          25           27           -1              0               0                   26           30           28           30           25           5            20           6       
116          25           27           -1              0               0                   27           30           28           29           26           5            20           7       
117          24           27           -1              0               0                   27           30           28           29           26           5            20           7       
118          24           27           -1              0               0                   28           30           28           28           27           5            20           8       
119          23           27           -1              0               0                   28           30           28           28           27           5            20           8       
120          23           27           0               -1              0                   28           30           28           28           27           5            20           8       
121          23           27           0               -1              0                   28           29           28           27           28           5            19           8       
122          23           26           0               -1              0                   28           29           28           27           28           5            19           8       
123          23           26           0               -1              0                   28           28           27           27           28           6            18           8       
124          23           25           0               -1              0                   28           28           27           27           28           6            18           8       
125          23           25           0               -1              0                   28           27           26           27           28           7            17           8       
126          23           24           0               -1              0                   28           27           26           27           28           7            17           8       
127          23           24           -1              0               0                   28           27           26           27           28           7            17           8       
128          23           24           -1              0               0                   27           27           26           26           28           8            16           8       
129          22           24           -1              0               0                   27           27           26           26           28           8            16           8       
130          22           24           -1              0               0                   26           27           26           25           27           8            16           9       
131          21           24           -1              0               0                   26           27           26           25           27           8            16           9       
132          21           24           -1              0               0                   26           26           26           24           26           8            16           10      
133          20           24           -1              0               0                   26           26           26           24           26           8            16           10      
134          20           24           0               1               0                   26           26           26           24           26           8            16           10      
135          20           24           0               1               0                   26           25           27           24           25           8            16           11      
136          20           25           0               1               0                   26           25           27           24           25           8            16           11      
137          20           25           0               1               0                   26           24           28           24           24           8            17           11      
138          20           26           0               1               0                   26           24           28           24           24           8            17           11      
139          20           26           0               1               0                   27           24           28           23           23           8            18           11      
140          20           27           0               1               0                   27           24           28           23           23           8            18           11      
141          20           27           -1              0               0                   27           24           28           23           23           8            18           11      
142          20           27           -1              0               0                   28           24           28           22           23           9            19           11      
143          19           27           -1              0               0                   28           24           28           22           23           9            19           11      
144          19           27           -1              0               0                   28           23           28           21           23           10           20           11      
145          18           27           -1              0               0                   28           23           28           21           23           10           20           11      
146          18           27           -1              0               0                   28           22           27           21           23           11           20           12      
147          17           27           -1              0               0                   28           22           27           21           23           11           20           12      
148          17           27           -1              0               0                   28           21           26           21           23           12           20           13      
149          16           27           -1              0               0                   28           21           26           21           23           12           20           13      
150          16           27           0               1               0                   28           21           26           21           23           12           20           13      
151          16           27           0               1               0                   27           21           25           21           23           13           20           14      
152          16           28           0               1               0                   27           21           25           21           23           13           20           14      
153          16           28           0               1               0                   26           21           24           21           23           14           20           15      
154          16           29           0               1               0                   26           21           24           21           23           14           20           15      
155          16           29           0               1               0                   25           21           23           21           23           15           20           16      
156          16           30           0               1               0                   25           21           23           21           23           15           20           16      
157          16           30           -1              0               0                   25           21           23           21           23           15           20           16      
158          16           30           -1              0               0                   24           21           23           22           23           16           20           17      
159          15           30           -1              0               0                   24           21           23           22           23           16           20           17      
160          15           30           -1              0               0                   23           21           23           23           23           17           20           18      
161          14           30           -1              0               0                   23           21           23           23           23           17           20           18      
162          14           30           -1              0               0                   23           22           23           24           23           18           19           18      
163          13           30           -1              0               0                   23           22           23           24           23           18           19           18      
164          13           30           -1              0               0                   23           23           22           24           23           19           18           18      
165          12           30           -1              0               0                   23           23           22           24           23           19           18           18      
166          12           30           -1              0               0                   23           24           21           24           23           20           17           18      
167          11           30           -1              0               0                   23           24           21           24           23           20           17           18      
168          11           30           -1              0               0                   23           25           20           24           23           21           16           18      
169          10           30           -1              0               0                   23           25           20           24           23           21           16           18      
170          10           30           -1              0               0                   23           26           20           25           22           21           15           18      
171          9            30           -1              0               0                   23           26           20           25           22           21           15           18      
172          9            30           -1              0               0                   23           27           20           26           21           21           14           18      
173          8            30           -1              0               0                   23           27           20           26           21           21           14           18      
174          8            30           -1              0               0                   24           27           20           27           20           21           13           18      
175          7            30           -1              0               0                   24           27           20           27           20           21           13           18      
176          7            30           -1              0               0                   25           27           19           27           19           21           12           18      
177          6            30           -1              0               0                   25           27           19           27           19           21           12           18      
178          6            30           -1              0               0                   26           27           18           27           18           21           11           18      
179          5            30           -1              0               0                   26           27           18           27           18           21           11           18      
180          5            30           -1              0               0                   26           26           17           27           17           21           10           18      
181          4            30           -1              0               0                   26           26           17           27           17           21           10           18      
182          4            30           -1              0               0                   26           25           16           27           16           21           9            18      
183          3            30           -1              0               0                   26           25           16           27           16           21           9            18      
184          3            30           -1              0               0                   26           24           16           28           16           22           9            19      
185          2            30           -1              0               0                   26           24           16           28           16           22           9            19      
186          2            30           -1              0               0                   27           24           16           29           16           23           9            20      
187          1            30           -1              0               0                   27           24           16           29           16           23           9            20      
188          1            30           0               -1              0                   27           24           16           29           16           23           9            20      
189          1            30           0               -1              0                   28           24           16           30           16           24           9            21      
190          1            29           0               -1              0                   28           24           16           30           16           24           9            21      
191          1            29           0               -1              0                   28           23           15           30           15           24           8            21      
192          1            28           0               -1              0                   28           23           15           30           15           24           8            21      
193          1            28           0               -1              0                   28           22           14           30           14           24           7            21      
194          1            27           0               -1              0                   28           22           14           30           14           24           7            21      
195          1            27           1               0               0                   28           22           14           30           14           24           7            21      
196          1            27           1               0               0                   28           21           13           30           13           24           6            21      
197          2            27           1               0               0                   28           21           13           30           13           24           6            21      
198          2            27           1               0               0                   27           21           13           29           12           24           6            22      
199          3            27           1               0               0                   27           21           13           29           12           24           6            22      
200          3            27           1               0               0                   26           21           13           28           11           24           6            23      
201          4            27           1               0               0                   26           21           13           28           11           24           6            23      
202          4            27           1               0               0                   25           21           13           27           10           24           6            24      
203          5            27           1               0               0                   25           21           13           27           10           24           6            24      
204          5            27           -1              0               0                   25           21           13           27           10           24           6            24      
205          5            27           -1              0               0                   24           21           12           27           9            24           6            25      
206          4            27           -1              0               0                   24           21           12           27           9            24           6            25      
207          4            27           -1              0               0                   23           21           11           27           9            25           6            26      
208          3            27           -1              0               0                   23           21           11           27           9            25           6            26      
209          3            27           0               -1              0                   23           21           11           27           9            25           6            26      
210          3            27           0               -1              0                   23           22           10           27           9            26           6            27      
211          3            26           0               -1              0                   23           22           10           27           9            26           6            27      
212          3            26           0               -1              0                   23           23           9            27           9            27           5            27      
213          3            25           0               -1              0                   23           23           9            27           9            27           5            27      
214          3            25           0               -1              0                   23           24           9            26           10           27           4            27      
